"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38"
1272,"CNTN1","hsa-mir-33a-5p","hsa-mir-33b-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16510572'>PubMedLink</a>","tarbase","tarbase",0.588365208434337,-0.183189084633481,0.473137109166589,0.478041679106905,0.993848343949298,-0.00139252942666845,"hsa-mir-33b-5p","hsa-mir-33a-5p",1272,15.3801476168191,14.9309918817041,13.7415930889216,"15.0196939519101","15.844419928897","15.7486088313765","16.2837705196369","16.0613906761792","16.8704125544242","17.5726344401983","16.8060532629955","15.1225828439594","18.9244262660256","18.5381060399412","14.7686562452645","13.335871506807","15.57344721054","16.9209579098011","18.7611482290538","17.9383500430948","16.6384910517864","16.2438833619747","17.8546720584078","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1291,"COL6A1","hsa-mir-7-5p","hsa-mir-129-2-3p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gPAAD/29408481'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31268154'>PubMedLink</a>","tarbase","tarbase",0.0441592006962438,0.907534284364248,0.380336498191205,0.447100063535973,0.934238110436501,-0.0129854329752334,"hsa-mir-129-2-3p","hsa-mir-7-5p",1291,21.8428584664213,22.1717228041048,22.8855901935734,"22.1685032703297","21.0190599107505","21.9000821999573","20.6649043598412","21.3860438612173","21.1640602465419","22.3260544942434","20.8285874560752","22.8313961712898","23.2819863821765","22.1483022136866","20.5799264011067","20.6893822498955","22.5385243310835","20.9414960254315","21.4485435367246","22.2634472738856","20.8742110554848","18.357921421517","21.8415979456518","24.1415700860283","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1293,"COL6A3","hsa-mir-3200-3p","hsa-mir-7-5p",0.0015,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gPAAD/29408481'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/21719059'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24002763'>PubMedLink</a>","tarbase","tarbase",0.908533829285735,-0.0663113540139399,0.0441592006962438,0.907534284364248,0.976783815461854,-0.00467318599420699,"hsa-mir-7-5p","hsa-mir-3200-3p",1293,21.0631682531146,20.5346266840739,20.6125108818466,"20.9306802992095","21.3385939339557","19.3365747475324","20.4586929427859","22.9248081093824","22.5623671110776","21.8292317635419","20.847520210362","21.7523641043349","21.0849938177392","21.0361113691509","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1718,"DHCR24","hsa-mir-129-2-3p","hsa-mir-103a-2-5p",0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27661003'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28060884'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31289003'>PubMedLink</a>","tarbase","tarbase",0.380336498191205,0.447100063535973,0.0517712811101425,-0.953498226933712,0.919502006372056,-0.0163780600683825,"hsa-mir-103a-2-5p","hsa-mir-129-2-3p",1718,20.0690469588648,20.8149996719069,20.1625395099856,"20.6712661263278","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1718,"DHCR24","hsa-mir-642a-5p","hsa-mir-7-5p",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gPAAD/29408481'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/27661003'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28060884'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31289003'>PubMedLink</a>","mirtarbase","tarbase",0.99664350381264,0.00168828208495427,0.0441592006962438,0.907534284364248,0.919502006372056,-0.0163780600683825,"hsa-mir-7-5p","hsa-mir-642a-5p",1718,20.2168407231674,19.6840814139304,20.4981014403372,"19.3380926378471","19.82036702512","19.6495886743285","20.4770732080266","20.9324732766248","21.5400697748414","18.3202929848148","19.7661739704997","20.2798406425146","19.0287274065301","19.9346783633236","19.5832416142892","18.6295416988152","19.79637069788","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2131,"EXT1","hsa-mir-141-3p","hsa-mir-1224-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18000363'>PubMedLink</a>","tarbase","tarbase",0.165724545091476,0.335811875574651,0.0870161237646326,0.937036684857043,0.935166727784924,0.0140398657746481,"hsa-mir-1224-5p","hsa-mir-141-3p",2131,17.3070452988176,18.1855077756099,17.4262785717535,"17.7280487714926","17.2622823847288","18.397048525572","17.8517834918931","18.0339826040335","18.269525095753","18.1964441554267","17.4603749564652","16.737156006968","16.7420296563713","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2247,"FGF2","hsa-mir-203a-3p","hsa-mir-192-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11299793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11562741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12136423'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12377649'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12448000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12448000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12579092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16905765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17569023'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24503018'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27080571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29492715'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30035358'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8568589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9196438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9398995'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.0550834098950881,0.440724584031878,0.0515119998319784,0.405432610813945,0.860063198171681,-0.0327226196018488,"hsa-mir-192-5p","hsa-mir-203a-3p",2247,13.2353395461958,14.6713592790288,16.3352486378495,"14.8283995527599","16.2555667862184","16.5384757127645","15.3806977139695","16.4202339981276","17.6155045674896","16.561775261461","14.1471861182593","14.8351412098157","14.9730377103026","15.5362961964026","15.1495531756093","13.7872393482099","16.5911666347478","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3662,"IRF4","hsa-mir-19a-3p","hsa-mir-103a-2-5p",0.0085,TRUE,NA,NA,NA,"tarbase","tarbase",0.442829455873115,-0.239962697757447,0.0517712811101425,-0.953498226933712,0.504443681977201,-0.127525739131159,"hsa-mir-103a-2-5p","hsa-mir-19a-3p",3662,13.9961209107185,14.5611950335851,13.3087663149179,"13.8893039233365","13.6547025338492","7.82411327241253","14.4617449678388","14.937255830943","16.4454376954614","15.240155734741","14.3036653636848","16.3345222836912","14.2280590639999","13.1712865352155","13.0270900482046","14.5831797800572","12.7386295118222","13.3962508694184","15.5846598265702","12.406317565376","13.4507739844119","15.6593960097229","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3977,"LIFR","hsa-mir-19a-3p","hsa-mir-103a-2-5p",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27375070'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.442829455873115,-0.239962697757447,0.0517712811101425,-0.953498226933712,0.675273552423711,-0.0765155226437809,"hsa-mir-103a-2-5p","hsa-mir-19a-3p",3977,15.0941252759917,14.6814344353789,14.2451135346235,"16.0132597068844","13.2868754936671","18.1094242943207","16.22830797524","15.7611588713246","15.9441489609616","16.9873277691452","16.1406625423915","17.3344922355808","16.5448716697048","17.2822558517321","15.2231219918616","15.486553384285","14.9637853802412","15.1811277330588","15.9111941481555","14.5056617212609","16.2942025255003","16.5465911664691","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4170,"MCL1","hsa-mir-96-5p","hsa-mir-139-5p",0.0095,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18297287'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19288493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19654003'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19782681'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20004446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21596068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21880146'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24019208'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24025188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24213797'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28692117'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29348852'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30890228'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31467029'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.773386012982795,0.10647438394075,0.431217541963223,-0.218194133801926,0.993651272659149,-0.00124637973405763,"hsa-mir-139-5p","hsa-mir-96-5p",4170,21.746961364137,20.9896395206156,21.9279988967171,"21.777190518878","22.7249243817965","21.3577937436186","21.759536209507","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
