"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46"
894,"CCND2","hsa-mir-376c-3p","hsa-mir-541-5p",0,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.29148227442177,-0.353102690804795,0.398853936731358,0.588412469618987,0.81638929449799,-0.0431925000081037,"hsa-mir-541-5p","hsa-mir-376c-3p",894,19.7147519732661,17.6289914045394,"20.1641433983947","16.8300054337383","20.1001549426579","17.7229370831754","20.9550463076396","16.831216716933","17.8580054472616","20.0018933259755","20.0889714449657","17.9658137471752","15.1816096130305","19.8324814054722","17.3060576410128","17.4951906963171","20.283604464036","19.5153621616073","18.5049433444294","19.8322269166911","16.8045806926047","20.0357662752399","16.2875881164864","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1152,"CKB","hsa-mir-424-5p","hsa-mir-195-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.0952209190976666,-0.526844940831158,0.0478918772822502,-0.650927480781569,0.99551499267722,-0.001040891838032,"hsa-mir-195-5p","hsa-mir-424-5p",1152,16.1765268644524,16.4483748313894,"19.4769062209958","20.4902909687663","17.4856502549567","18.0514031715496","18.8011908885967","17.2729478405994","20.9514565654366","18.3456438852497","20.2489031701741","20.8532564541635","19.8476036236248","19.7272956772742","18.5844365754066","18.1067610852847","19.0040171353249","20.6548901474956","20.753207470658","21.0839648897838","20.8252889247317","21.1318194495202","21.3307486826647","19.6542324578543","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1783,"DYNC1LI2","hsa-mir-708-5p","hsa-let-7c-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.183068490649196,-0.504360518459726,0.159992984273785,-0.340704282239637,0.790078042806429,0.0529949876780258,"hsa-let-7c-5p","hsa-mir-708-5p",1783,18.9834010805293,16.9446161760502,"17.1463559223066","17.7459622442249","17.3236830770448","17.5837112158069","17.3181089993298","18.0929729938691","14.9725716426449","16.5288717541638","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1843,"DUSP1","hsa-mir-200b-3p","hsa-mir-937-3p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24409315'>PubMedLink</a>","tarbase","tarbase",0.627039105914662,-0.378027211890285,0.699619213400702,0.323943235932106,0.599775254335706,-0.0921622685011931,"hsa-mir-937-3p","hsa-mir-200b-3p",1843,21.0249052395352,19.7676747512257,"20.6905724414188","23.5743305977878","20.69482998872","18.58369395343","20.6096281507299","23.788710841973","20.5742750236265","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1870,"E2F2","hsa-mir-224-5p","hsa-mir-196a-5p",0.0095,TRUE,NA,NA,NA,"tarbase","tarbase",0.60905406181031,-0.219653549781102,0.0104869739043192,1.01898821451906,0.335022270828366,0.250083841706709,"hsa-mir-196a-5p","hsa-mir-224-5p",1870,9.78530933463148,10.3159669615675,"8.80948387489768","12.1131734895094","10.2647869288673","10.9247470965787","9.95781313620774","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1995,"ELAVL3","hsa-mir-511-5p","hsa-mir-1224-3p",0.007,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.00231977732351297,-1.35044992425606,0.124001720472076,1.15210137902404,0.0918779730492076,0.368233950300697,"hsa-mir-1224-3p","hsa-mir-511-5p",1995,16.7827691729717,15.2439406322126,"16.6628920727487","15.2533030340019","15.7423930285519","17.057779648384","17.3295555787492","16.0914922210703","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2651,"GCNT2","hsa-mir-32-3p","hsa-mir-181d-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0.0340399562878437,-1.42455433435913,0.168238927623065,0.533064507872944,0.733915000255102,0.0811875905661937,"hsa-mir-181d-5p","hsa-mir-32-3p",2651,13.4248425749969,12.5477882447497,"10.0179745483045","11.4428933146793","10.1710571643689","11.3577210988659","11.2350554330234","12.6193579744218","10.7507263104304","13.1898255012248","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2932,"GSK3B","hsa-mir-199a-5p","hsa-mir-410-3p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","mirtarbase","mirtarbase",0.154944467214958,-0.383250958315601,0.176058073217224,0.393341495138207,0.94707580556922,-0.0131809333855346,"hsa-mir-410-3p","hsa-mir-199a-5p",2932,16.6868890725331,17.1374840570837,"17.7331960574329","16.6531525093207","16.9304898411522","17.2924153632931","17.8352966570963","17.6898301637063","16.6835728037938","17.0215462071235","16.7975128807912","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2932,"GSK3B","hsa-mir-199a-5p","hsa-mir-411-3p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","mirtarbase","tarbase",0.154944467214958,-0.383250958315601,0.813967204405885,0.0971445903248991,0.94707580556922,-0.0131809333855346,"hsa-mir-411-3p","hsa-mir-199a-5p",2932,16.6868890725331,17.1374840570837,"17.7331960574329","16.6531525093207","16.9304898411522","18.6419709127539","17.2924153632931","17.8352966570963","17.6898301637063","16.6835728037938","16.9598833145697","17.0215462071235","17.514576877175","16.7975128807912","18.42017169737","16.8556220741657","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2932,"GSK3B","hsa-mir-411-3p","hsa-mir-195-5p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","tarbase","mirtarbase",0.813967204405885,0.0971445903248991,0.0478918772822502,-0.650927480781569,0.94707580556922,-0.0131809333855346,"hsa-mir-195-5p","hsa-mir-411-3p",2932,17.3747023933775,17.1374840570837,"16.9304898411522","18.6419709127539","17.8352966570963","17.6898301637063","16.6835728037938","16.9598833145697","17.0215462071235","17.4196479888393","16.9788836712065","17.1214489725915","16.7975128807912","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
