"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18"
113,"ADCY7","hsa-mir-34a-5p","hsa-mir-301b-3p",0.008,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/25362853'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.748132163985909,-0.0390017266899369,"hsa-mir-301b-3p","hsa-mir-34a-5p",113,15.4017788543062,15.1580695628018,"14.7722156176455","14.0695070700999","15.0370637958462","14.2484527555833","14.7170391652546","""""","""""","""""","""""","""""","""""","""""","""""",""""""
367,"AR","hsa-mir-675-3p","hsa-mir-552-3p",0.008,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16425262'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16425262'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19062046'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25376484'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25637315'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27267075'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31176300'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31522216'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8519646'>PubMedLink</a>","mirtarbase","mirtarbase",0.00743469869443365,-0.35310209569315,"hsa-mir-552-3p","hsa-mir-675-3p",367,11.8066230869277,11.5728794749087,"11.233359532527","12.7976491925213","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
463,"ZFHX3","hsa-mir-744-3p","hsa-mir-486-3p",0.0085,TRUE,NA,NA,NA,"tarbase","mirtarbase",0.77303491045963,-0.0344379109502379,"hsa-mir-486-3p","hsa-mir-744-3p",463,15.4381410884008,13.6599089966051,"14.8118587990288","16.3198287052345","15.9092611907322","16.2070191730413","16.4665567940747","16.2371029859906","""""","""""","""""","""""","""""","""""","""""",""""""
596,"BCL2","hsa-mir-182-5p","hsa-mir-29b-3p",0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10022131'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10193519'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10216477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10216477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10452254'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10564391'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10607921'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10652634'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10767713'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10797335'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11041112'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11150376'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11151060'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11687726'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11724359'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11802199'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11848471'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11865380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12240548'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12244568'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12670866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14663636'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15154650'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16400510'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16401477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16407826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16799636'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17273826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17332927'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17360176'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17373735'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18852136'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18949393'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18949393'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19124064'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20716165'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21128871'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21455217'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22050790'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22990545'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23030583'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23364257'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23867993'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24293274'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24384683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24451945'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24895601'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24957706'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25192188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25208882'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25209181'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25282590'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25323586'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25738398'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25840688'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25977444'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26078354'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26482433'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27046651'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27220399'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27244080'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27461218'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27537525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27663504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28032859'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28106544'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28468511'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28499854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28785155'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28803443'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28928161'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28950657'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29065135'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29190919'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29288563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29372687'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29636622'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29844818'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29958837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417787'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30420612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30443961'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30515612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30557404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30588113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30677442'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30681073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30713822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31043791'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31141929'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31243264'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31296963'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8063611'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8625322'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9054611'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9164212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9221853'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9823803'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9849490'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9881495'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.0853914961444736,-0.203060433026026,"hsa-mir-29b-3p","hsa-mir-182-5p",596,15.131939204282,15.8581170101711,"13.6935157379002","13.5011006113772","13.4326372700914","15.2388448112232","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
599,"BCL2L2","hsa-mir-29c-3p","hsa-mir-301a-3p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/29262657'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gREAD/30362160'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/19124064'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26263387'>PubMedLink</a>","tarbase","tarbase",0.434441822565768,-0.0851209110529044,"hsa-mir-301a-3p","hsa-mir-29c-3p",599,18.249589465933,17.4979387229367,"17.2312916087298","18.4564372343245","18.1315261996243","17.2029263520396","18.4759884716369","""""","""""","""""","""""","""""","""""","""""","""""",""""""
639,"PRDM1","hsa-mir-362-5p","hsa-let-7f-2-3p",0.003,TRUE,NA,NA,NA,"tarbase","tarbase",0.612746663392775,-0.0578511820038611,"hsa-let-7f-2-3p","hsa-mir-362-5p",639,16.497962130542,17.386606524284,"16.1433387383969","16.3614387448714","15.4643434682221","17.0989203425305","17.4382282272854","16.9011488303713","""""","""""","""""","""""","""""","""""","""""",""""""
1073,"CFL2","hsa-mir-32-3p","hsa-mir-651-5p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase",0.0131287651588857,-0.281511980118419,"hsa-mir-651-5p","hsa-mir-32-3p",1073,16.9533702366976,15.6825707717929,"15.3092041664578","16.0933396643128","16.9398086835822","17.2161384082079","16.1981627369469","14.688919216794","""""","""""","""""","""""","""""","""""","""""",""""""
1289,"COL5A1","hsa-mir-101-5p","hsa-mir-29b-3p",0.002,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.336502797627854,0.10604515503877,"hsa-mir-29b-3p","hsa-mir-101-5p",1289,20.1289403328183,18.9646276734616,"17.9113728774442","17.4192967710925","20.8855945953173","20.4336972094509","20.6417920968595","20.9698039029635","20.268700943859","""""","""""","""""","""""","""""","""""",""""""
1289,"COL5A1","hsa-mir-33b-5p","hsa-mir-101-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",0.336502797627854,0.10604515503877,"hsa-mir-101-5p","hsa-mir-33b-5p",1289,20.1289403328183,18.9646276734616,"17.9521661608363","20.8855945953173","18.5046906377066","20.6417920968595","20.9698039029635","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1316,"KLF6","hsa-mir-7-5p","hsa-mir-183-5p",0.001,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gREAD/30867755'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gREAD/31295229'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gREAD/26462034'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/14503916'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15057748'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16044160'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16610031'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16856969'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17663506'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21829229'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29084019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31650732'>PubMedLink</a>","tarbase","tarbase",0.420104956705941,-0.0841284083583762,"hsa-mir-183-5p","hsa-mir-7-5p",1316,20.1522474012801,19.2128134495328,"20.2313096325618","20.3462813847819","20.1994521907376","20.1362154001985","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
