"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26"
25,"ABL1","hsa-mir-149-5p","hsa-mir-576-5p",0.008,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/21472143'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26615134'>PubMedLink</a>","mirtarbase","tarbase",0.613008891115033,0.251481597709084,0.918392652556006,-0.0504607997783398,0.94364819967131,0.0235041519861299,"hsa-mir-576-5p","hsa-mir-149-5p",25,18.5814855982944,18.4267972588282,"18.6169898507633","17.6098544541792","18.4751856261416","18.8574679470752","18.4027351805238","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25,"ABL1","hsa-mir-342-3p","hsa-mir-1226-3p",0.0035,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/21472143'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26615134'>PubMedLink</a>","mirtarbase","tarbase",0.579653624961254,-0.199637756138109,0.867234818400962,0.120230234491001,0.94364819967131,0.0235041519861299,"hsa-mir-1226-3p","hsa-mir-342-3p",25,18.2031234147953,18.465178398357,"18.6912810708479","18.6550419118319","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25,"ABL1","hsa-mir-652-3p","hsa-mir-455-3p",0.0095,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSKCM/29760567'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSKCM/34395634'>PubMedLink</a>","NA
<a href='https://pubmed.ncbi.nlm.nih.gov/21472143'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26615134'>PubMedLink</a>","tarbase","mirtarbase",0.676095442628447,0.18111864623682,0.830244483087025,-0.0791880488766979,0.94364819967131,0.0235041519861299,"hsa-mir-455-3p","hsa-mir-652-3p",25,17.8820839464745,18.0066081570045,"17.8513042102749","17.6556466092776","18.4906802732166","18.645926491584","17.9582866532947","18.6550419118319","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
27,"ABL2","hsa-mir-125b-5p","hsa-mir-409-3p",0.006,FALSE,NA,NA,NA,"tarbase","tarbase",0.271945328535281,-0.341727052853642,0.816767667775654,0.117121174501057,0.815844249045197,0.0809063210864446,"hsa-mir-409-3p","hsa-mir-125b-5p",27,16.5230495115587,17.3259279432457,"16.7037398295366","17.8896468965752","15.5543878226359","16.4845258252085","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
60,"ACTB","hsa-mir-324-5p","hsa-let-7g-3p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11397121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11564212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12575847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14706854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16979613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18848571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19137261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19244113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21992144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22525428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22767273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24337068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24625986'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24681666'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25017017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25225982'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25296750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27347659'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28122404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29274473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29558744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30534824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31063759'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31065009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31345992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31567589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8757754'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.565897348207431,0.263485444101723,0.263246054600801,-0.5277276014082,0.910643343614204,-0.031845535609003,"hsa-let-7g-3p","hsa-mir-324-5p",60,24.9168276207514,25.6496611228453,"25.3636506597997","25.1973763176422","24.1297351599338","24.9301063758919","25.2937686732295","25.0365832442151","25.2387915789254","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
60,"ACTB","hsa-mir-33a-5p","hsa-mir-324-5p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11397121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11564212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12575847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14706854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16979613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18848571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19137261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19244113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21992144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22525428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22767273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24337068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24625986'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24681666'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25017017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25225982'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25296750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27347659'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28122404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29274473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29558744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30534824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31063759'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31065009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31345992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31567589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8757754'>PubMedLink</a>","mirtarbase","mirtarbase tarbase",0.502357386969809,-0.392994232699471,0.565897348207431,0.263485444101723,0.910643343614204,-0.031845535609003,"hsa-mir-324-5p","hsa-mir-33a-5p",60,25.1106421439175,24.9168276207514,"25.6496611228453","25.3636506597997","25.514388774427","25.1420708804833","25.0365832442151","25.4046198783724","25.2387915789254","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
60,"ACTB","hsa-mir-34a-5p","hsa-let-7g-3p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11397121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11564212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12575847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14706854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16979613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18848571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19137261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19244113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21992144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22525428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22767273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24337068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24625986'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24681666'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25017017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25225982'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25296750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27347659'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28122404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29274473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29558744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30534824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31063759'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31065009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31345992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31567589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8757754'>PubMedLink</a>","tarbase","tarbase",0.940925191483641,0.0277587488381643,0.263246054600801,-0.5277276014082,0.910643343614204,-0.031845535609003,"hsa-let-7g-3p","hsa-mir-34a-5p",60,25.2183014355413,24.2965862157616,"24.9168276207514","25.3636506597997","24.2933819345621","25.1973763176422","25.4293769035597","25.2937686732295","25.4863517201352","25.8808484847039","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
60,"ACTB","hsa-mir-507","hsa-let-7g-3p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11397121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11564212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12575847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14706854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16979613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18848571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19137261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19244113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21992144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22525428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22767273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24337068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24625986'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24681666'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25017017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25225982'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25296750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27347659'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28122404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29274473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29558744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30534824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31063759'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31065009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31345992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31567589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8757754'>PubMedLink</a>","mirtarbase","tarbase",0.010667913080938,2.70827078235118,0.263246054600801,-0.5277276014082,0.910643343614204,-0.031845535609003,"hsa-let-7g-3p","hsa-mir-507",60,25.2183014355413,24.2965862157616,"24.9168276207514","25.3636506597997","24.9897972164614","24.1297351599338","24.9301063758919","25.4863517201352","24.6988268832353","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
93,"ACVR2B","hsa-mir-181d-5p","hsa-let-7a-3p",0.0055,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.754591315642434,-0.152825545803633,0.892869558579485,-0.0682230606720431,0.920668558517269,0.0377158579162721,"hsa-let-7a-3p","hsa-mir-181d-5p",93,14.228526313088,13.3744097518903,"13.9406733136719","14.1807564659633","14.4319276109616","13.9325273867927","15.436924779364","13.453766626428","13.3483216118612","13.8368980678615","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
93,"ACVR2B","hsa-mir-200b-3p","hsa-mir-335-5p",0.0075,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.0248115648980286,-0.912037670816545,0.274558472617775,-0.795578003101037,0.920668558517269,0.0377158579162721,"hsa-mir-335-5p","hsa-mir-200b-3p",93,14.8815360927383,14.1685747145114,"13.3744097518903","13.4000922183288","13.6967407904786","13.8368980678615","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
