"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72","_c73","_c74","_c75","_c76","_c77","_c78","_c79","_c80","_c81","_c82","_c83","_c84","_c85"
324,"APC","hsa-mir-125b-5p","hsa-mir-192-5p",0.002,FALSE,NA,NA,"NA
NA
<a href='https://pubmed.ncbi.nlm.nih.gov/10212817'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10485468'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10605402'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10674823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11048797'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11062151'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11078757'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11304579'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11315765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11338478'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11891177'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12163385'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12373147'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12378616'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12455028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12584167'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12695555'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12746473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12841866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12907646'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12907646'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12966349'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/1317264'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/1338691'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15197775'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15639718'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15639718'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16278815'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16407829'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16619216'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16619216'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16736496'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16991125'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17293392'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17964080'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17964080'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19259700'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19576232'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20025482'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20179237'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20210251'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20978327'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21538028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22158121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22262720'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22542170'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23049225'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24197976'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24470207'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25210923'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25344691'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25496852'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25602793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26033320'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26073472'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26862903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27087319'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27984236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28059096'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28543390'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28617917'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29156563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29525853'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30376837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30474112'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31406299'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7958689'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8019564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8081386'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8226275'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8406987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8440743'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8552404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8564980'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8616831'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8649856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8903471'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8943812'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9033644'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9111214'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9155671'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9990480'>PubMedLink</a>","mirtarbase","mirtarbase tarbase",8.82812523827531e-05,-0.314248291065357,0.197005518340449,0.0875254484404351,0.66000336253991,-0.0286652043950503,"hsa-mir-192-5p","hsa-mir-125b-5p",324,15.9427308679419,16.8466081337258,"17.3715720502305","17.735458658774","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
388,"RHOB","hsa-mir-1271-5p","hsa-mir-23a-5p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27806312'>PubMedLink</a>","tarbase","tarbase",0.236664780935491,-0.21645351322197,0.776413283757955,0.0515929406913883,0.0978180691784578,-0.093011724652652,"hsa-mir-23a-5p","hsa-mir-1271-5p",388,22.0480475911963,21.7371891321159,"22.4652131575353","20.9921527274371","21.5858581255238","22.5726572086837","21.7608315897992","22.5448377333394","24.276862000181","20.7159686613038","23.7028367248813","21.5646513996162","21.8958126328712","23.7135631486781","22.346438309354","21.8588211175078","23.1161165886972","22.4509149175749","21.4002820344485","23.2746588557038","21.5028543878392","21.2032993027278","24.0641093439041","22.3303397462932","22.9570313035047","20.5291544344813","21.4484410076175","21.8334537335881","22.3206584505894","23.2237099405779","20.3082585956754","22.2593571569225","22.3913622434671","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
399,"RHOH","hsa-mir-455-5p","hsa-mir-421",5e-04,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/27451075'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gSTAD/19802518'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/25041019'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/25510566'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/27016414'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/28962204'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.868707264467986,0.0183612133100132,0.00155907203780509,0.642999884855837,0.97833626694739,0.00188898612830594,"hsa-mir-421","hsa-mir-455-5p",399,15.0757619309146,15.2233547272637,"15.4536848189502","13.8423138957109","15.6685845101324","15.7564817756124","14.578993860781","14.0618444475506","14.7721457016569","15.0028455913835","13.5085928901121","16.0534088207729","14.1338322334951","14.8240047166813","15.3126307638527","14.9919325788464","15.304411917515","13.9659392454021","15.4948501430249","15.0694475190305","12.910740384627","13.002227236909","16.495791187977","14.0522102699079","14.7433618716157","14.81357508794","15.4136373198251","16.0250025319328","16.1478728864054","17.2015078604908","16.8228336125816","13.2646688296587","16.5107213853438","15.3796383937164","15.6443076750789","14.2352738995177","15.1368296103598","13.5242912561657","15.0853985371713","11.7394523670372","14.3453926450307","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
444,"ASPH","hsa-mir-1-3p","hsa-mir-323a-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase","tarbase",1.91853343624772e-19,-0.902171756398943,0.939552520441079,-0.0133463214374011,0.759690020048617,0.0192457473439375,"hsa-mir-323a-3p","hsa-mir-1-3p",444,18.7467837129828,17.843209599068,"17.108405586794","18.4384457950684","16.5549161690588","19.3408997548562","17.1036374989345","19.2967589428509","18.1075802290731","20.0392083222494","16.9182860062693","18.8516091980929","18.6361442329888","17.8613151600454","17.5962343990978","19.2293378184985","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
444,"ASPH","hsa-mir-145-5p","hsa-mir-148a-3p",0.0075,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/27143926'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/27460730'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/28382284'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gSTAD/30390708'>PubMedLink</a>",NA,"tarbase","tarbase",3.98528546062009e-11,-0.447160813019103,0.00077981421174787,-0.210134562082937,0.759690020048617,0.0192457473439375,"hsa-mir-148a-3p","hsa-mir-145-5p",444,18.236877260373,18.7467837129828,"18.6759475965163","18.5527127121984","16.9980168365231","18.3140524355631","17.8597920994976","16.7774680467522","17.8200428893847","19.6683931423509","18.7768080986015","18.0964988129869","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
444,"ASPH","hsa-mir-338-5p","hsa-mir-145-5p",0.002,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/27143926'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/27460730'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/28382284'>PubMedLink</a>",NA,"tarbase","tarbase",0.0147586350112855,-0.30862694495114,3.98528546062009e-11,-0.447160813019103,0.759690020048617,0.0192457473439375,"hsa-mir-145-5p","hsa-mir-338-5p",444,16.0087135365292,18.7467837129828,"16.8824991248039","16.5549161690588","18.5854542563247","18.6759475965163","18.4150891290258","19.2835159541258","16.9677519149562","18.8127414214414","16.3743832278878","16.7907179423752","19.1549863630336","16.9182860062693","18.8516091980929","18.3140524355631","18.2201730162712","19.2093676885235","17.8330612010389","17.8009403237572","18.6408779658095","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
472,"ATM","hsa-mir-223-3p","hsa-mir-148a-3p",0.001,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/29317648'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gSTAD/30390708'>PubMedLink</a>","NA
NA
NA
<a href='https://pubmed.ncbi.nlm.nih.gov/14706517'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16369744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23201008'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23569343'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23649938'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24324828'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24486587'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24531888'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24841718'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25972194'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26098866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26506520'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26587992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27638859'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28138034'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28453388'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28647209'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29753747'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30221053'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30729066'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31206368'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31485675'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9592204'>PubMedLink</a>","mirtarbase","tarbase",0.775365090821993,0.0249908392730615,0.00077981421174787,-0.210134562082937,0.818892281727251,0.0153222513333389,"hsa-mir-148a-3p","hsa-mir-223-3p",472,14.209880843877,14.6721491829765,"16.1270509463028","15.5055204364847","16.4777645292545","15.6379739412559","16.1652612451518","16.5759363658806","16.0428756558137","16.8017373843379","16.4056556425131","16.4732174303011","15.8751424056981","16.5026165711305","16.5587459004576","16.5315735543303","14.6802360295441","15.0745576525213","16.442434275716","15.6646540240895","14.0827161251094","15.398857648567","16.3125410578145","16.2086679143114","14.6687735288393","17.2923440123059","14.9120379532772","16.407636372201","16.2520571922533","14.7260178701412","15.5645173996593","16.2533181558523","16.8275578036708","16.3888631140599","15.6179390933993","16.3476960846749","16.4879424679469","15.8856953180585","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
667,"DST","hsa-mir-335-5p","hsa-mir-342-3p",0.0095,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/24805774'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/29215918'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/33685481'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11948124'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.383166360453186,0.130047270877898,0.219289907001129,-0.117205816198364,0.228013645493433,-0.0776723882062677,"hsa-mir-342-3p","hsa-mir-335-5p",667,15.7764485604847,15.3745342922822,"16.5142317298741","17.2883150107011","16.9868180115112","16.257419930755","17.1764527803482","17.5036432427948","17.906408467045","17.6989548827622","17.6835215103615","17.4401191822633","17.5980622419124","15.3553190984293","18.4519726155958","17.1414553421136","15.5487675426427","17.6682795498351","18.3740809738353","15.9660353543057","16.5255508672007","17.999059267214","16.2764265921953","18.2756643692248","16.7640009592888","17.0098955677836","18.2280105830969","15.9177830559294","18.3017649393672","16.2027207136961","17.336713846712","15.3150827415456","16.3018022754379","17.9745584265896","19.3074204461771","17.477455202531","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-1271-5p","hsa-mir-940",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/26317898'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/26456959'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14612939'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24130168'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25960238'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>","tarbase","tarbase",0.236664780935491,-0.21645351322197,0.00542461439455454,0.559150084478533,0.487443218921618,-0.0426532780607654,"hsa-mir-940","hsa-mir-1271-5p",894,19.007788595143,17.9870856101961,"20.0321423946805","19.6869752977898","20.094652792311","19.9798191081586","20.0146178849646","18.5358333622856","18.9954069240321","18.192849543578","16.826865579202","19.3675633044479","17.3562680220047","18.2138836882018","20.8336557537698","20.07204941942","19.4284067576027","18.3017506204851","20.1503427910433","16.3815541709287","18.8292019453339","16.0548412780342","19.0366964261555","20.3486451383293","18.0487612796445","19.204351252088","17.7417179881893","21.0153585366785","18.069546750605","18.0218679986644","19.1506060041995","18.0757063753344","18.4132798617997","15.8590376257301","19.5974113719871","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-1468-5p","hsa-mir-940",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/26317898'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/26456959'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14612939'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24130168'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25960238'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>","tarbase","tarbase",0.0132602211795168,-0.362099507412141,0.00542461439455454,0.559150084478533,0.487443218921618,-0.0426532780607654,"hsa-mir-940","hsa-mir-1468-5p",894,19.007788595143,17.9870856101961,"17.2388533368613","20.8209321635253","20.0321423946805","19.6512318600792","19.0164658008118","20.094652792311","19.4898186844861","20.0146178849646","17.1057511250279","19.3675633044479","16.6424018122701","17.3562680220047","18.2138836882018","18.1930119147872","17.4554198709729","18.5922791182204","18.7800074704479","19.0366964261555","18.0487612796445","19.204351252088","17.7417179881893","19.497295901172","17.2603386458718","17.3716612795418","19.1506060041995","17.9545715389014","20.1461865652888","15.8590376257301","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
