"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16"
36,"ACADSB","hsa-mir-200a-3p","hsa-mir-141-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-141-3p","hsa-mir-200a-3p",36,15.0816376350371,14.4193487680611,"16.2505726155186","16.4996970307536","16.9367882519098","15.8744387849701","15.9983085296399","16.0608626046769","17.1984477303015","""""","""""","""""","""""",""""""
70,"ACTC1","hsa-mir-92b-3p","hsa-mir-7-5p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-7-5p","hsa-mir-92b-3p",70,24.6567300687366,23.6173043620121,"23.982610434902","24.3813014454235","24.204461821306","""""","""""","""""","""""","""""","""""","""""","""""",""""""
103,"ADAR","hsa-mir-335-3p","hsa-mir-424-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-424-5p","hsa-mir-335-3p",103,19.6593784161641,20.4121582434143,"20.716734807581","19.7512860166034","20.5021658074134","""""","""""","""""","""""","""""","""""","""""","""""",""""""
112,"ADCY6","hsa-mir-532-3p","hsa-mir-182-5p",0.0095,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-182-5p","hsa-mir-532-3p",112,17.3699975077175,18.0564101619676,"17.8054871300182","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
142,"PARP1","hsa-let-7c-5p","hsa-mir-199b-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27470351'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28886696'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29436682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30447298'>PubMedLink</a>","tarbase","tarbase","hsa-mir-199b-5p","hsa-let-7c-5p",142,20.8558950253658,19.7641927974381,"19.6181468782378","20.2962972871829","20.4904156092073","20.6159741032972","20.9294319481485","""""","""""","""""","""""","""""","""""",""""""
142,"PARP1","hsa-mir-502-5p","hsa-mir-98-5p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27470351'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28886696'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29436682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30447298'>PubMedLink</a>","tarbase","tarbase","hsa-mir-98-5p","hsa-mir-502-5p",142,19.6236605098675,20.8558950253658,"20.827955839202","20.4904156092073","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
302,"ANXA2","hsa-mir-424-5p","hsa-mir-133a-3p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/21715543'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27784647'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31842290'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-133a-3p","hsa-mir-424-5p",302,21.5238736116314,20.1908333567885,"19.3561415989201","19.2081079030485","20.5550049487414","21.2608763415034","""""","""""","""""","""""","""""","""""","""""",""""""
311,"ANXA11","hsa-mir-760","hsa-mir-335-5p",0.0095,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-335-5p","hsa-mir-760",311,21.1295242367973,18.9805359290424,"19.1088950507395","19.3290563432394","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
334,"APLP2","hsa-mir-660-5p","hsa-mir-34b-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-34b-5p","hsa-mir-660-5p",334,20.7061153834133,20.8026834682394,"20.4593047002149","20.4690133667847","22.0705600200251","21.0645630305842","21.5170210497871","20.310001377582","""""","""""","""""","""""","""""",""""""
356,"FASLG","hsa-mir-329-3p","hsa-mir-362-3p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10817504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25472583'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-362-3p","hsa-mir-329-3p",356,11.6478275670987,12.6676770693158,"13.2370352254177","14.0033350725344","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
