"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21"
444,"ASPH","hsa-let-7c-5p","hsa-mir-96-5p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-96-5p","hsa-let-7c-5p",444,16.1559504509392,16.1991701661309,"16.0233105644645","16.5234674540846","16.2929725893526","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
472,"ATM","hsa-mir-320c","hsa-mir-1-3p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31377937'>PubMedLink</a>","tarbase","tarbase","hsa-mir-1-3p","hsa-mir-320c",472,13.9578065998602,14.3870138510957,"15.6611264827711","13.1351158442526","13.7545343495013","16.058418597808","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
774,"CACNA1B","hsa-mir-335-5p","hsa-mir-3150b-3p",0.0015,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-3150b-3p","hsa-mir-335-5p",774,11.9422939398364,12.6917460028768,"11.9401709029207","10.7329234426932","11.1817890635835","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
814,"CAMK4","hsa-mir-2116-3p","hsa-mir-629-3p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-629-3p","hsa-mir-2116-3p",814,9.90067522359193,10.4377257206079,"13.7842662040293","10.4281474666614","10.4472758783033","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
836,"CASP3","hsa-mir-30a-3p","hsa-mir-129-5p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-129-5p","hsa-mir-30a-3p",836,16.1290566327745,16.0110568619891,"16.1459975583575","16.7854785973693","15.875907877339","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
864,"RUNX3","hsa-mir-106a-5p","hsa-mir-495-3p",0.004,TRUE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-495-3p","hsa-mir-106a-5p",864,14.530991594519,15.360731176236,"14.6088207958013","15.6689040053007","14.2219378029327","17.3574315740131","13.1979336084938","13.4102371959134","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-32-5p","hsa-mir-424-5p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-424-5p","hsa-mir-32-5p",894,18.5205555893121,18.2721120363267,"17.6819157246456","16.7705517703757","18.5111348217148","17.2608847316608","18.0203736981806","18.5875570840774","18.5102287307853","19.0654634348058","19.1546073370985","18.0378226331124","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-let-7b-5p","hsa-mir-145-5p",0.0035,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-145-5p","hsa-let-7b-5p",1021,14.1913165578063,16.2758300523088,"14.6436687236584","15.0737014657224","14.9036760307073","14.800596439986","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-129-2-3p","hsa-let-7b-5p",0.0085,FALSE,NA,NA,NA,"mirtarbase","mirtarbase tarbase","hsa-let-7b-5p","hsa-mir-129-2-3p",1021,15.8291591490798,14.1913165578063,"14.7118381233279","15.1208894243572","15.0737014657224","14.9036760307073","15.5138512870186","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-145-5p","hsa-mir-582-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-582-5p","hsa-mir-145-5p",1021,14.1913165578063,14.9886935045042,"14.9415115879885","14.6436687236584","14.061062631955","14.3752204387228","14.827667880673","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
