mRNA;mRNAinTriplets;TargetInteractionsofthemRNA
SOD2;91;354
CCND2;63;296
IGF1R;40;325
CDK6;39;313
AHNAK;36;200
GPRC5A;31;144
PALM2AKAP2;29;152
MKI67;27;150
PEG10;26;209
NPTX1;25;132
FN1;24;90
BTG2;23;328
VLDLR;22;126
THBS1;22;173
FGF2;21;136
TXNIP;21;271
CYP1B1;21;64
IRF4;20;111
ABHD2;20;160
GREB1L;20;64
CCND1;20;303
CCNE2;19;76
RAB11FIP1;19;135
IGF2BP1;19;205
MYC;19;130
RAPH1;19;128
MAP1B;18;204
KCNMB1;18;86
ZBTB8B;17;129
NOTCH2;17;177
EPHA7;17;54
CDKN1A;16;347
PRRG4;16;162
TAOK1;16;407
ADAMTS1;16;102
SOX11;16;122
NFIC;15;331
ZMAT3;15;204
TRIM2;15;58
HMGA2;15;188
ZNF711;14;186
SESN3;14;197
DST;14;156
SLC38A1;14;171
LDLR;14;226
ZC3H12C;14;142
HOXA10;14;104
GLUL;13;135
ENPP5;13;122
ITGB8;13;118
SLC7A2;13;105
ASH1L;13;214
RRM2;13;131
PRKAA2;13;71
SACS;13;103
NFIA;12;123
FOSL2;12;137
LIFR;12;104
TNC;12;83
PRLR;12;102
FBN1;12;110
FKBP14;11;106
CDCP1;11;143
ANKRD52;11;325
SCD;11;254
ZNF217;11;158
SYNM;11;71
RORA;11;219
TRPS1;11;156
FBN2;10;68
LMNB1;10;95
PLAG1;10;138
CD274;10;57
COL12A1;10;124
SLC38A2;10;168
EEF2;10;153
E2F2;10;100
CBX6;10;279
MAP3K21;10;99
ACVR2B;10;203
TMEM64;10;127
SFT2D2;10;324
RNF213;10;133
IRS2;9;76
VEGFA;9;161
TP53INP1;9;195
SLC7A11;9;143
RAB3B;9;87
ASPM;9;66
AGO2;9;362
APOL6;9;130
TFRC;9;137
TGFBR3;9;116
IGFBP5;9;170
NAT8L;9;77
TACC1;9;103
RHOB;9;136
MYH9;9;167
FAT1;9;85
NFATC3;9;76
PGM2L1;8;140
FAM241A;8;181
PXDN;8;90
CPEB4;8;134
HYOU1;8;80
SOX4;8;200
PTPRJ;8;125
ARAP2;8;62
MACF1;8;129
NFAT5;8;221
LENG8;8;151
ADAMTS5;8;124
EGR1;8;76
MAP3K9;8;151
CELSR2;8;54
SIK1;8;126
OAS2;8;60
LTBP1;8;40
NDRG1;8;108
SOCS5;8;121
TET3;8;215
ABHD15;8;69
KLRD1;8;60
IRF1;8;82
FNDC3B;8;222
SLCO5A1;8;61
NR6A1;8;126
ANLN;8;78
SIX4;7;167
COL1A1;7;149
TUBB;7;145
ZBTB38;7;143
HSPA4L;7;165
SMG1;7;225
CBX2;7;121
TMEM200C;7;30
MBNL1;7;214
RRAGD;7;81
DPYSL5;7;92
BCL2;7;87
NBL1;7;37
NBL1;7;80
NEGR1;7;105
HSPG2;7;63
ASAP2;7;58
FAXC;7;118
SPOPL;7;101
ZNFX1;7;148
ADARB1;7;73
FAT3;7;103
MYPN;7;126
EPHA4;7;108
IDS;7;89
CADM2;7;65
MAP7;7;64
CEMIP2;7;167
ZEB2;7;58
SGK1;7;97
PHC3;7;129
HIPK3;7;150
ESR1;7;81
PSD3;7;98
AKT3;7;89
PAPPA;7;60
IREB2;6;175
SYBU;6;22
ADAM12;6;43
CD2AP;6;121
HIPK1;6;194
FASN;6;100
SOBP;6;88
MKNK2;6;246
PMAIP1;6;156
SEMA4B;6;32
MDM2;6;353
SNTB2;6;119
BAMBI;6;58
NTRK3;6;32
FRMD6;6;88
MYADM;6;140
HOMER2;6;40
GALNT4;6;36
KCNC4;6;66
CLIC4;6;142
FOXC1;6;112
CHIC1;6;83
DSEL;6;136
ATP2A2;6;151
SQSTM1;6;75
GSK3B;6;144
TRIM71;6;144
PDE3A;6;117
GIGYF1;6;357
NFIB;6;169
IL6ST;6;162
ASPH;6;129
ATP13A3;6;155
AMOT;6;80
HOXC8;6;91
CFL2;6;108
B2M;6;75
E2F7;6;107
WEE1;6;273
CPS1;6;88
WNK1;6;230
LCOR;6;278
DICER1;6;253
DLC1;6;128
CLU;6;80
NACC1;5;311
SLC6A6;5;66
ACTB;5;150
FXYD5;5;33
FSTL1;5;118
KIF5C;5;64
CHD7;5;115
ETS1;5;92
MBNL2;5;64
ATXN1;5;200
ARID5B;5;151
MMP16;5;41
MATR3;5;103
IL6R;5;100
IFI44L;5;41
GPR157;5;82
ITGB1;5;101
PIK3R1;5;104
ANKRD33B;5;76
KLF10;5;115
KIAA1522;5;59
KLHL15;5;351
RASSF8;5;89
ACSL4;5;132
SLC16A1;5;138
AXL;5;56
TOB1;5;67
ADAM9;5;107
CPEB2;5;100
PANK3;5;232
TUB;5;65
NUFIP2;5;478
ZNF512B;5;132
CBX5;5;286
IKZF2;5;82
CD226;5;102
MAFK;5;121
SAMD12;5;91
CYBRD1;5;65
ITGA2;5;121
SPTBN1;5;119
CSRNP3;5;101
TLN1;5;159
CEP55;5;67
TRMT9B;5;139
TET1;5;42
NBEA;5;33
TNFAIP3;5;110
FZD6;5;149
LARP1;5;243
DHCR24;5;101
ID4;5;105
RHOBTB3;5;111
FGFR1;5;95
ARL4C;5;98
DDX3Y;5;56
SLC5A3;5;137
SLC20A1;5;100
MDM4;5;198
MYO10;5;121
CCDC71L;5;102
ABL2;5;189
HOXA9;5;111
PPARGC1A;5;40
MBD3;5;103
QKI;5;157
TENT5C;5;75
SLC16A9;4;85
COL4A1;4;87
IFNLR1;4;152
FOXO1;4;81
LAPTM4B;4;54
FKBP5;4;90
CA8;4;56
ELMO2;4;42
GREM1;4;54
VCAN;4;74
LYN;4;72
GATM;4;68
CPT1A;4;88
CRIM1;4;116
TMEM154;4;103
FRK;4;161
PRUNE2;4;47
SS18;4;48
PTGS2;4;48
RAB3IP;4;152
AMOTL2;4;136
DAB2;4;57
AFF4;4;176
BMPR2;4;130
DYNLL2;4;196
MCL1;4;224
MAST4;4;67
ALCAM;4;46
LRRD1;4;55
SEC23A;4;92
LNPEP;4;194
PCDH10;4;42
LRIG1;4;68
TRIO;4;103
KLF6;4;105
MSI2;4;138
MTHFD2;4;168
CDH1;4;50
S100A16;4;69
SEMA7A;4;76
BTBD3;4;130
HEG1;4;73
IGF2;4;88
ATP6V0E1;4;87
PITPNM3;4;108
THRB;4;60
RGMB;4;128
SOCS3;4;37
INSIG1;4;128
NRIP1;4;90
TNFRSF21;4;70
ST6GAL1;4;29
MICB;4;86
PTGFRN;4;91
CHD1;4;89
ADRB1;4;61
ACVR2A;4;48
PKIA;4;45
ZEB1;4;53
LAMC1;4;149
TSKU;4;105
HSPA1B;4;99
TFAP2A;4;81
PTP4A1;4;194
TGFB1I1;4;17
LBR;4;134
ZFHX3;4;200
ZNF281;4;166
ATP9A;4;128
SGPL1;4;136
PDCD4;4;113
NNT;4;94
KCNK6;4;101
PAM;4;56
PARD6B;4;184
AKAP12;4;54
ZBTB18;4;218
BCAT1;4;83
ASAP1;4;87
ORAI2;4;205
PPTC7;4;94
DIPK1B;4;75
VAV3;4;130
C6orf132;4;73
BCL2L2;4;117
AKAP11;4;191
HHIP;4;114
ELL2;4;105
GPSM1;4;53
KCNQ5;4;43
ITGA3;4;92
NSD2;4;116
NACC2;4;232
F3;4;37
TPM1;4;51
EGLN3;4;37
VIM;4;73
TPD52;4;85
BIRC3;4;52
NOL4L;4;68
SPRY4;4;162
DYNC1LI2;4;123
CKB;4;23
COL5A1;4;73
FAM71F2;4;142
STC2;4;138
TNPO2;4;215
ZNF431;4;189
TIMP2;4;70
HAS2;4;67
ZFHX4;4;78
LPCAT1;4;53
SSH2;4;102
SLC19A2;4;44
SMOC1;4;95
TGFBR2;4;133
SOX6;4;45
ELK4;4;215
AMOTL1;4;111
BNC2;4;94
PLOD2;3;59
SESN2;3;143
TMEM245;3;178
ABCC6;3;51
NUDT3;3;217
REL;3;190
DSP;3;53
REV3L;3;157
DIRAS1;3;37
SMAD7;3;100
SHANK2;3;39
COL1A2;3;89
FGFR2;3;13
BACH2;3;67
GNS;3;103
SLC1A2;3;51
KMT2A;3;239
GOLGB1;3;56
MYO1D;3;60
KMT2D;3;316
RNF145;3;35
SSTR2;3;61
CITED2;3;53
APP;3;128
PRICKLE1;3;86
KCNMA1;3;20
EFR3A;3;66
LRRC41;3;76
SYNPO2L;3;77
PRKDC;3;135
CCDC88A;3;40
TTYH3;3;107
MLEC;3;151
ZCCHC2;3;110
DSG2;3;67
CNKSR3;3;160
GABARAPL1;3;56
ZNF850;3;103
AFF1;3;97
PMEPA1;3;84
EGFR;3;61
IKZF3;3;141
IRS1;3;55
SH3BP4;3;63
KIAA1549;3;84
TNRC6C;3;165
MAVS;3;147
GJC1;3;64
PPP1R12B;3;67
PEX5L;3;60
KLF12;3;44
NR4A1;3;28
GALNT7;3;58
NUP50;3;87
TP53;3;136
ACTC1;3;63
FOXP1;3;125
VANGL1;3;103
KIF1A;3;32
XPR1;3;56
CDK5R1;3;50
FHL2;3;88
ZNRF3;3;84
SLC7A1;3;144
MTRNR2L8;3;35
TNKS1BP1;3;109
KLF11;3;37
TRPC3;3;35
IL1R1;3;23
KCTD12;3;81
ITPRIPL2;3;137
BRI3BP;3;146
AURKA;3;83
HOXB3;3;88
MTUS1;3;75
ZNF107;3;150
TFPI;3;75
NCKAP1;3;201
CDK1;3;54
EN2;3;110
POU2F2;3;78
KCND3;3;53
ABL1;3;101
AQP3;3;57
ZNF772;3;94
PSAP;3;104
FLRT2;3;22
IL1A;3;20
SLC2A3;3;88
PRRX1;3;50
BPTF;3;112
TRIOBP;3;82
CRY2;3;122
SYNGR2;3;61
YIPF4;3;196
PTPN13;3;32
BRCA1;3;41
CXCL5;3;66
ARNTL2;3;51
ZNF704;3;137
BCL11A;3;60
GABBR1;3;62
COL3A1;3;39
PTPRD;3;57
NRXN3;3;76
RNF165;3;72
ZNF208;3;51
PBX1;3;69
SLC40A1;3;17
MCM7;3;80
SALL1;3;72
BBX;3;126
DUSP8;3;46
OSTM1;3;114
OTUD4;3;162
SPEN;3;190
EPAS1;3;63
CEMIP;3;58
RIF1;3;161
PIK3CB;3;47
MIB1;3;86
KATNAL1;3;128
RNF125;3;95
PARP15;3;104
SLC35F5;3;123
ARHGAP29;3;65
FST;3;32
EPS8;3;41
PTPRF;3;122
MIDEAS;3;149
SMC4;3;64
RAPGEF2;3;91
BTLA;3;49
ZNF703;3;138
APAF1;3;97
CSNK1E;3;115
CPEB3;3;110
JMJD1C;3;120
LPP;3;198
JCAD;3;61
DEPP1;3;34
ACADSB;3;53
ENPP2;3;47
HIF1A;3;130
NPAS2;3;14
RBP1;3;7
PRRC2C;3;180
EDEM1;3;72
DUS1L;3;54
LUZP2;3;37
SOX5;3;60
TSC22D3;3;73
PDE4DIP;3;98
SLC16A7;3;39
MXD1;3;67
EPM2AIP1;3;86
RAB3C;3;45
PDIA6;3;79
SREBF1;3;69
ZFP36;3;100
MTMR3;3;88
CAPRIN2;3;77
PPL;3;31
LAX1;3;75
RGS17;3;69
PDE7A;3;104
STAT2;3;71
MAMLD1;3;24
GLI2;3;60
CCN2;3;63
HPSE;3;62
CREBRF;3;199
JAG1;3;37
TRIL;3;6
RIMKLA;3;31
TUBB2A;3;69
COL5A2;3;36
RORB;3;45
VGLL4;3;104
MYBL1;3;79
CLSTN3;3;20
CENPF;3;76
CACNG8;3;171
SLC30A1;3;92
DKK1;3;30
ZNF185;3;33
STC1;3;60
WASF3;3;50
TOP2A;3;67
NTRK2;3;17
QSER1;3;159
ARFGEF3;3;73
TIPARP;3;55
IRAK2;3;48
AR;3;110
GLB1L3;3;25
ZNF621;3;104
ZNF121;3;88
NPTXR;3;100
IGF2BP3;3;70
GATA6;3;136
WWTR1;3;80
PRSS23;3;46
CA12;3;33
JARID2;3;117
