geneID,mRNA,mRNAinTriplets,TargetInteractionsofthemRNA
6648,SOD2,64,354
894,CCND2,38,296
4288,MKI67,27,150
9052,GPRC5A,23,144
2335,FN1,23,90
79026,AHNAK,22,200
1021,CDK6,21,313
3662,IRF4,21,111
445815,PALM2AKAP2,20,152
11057,ABHD2,20,160
1545,CYP1B1,20,64
3480,IGF1R,19,325
7832,BTG2,18,328
9134,CCNE2,18,76
23089,PEG10,17,209
80000,GREB1L,17,64
10628,TXNIP,16,271
728116,ZBTB8B,16,129
3779,KCNMB1,16,86
2045,EPHA7,16,54
80223,RAB11FIP1,15,135
2247,FGF2,15,136
9510,ADAMTS1,14,102
7057,THBS1,14,173
4884,NPTX1,13,132
6241,RRM2,13,131
65059,RAPH1,12,128
3371,TNC,12,83
2752,GLUL,12,135
10642,IGF2BP1,12,205
6542,SLC7A2,11,105
3206,HOXA10,11,104
7436,VLDLR,11,126
55033,FKBP14,11,106
4609,MYC,11,130
3977,LIFR,11,104
8091,HMGA2,10,188
81539,SLC38A1,10,171
667,DST,9,156
388,RHOB,9,136
55870,ASH1L,9,214
6664,SOX11,9,122
5563,PRKAA2,9,71
26278,SACS,9,103
4001,LMNB1,9,95
1870,E2F2,9,100
2201,FBN2,9,68
80830,APOL6,9,130
259266,ASPM,9,66
116236,ABHD15,8,69
3949,LDLR,8,226
143686,SESN3,8,197
339983,NAT8L,8,77
4052,LTBP1,8,40
57551,TAOK1,8,407
8660,IRS2,8,76
6659,SOX4,8,200
56896,DPYSL5,7,92
10525,HYOU1,7,80
253559,CADM2,7,65
2099,ESR1,7,81
645369,TMEM200C,7,30
339745,SPOPL,7,101
9839,ZEB2,7,58
5324,PLAG1,7,138
4681,NBL1,7,80
132720,FAM241A,7,181
169200,TMEM64,7,127
64393,ZMAT3,7,204
81796,SLCO5A1,7,61
64866,CDCP1,7,143
595,CCND1,7,303
3339,HSPG2,7,63
84665,MYPN,7,126
79056,PRRG4,7,162
7037,TFRC,7,137
104,ADARB1,7,73
85463,ZC3H12C,7,142
257194,NEGR1,7,105
203068,TUBB,7,145
84451,MAP3K21,7,99
25932,CLIC4,6,142
5618,PRLR,6,102
4774,NFIA,6,123
4939,OAS2,6,60
4154,MBNL1,6,214
283209,PGM2L1,6,140
6867,TACC1,6,103
120114,FAT3,6,103
5069,PAPPA,6,60
7764,ZNF217,6,158
58528,RRAGD,6,81
2195,FAT1,6,85
10397,NDRG1,6,108
7552,ZNF711,6,186
1952,CELSR2,6,54
1958,EGR1,6,76
1026,CDKN1A,6,347
5865,RAB3B,6,87
57169,ZNFX1,5,148
9455,HOMER2,5,40
3488,IGFBP5,5,170
7422,VEGFA,5,161
10666,CD226,5,102
55165,CEP55,5,67
4325,MMP16,5,41
5366,PMAIP1,5,156
6095,RORA,5,219
1277,COL1A1,5,149
54855,TENT5C,5,75
23336,SYNM,5,71
488,ATP2A2,5,151
4131,MAP1B,5,204
122786,FRMD6,5,88
4781,NFIB,5,169
144455,E2F7,5,107
84733,CBX2,5,121
2043,EPHA4,5,108
93,ACVR2B,5,203
22824,HSPA4L,5,165
3224,HOXC8,5,91
54443,ANLN,5,78
4775,NFATC3,5,76
53827,FXYD5,5,33
64778,FNDC3B,4,222
7227,TRPS1,4,156
220963,SLC16A9,4,85
23657,SLC7A11,4,143
2200,FBN1,4,110
57604,TRMT9B,4,139
10725,NFAT5,4,221
25805,BAMBI,4,58
3824,KLRD1,4,60
4627,MYH9,4,167
4194,MDM4,4,198
2628,GATM,4,68
11096,ADAMTS5,4,124
1303,COL12A1,4,124
1373,CPS1,4,88
3659,IRF1,4,82
80045,GPR157,4,82
7168,TPM1,4,51
55638,SYBU,4,22
92,ACVR2A,4,48
6319,SCD,4,254
7275,TUB,4,65
10797,MTHFD2,4,168
6566,SLC16A1,4,138
27242,TNFRSF21,4,70
54407,SLC38A2,4,168
7041,TGFB1I1,4,17
444,ASPH,4,129
401387,LRRD1,4,55
9782,MATR3,4,103
2355,FOSL2,4,137
84458,LCOR,4,278
80034,CSRNP3,4,101
160760,PPTC7,4,94
10964,IFI44L,4,41
7803,PTP4A1,4,194
3688,ITGB1,4,101
23049,SMG1,4,225
8323,FZD6,4,149
80228,ORAI2,4,205
10000,AKT3,4,89
53344,CHIC1,4,83
7128,TNFAIP3,4,110
2444,FRK,4,161
26585,GREM1,4,54
401474,SAMD12,4,91
3696,ITGB8,4,118
651746,ANKRD33B,4,76
1105,CHD1,4,89
8754,ADAM9,4,107
150094,SIK1,4,126
131405,TRIM71,4,144
154796,AMOT,4,80
7468,NSD2,4,116
64399,HHIP,4,114
59084,ENPP5,4,122
201799,TMEM154,3,103
5795,PTPRJ,3,125
2263,FGFR2,3,13
2932,GSK3B,3,144
6480,ST6GAL1,3,29
9865,TRIL,3,6
3423,IDS,3,89
57670,KIAA1549,3,84
7757,ZNF208,3,51
54900,LAX1,3,75
4916,NTRK3,3,32
5493,PPL,3,31
57509,MTUS1,3,75
368,ABCC6,3,51
27,ABL2,3,189
11228,RASSF8,3,89
3164,NR4A1,3,28
6790,AURKA,3,83
5352,PLOD2,3,59
10762,NUP50,3,87
