CancerType;N.Triplets;N.mRNAs;N.miRNAPairs;N.miRNAs
ACC;304;233;290;181
BLCA;299;168;292;189
BRCA;19;18;19;36
CESC;117;100;116;123
CHOL;47;42;45;66
COAD;82;65;77;81
DLBC;202;165;168;123
ESCA;241;187;222;158
HNSC;86;66;82;85
KICH;117;100;99;84
KIRC;37;31;37;44
KIRP;63;53;62;76
LGG;87;36;86;74
LIHC;135;101;132;134
LUAD;84;71;79;83
LUSC;40;36;39;60
MESO;137;107;132;121
OV;67;57;67;74
PAAD;43;39;40;43
PCPG;71;59;68;86
PRAD;6;5;6;10
READ;83;72;81;82
SARC;782;374;741;277
SKCM;658;471;588;274
STAD;260;146;248;163
TGCT;430;236;405;233
THCA;8;8;8;16
THYM;485;258;415;196
UCEC;165;115;159;156
UCS;499;319;413;228
UVM;211;182;186;138
