miRNA,miRNAinTriplets,miRNATargets
miR-424-5p,84,1983
miR-19a-3p,75,1383
miR-20b-5p,75,1387
miR-17-5p,73,2094
miR-106a-5p,72,1402
miR-20a-5p,69,2077
miR-195-5p,69,1683
miR-497-5p,66,1473
miR-125b-5p,58,996
miR-182-5p,58,1473
miR-7-5p,54,1506
let-7b-5p,53,1770
let-7c-5p,52,1333
miR-130a-3p,49,1206
miR-29b-3p,48,1020
miR-940,47,1080
miR-335-5p,44,1406
miR-93-5p,42,2031
let-7e-5p,40,1503
miR-141-3p,39,835
miR-519d-3p,39,885
miR-362-3p,39,809
miR-9-5p,38,929
miR-96-5p,38,826
miR-766-3p,37,1460
miR-33a-5p,36,519
miR-301b-3p,35,883
miR-18a-3p,35,537
miR-15b-5p,35,2013
miR-19b-3p,35,1391
miR-130b-3p,34,989
miR-192-5p,32,751
miR-30a-5p,31,1420
miR-218-5p,30,1108
miR-130b-5p,29,834
miR-31-5p,29,489
miR-199a-3p,29,493
miR-181a-2-3p,29,642
miR-30a-3p,29,890
miR-133a-3p,29,332
miR-200c-3p,29,820
miR-29a-3p,29,1204
miR-196b-5p,29,531
miR-29c-3p,28,999
miR-149-5p,28,758
miR-92b-3p,28,920
miR-212-3p,28,494
miR-301a-3p,28,1045
miR-582-5p,27,523
miR-181d-5p,27,816
miR-616-5p,27,582
miR-200b-3p,27,729
miR-204-5p,26,751
miR-455-3p,26,648
miR-129-5p,26,990
miR-215-5p,26,508
miR-145-5p,26,527
miR-3065-3p,25,496
miR-103a-2-5p,25,609
miR-93-3p,24,810
miR-196a-5p,24,761
miR-1-3p,24,797
miR-331-3p,24,641
miR-625-5p,23,583
miR-942-5p,23,785
miR-410-3p,23,241
miR-503-5p,23,616
miR-148a-3p,23,1154
let-7f-5p,23,1523
miR-642a-5p,23,413
miR-224-5p,22,563
miR-181a-5p,22,1556
miR-203a-3p,21,647
miR-7-1-3p,21,543
miR-34a-5p,21,2823
miR-30c-2-3p,21,832
miR-18a-5p,21,703
miR-651-5p,21,309
miR-155-5p,21,958
miR-629-3p,20,651
miR-199b-3p,20,249
miR-193b-3p,20,952
miR-19b-1-5p,20,623
miR-106b-5p,20,2004
miR-340-5p,20,928
miR-330-3p,20,660
miR-30b-3p,20,919
miR-181c-5p,19,1040
miR-2355-5p,19,544
miR-363-3p,19,532
miR-520a-3p,19,604
miR-345-5p,19,208
miR-539-5p,19,263
miR-874-3p,19,297
miR-20a-3p,19,642
miR-432-5p,18,248
miR-183-5p,18,678
miR-338-5p,18,376
miR-221-5p,18,856
miR-500a-3p,18,331
miR-135b-5p,18,304
miR-142-3p,18,687
miR-21-3p,17,653
miR-200a-3p,17,655
miR-452-3p,17,330
miR-520d-3p,17,399
miR-9-3p,17,480
miR-192-3p,17,244
miR-362-5p,17,251
miR-1301-3p,17,560
miR-143-3p,17,706
miR-429,17,453
miR-302c-3p,16,716
miR-338-3p,16,693
miR-26b-5p,16,1755
miR-421,16,620
miR-181b-5p,16,1086
miR-214-3p,16,437
miR-188-3p,16,354
miR-205-5p,15,390
miR-1226-3p,15,577
miR-223-5p,15,314
miR-142-5p,15,619
miR-33a-3p,15,449
miR-378a-3p,15,642
miR-221-3p,15,598
miR-302d-3p,15,565
miR-125b-2-3p,15,441
miR-326,14,405
miR-30c-1-3p,14,823
miR-497-3p,14,340
miR-491-5p,14,461
miR-526b-3p,14,629
miR-138-5p,14,527
miR-1229-3p,14,330
miR-501-5p,14,407
miR-18b-5p,14,378
miR-450b-5p,14,603
miR-505-5p,14,466
miR-199b-5p,13,314
miR-127-5p,13,226
miR-124-3p,13,1423
miR-302a-3p,13,700
miR-150-5p,13,611
miR-330-5p,13,536
miR-10a-5p,13,569
miR-511-5p,13,237
miR-3662,13,393
miR-1271-5p,13,254
miR-148a-5p,13,422
miR-130a-5p,13,320
miR-144-3p,13,363
miR-3065-5p,13,329
miR-194-3p,13,265
miR-335-3p,12,642
miR-34b-5p,12,327
miR-27b-3p,12,1785
miR-502-5p,12,345
miR-320b,12,576
miR-136-5p,12,303
miR-141-5p,12,705
miR-149-3p,12,835
miR-27a-5p,12,331
miR-505-3p,12,253
miR-508-5p,12,461
miR-493-3p,12,209
miR-29b-2-5p,12,529
miR-222-5p,11,270
miR-29a-5p,11,543
let-7g-3p,11,385
miR-411-5p,11,204
miR-214-5p,11,240
miR-577,11,329
miR-532-3p,11,595
miR-144-5p,11,64
miR-125a-3p,11,510
miR-33b-5p,11,306
miR-132-3p,11,595
miR-589-3p,11,462
miR-889-3p,11,112
miR-146b-5p,11,417
miR-16-1-3p,11,302
miR-219a-1-3p,11,150
miR-22-5p,11,915
miR-146a-5p,10,399
miR-34c-5p,10,410
miR-373-3p,10,496
miR-628-5p,10,392
miR-200a-5p,10,139
miR-484,10,1178
miR-500b-5p,10,201
miR-1305,10,746
miR-425-5p,10,557
miR-342-3p,10,681
miR-653-5p,10,167
miR-512-3p,10,302
miR-186-5p,10,1528
miR-10b-5p,10,454
miR-760,10,393
miR-500a-5p,10,354
miR-324-3p,10,579
miR-378a-5p,10,632
miR-365a-3p,10,407
miR-548j-5p,9,542
miR-1224-5p,9,271
miR-1270,9,256
miR-676-3p,9,189
miR-526b-5p,9,280
miR-125a-5p,9,893
miR-23a-5p,9,182
miR-199a-5p,9,373
miR-381-3p,9,187
miR-495-3p,9,257
miR-339-5p,9,413
miR-197-3p,9,826
miR-376c-3p,9,147
miR-92a-3p,9,1373
miR-377-5p,9,593
miR-195-3p,9,113
miR-122-5p,9,1297
miR-519c-3p,9,369
miR-520c-3p,9,426
miR-210-3p,9,153
miR-671-5p,9,557
miR-744-3p,9,410
miR-3609,9,348
miR-708-5p,9,356
miR-877-5p,9,351
miR-190a-5p,9,229
miR-501-3p,9,309
miR-3200-3p,9,153
miR-590-3p,9,1295
miR-342-5p,9,351
miR-324-5p,9,363
miR-520a-5p,9,219
miR-486-5p,8,224
miR-17-3p,8,1384
miR-454-3p,8,786
miR-185-5p,8,851
miR-939-5p,8,664
miR-520h,8,403
miR-193b-5p,8,301
miR-21-5p,8,956
miR-455-5p,8,219
miR-153-3p,8,224
miR-520g-3p,8,363
miR-542-3p,8,484
miR-383-5p,8,192
miR-378c,8,255
miR-222-3p,8,536
miR-224-3p,8,207
miR-411-3p,8,188
miR-22-3p,8,1409
miR-32-3p,8,451
miR-3928-3p,8,400
miR-30b-5p,8,1269
miR-490-3p,8,318
miR-548d-3p,8,629
miR-188-5p,8,233
miR-485-5p,7,642
miR-107,7,1927
miR-128-3p,7,1225
miR-935,7,182
miR-525-5p,7,134
miR-143-5p,7,431
miR-296-5p,7,443
miR-185-3p,7,564
miR-16-2-3p,7,388
miR-15a-5p,7,2215
miR-550a-3p,7,229
miR-627-5p,7,255
miR-26a-5p,7,1452
miR-23b-3p,7,1484
miR-744-5p,7,576
miR-31-3p,7,131
miR-34a-3p,7,316
miR-183-3p,7,303
miR-320c,7,511
miR-32-5p,7,1056
miR-3170,7,126
miR-431-5p,7,135
miR-10a-3p,6,323
miR-483-3p,6,301
miR-486-3p,6,286
miR-2110,6,459
let-7a-3p,6,393
miR-126-5p,6,561
miR-494-3p,6,289
miR-1323,6,106
miR-629-5p,6,298
miR-205-3p,6,137
miR-299-3p,6,110
miR-194-5p,6,360
let-7a-2-3p,6,108
miR-769-3p,6,365
miR-582-3p,6,305
miR-20b-3p,6,188
miR-26b-3p,6,375
miR-767-5p,6,214
miR-1307-3p,6,260
miR-1296-5p,6,182
miR-92a-1-5p,6,343
miR-512-5p,6,158
miR-320d,6,540
miR-548b-3p,6,338
miR-328-3p,6,371
miR-4326,6,319
miR-570-3p,6,253
miR-519a-5p,6,58
miR-135a-5p,6,203
miR-223-3p,6,120
miR-664a-5p,6,268
miR-370-3p,6,188
miR-29b-1-5p,6,285
miR-7-2-3p,6,205
miR-550a-5p,6,262
miR-548f-3p,5,353
miR-99a-3p,5,114
miR-377-3p,5,364
miR-376b-3p,5,155
miR-34b-3p,5,338
miR-3615,5,133
miR-615-3p,5,475
miR-654-3p,5,194
miR-323a-3p,5,117
miR-34c-3p,5,120
miR-33b-3p,5,117
miR-148b-5p,5,317
miR-211-5p,5,348
miR-1262,5,143
miR-150-3p,5,142
miR-100-5p,5,110
miR-2114-5p,5,260
miR-136-3p,5,89
miR-193a-3p,5,418
miR-339-3p,5,94
miR-548o-3p,5,349
miR-376a-3p,5,195
miR-1304-5p,5,325
miR-548e-3p,5,325
miR-590-5p,5,221
miR-3922-3p,5,83
miR-628-3p,5,153
miR-372-3p,5,500
miR-145-3p,4,97
miR-132-5p,4,92
miR-518a-3p,4,56
let-7f-1-3p,4,290
miR-665,4,742
miR-509-3p,4,65
miR-25-3p,4,1024
miR-519a-3p,4,366
miR-329-3p,4,517
miR-491-3p,4,85
miR-3127-5p,4,268
miR-105-5p,4,222
miR-374a-5p,4,940
miR-23b-5p,4,484
miR-126-3p,4,95
miR-452-5p,4,290
miR-2355-3p,4,257
miR-363-5p,4,216
miR-323b-3p,4,37
miR-873-5p,4,728
miR-424-3p,4,125
miR-3614-5p,4,218
miR-219a-5p,4,144
miR-296-3p,4,288
miR-367-3p,4,490
miR-3613-3p,4,664
miR-139-5p,4,389
miR-95-3p,4,51
miR-1180-3p,4,123
miR-584-5p,4,148
miR-3913-5p,4,422
miR-152-3p,4,576
miR-625-3p,4,143
miR-518a-5p,4,240
miR-663a,4,157
miR-516b-5p,4,140
miR-520d-5p,4,219
miR-518c-5p,4,212
miR-154-5p,4,100
miR-543,3,169
miR-129-2-3p,3,283
miR-146b-3p,3,158
miR-758-3p,3,158
miR-181c-3p,3,108
miR-24-3p,3,1942
miR-548v,3,95
miR-487a-3p,3,113
miR-139-3p,3,163
miR-655-3p,3,105
miR-1248,3,154
miR-454-5p,3,97
miR-30c-5p,3,1370
miR-99a-5p,3,116
miR-369-3p,3,181
miR-302b-3p,3,565
miR-527,3,187
miR-502-3p,3,296
miR-545-5p,3,334
miR-15b-3p,3,173
miR-576-5p,3,298
miR-299-5p,3,109
miR-518b,3,27
miR-27b-5p,3,277
miR-532-5p,3,252
miR-514a-3p,3,85
miR-200b-5p,3,83
miR-25-5p,3,181
miR-493-5p,3,211
miR-3934-5p,3,309
miR-3199,3,228
miR-1269a,3,68
miR-483-5p,3,130
miR-504-5p,2,175
miR-499a-5p,2,168
miR-374b-3p,2,326
miR-191-3p,2,77
miR-1287-5p,2,263
miR-937-3p,2,35
miR-450a-5p,2,56
miR-592,2,119
miR-1179,2,191
miR-23c,2,323
miR-191-5p,2,151
miR-409-5p,2,48
miR-200c-5p,2,52
miR-3130-5p,2,68
miR-181a-3p,2,66
miR-379-5p,2,128
miR-371a-5p,2,337
miR-187-3p,2,44
miR-885-5p,2,164
miR-24-2-5p,2,154
miR-671-3p,2,54
miR-18b-3p,2,54
miR-3157-5p,2,370
miR-1228-3p,2,216
miR-506-3p,2,186
miR-1538,2,30
miR-656-3p,2,117
miR-892a,2,55
miR-518f-3p,2,27
miR-508-3p,2,50
miR-425-3p,2,60
miR-1266-5p,2,93
miR-449a,2,541
miR-154-3p,2,74
miR-1298-5p,2,47
miR-151a-3p,2,301
miR-548t-5p,2,259
miR-3940-3p,2,49
miR-1976,2,729
miR-3613-5p,2,163
miR-134-5p,2,145
miR-579-3p,2,660
miR-1243,2,110
miR-1292-5p,2,183
let-7f-2-3p,2,308
miR-499a-3p,2,337
miR-542-5p,2,66
let-7b-3p,2,354
miR-182-3p,2,155
miR-485-3p,2,188
miR-135b-3p,2,101
miR-376a-5p,2,89
miR-2113,2,135
miR-518f-5p,2,99
miR-516a-5p,2,30
miR-541-3p,2,225
miR-216a-5p,2,347
miR-206,2,202
miR-10b-3p,1,161
miR-1185-5p,1,91
miR-409-3p,1,166
miR-509-3-5p,1,178
miR-496,1,77
miR-519e-5p,1,178
miR-193a-5p,1,135
miR-374a-3p,1,288
miR-99b-3p,1,138
miR-654-5p,1,216
miR-1288-3p,1,107
miR-605-5p,1,321
miR-770-5p,1,107
miR-3648,1,17
miR-3677-3p,1,9
miR-3614-3p,1,63
miR-513a-5p,1,422
miR-302a-5p,1,172
miR-433-3p,1,70
miR-1276,1,398
miR-27a-3p,1,2225
miR-1277-3p,1,34
miR-302d-5p,1,138
miR-1249-3p,1,43
miR-431-3p,1,46
miR-1306-3p,1,71
miR-556-5p,1,135
miR-337-3p,1,79
miR-3150b-3p,1,242
miR-30d-5p,1,1365
miR-98-5p,1,1550
miR-589-5p,1,300
miR-664a-3p,1,420
miR-1468-5p,1,58
miR-551a,1,12
miR-944,1,246
miR-3660,1,67
miR-548s,1,396
miR-92b-5p,1,62
miR-3652,1,363
miR-643,1,73
miR-887-3p,1,28
miR-140-3p,1,597
