"miRNA","ACC","BLCA","BRCA","CESC","COAD","DLBC","ESCA","HNSC","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OV","PAAD","PCPG","PRAD","SARC","SKCM","STAD","TGCT","THCA","THYM","UCEC","UVM"
"hsa-mir-19a-3p",0,0.0422049956933678,0.0383351588170865,0,0.215189873417722,0,0.0625,0.046875,0,0,0,0.0210526315789474,0.0444444444444444,0.0975609756097561,0,0,0,0,0.0137614678899083,0,0.0314617618586641,0,0.0538461538461538,0.0126182965299685,0.0238095238095238,0
"hsa-mir-29c-3p",0,0.0146425495262705,0,0,0,0,0,0.0104166666666667,0,0,0.0456092579986385,0,0.00740740740740741,0.024390243902439,0,0,0,0,0.00825688073394495,0,0,0.0224014336917563,0,0,0,0
"hsa-mir-424-5p",0,0.0284237726098191,0.0208105147864184,0,0.126582278481013,0,0,0.0625,0,0.024390243902439,0,0.0210526315789474,0.0222222222222222,0,0,0,0,0,0.0275229357798165,0.25,0.0363020329138432,0.0304659498207885,0.0307692307692308,0,0,0
"hsa-mir-27b-3p",0,0,0,0,0,0,0,0,0,0,0.0310869071931019,0,0,0,0,0,0,0,0.0100917431192661,0,0,0,0,0,0,0
"hsa-mir-107",0,0,0,0,0,0,0,0,0,0,0.0617199909235307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-484",0,0,0.0613362541073384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192660550458716,0,0.0382381413359148,0,0,0,0,0
"hsa-mir-7-5p",0,0.0215331610680448,0.00547645125958379,0,0.0379746835443038,0,0,0.0677083333333333,0,0,0.0431132289539369,0.0105263157894737,0.037037037037037,0,0,0.172413793103448,0,0.0357142857142857,0,0,0.0164569215876089,0.0492831541218638,0.0384615384615385,0.00946372239747634,0,0
"hsa-mir-17-5p",0,0.041343669250646,0.0142387732749179,0,0,0,0.125,0,0,0,0,0.0105263157894737,0,0.121951219512195,0,0,0,0,0.0252293577981651,0,0.0358180058083253,0,0,0.0299684542586751,0,0
"hsa-mir-218-5p",0,0.00861326442721792,0,0.0666666666666667,0,0,0,0.0260416666666667,0,0.024390243902439,0.0331291127751305,0.0210526315789474,0,0,0,0,0.0666666666666667,0,0.0321100917431193,0,0.00387221684414327,0,0,0,0,0
"hsa-mir-124-3p",0,0,0,0,0,0,0,0,0,0,0.089857045609258,0,0,0,0,0,0,0,0,0,0,0.0412186379928315,0,0,0,0
"hsa-mir-130a-3p",0,0.0318690783807063,0.0306681270536692,0,0,0,0,0.0364583333333333,0,0,0,0.0105263157894737,0.0518518518518519,0,0,0,0,0,0.0325688073394495,0,0.00871248789932236,0,0,0.0662460567823344,0,0
"hsa-mir-125b-5p",0,0.0241171403962102,0,0.0666666666666667,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279816513761468,0,0.00677637947725073,0.0188172043010753,0,0.0725552050473186,0,0
"hsa-mir-330-3p",0,0.0137812230835487,0,0,0,0,0,0,0,0,0.0363058770138416,0,0,0,0,0,0.0666666666666667,0,0.0114678899082569,0,0,0,0,0,0,0
"hsa-mir-18a-5p",0,0.0284237726098191,0.00876232201533406,0.133333333333333,0.0886075949367089,0,0,0.0260416666666667,0,0,0.0090764692534604,0.0105263157894737,0.0296296296296296,0.024390243902439,0,0,0,0,0.0110091743119266,0,0.0198451113262343,0,0,0.0126182965299685,0.0238095238095238,0
"hsa-mir-132-3p",0,0,0,0,0,0,0,0,0,0,0.0272294077603812,0,0,0,0,0,0.0666666666666667,0,0.0197247706422018,0,0,0,0,0,0,0
"hsa-mir-33a-5p",0,0.00861326442721792,0.0394304490690033,0.0666666666666667,0.0253164556962025,0,0,0.015625,0,0.024390243902439,0.0188336737009303,0,0.0296296296296296,0.024390243902439,0,0.0689655172413793,0,0.0535714285714286,0.00321100917431193,0.25,0.0169409486931268,0,0.0384615384615385,0.0126182965299685,0.119047619047619,0
"hsa-mir-1-3p",0,0.00344530577088717,0.00109529025191676,0,0,0,0,0.0208333333333333,0.142857142857143,0,0.0256410256410256,0.0105263157894737,0,0.024390243902439,0,0,0,0,0.0055045871559633,0,0.00580832526621491,0.0134408602150538,0.00769230769230769,0.00157728706624606,0,0
"hsa-mir-940",0,0.0111972437553833,0.0197152245345016,0,0.0126582278481013,0,0,0,0,0.024390243902439,0.0349444066258226,0,0.00740740740740741,0.0975609756097561,0,0,0,0,0.0110091743119266,0,0.0193610842207164,0.014336917562724,0.0461538461538462,0.0110410094637224,0,0
"hsa-mir-29b-3p",0,0.0327304048234281,0,0,0,0,0,0.03125,0,0,0.0358520535511686,0,0.0444444444444444,0,0,0,0,0,0.0165137614678899,0,0,0.0232974910394265,0,0,0,0
"hsa-mir-129-5p",0,0,0.00876232201533406,0,0,0,0,0.0104166666666667,0,0,0.0279101429543907,0,0.00740740740740741,0.024390243902439,0,0.103448275862069,0,0,0.0091743119266055,0,0.00484027105517909,0.000896057347670251,0,0.00315457413249211,0,0
"hsa-mir-766-3p",0,0.024978466838932,0.0251916757940854,0,0,0,0,0,0,0,0.0240526435216701,0.0210526315789474,0,0,0,0,0,0,0.0155963302752294,0,0,0.0241935483870968,0,0.0189274447949527,0,0
"hsa-mir-410-3p",0,0.00258397932816537,0.00438116100766703,0,0,0,0,0.0208333333333333,0,0,0.0292716133424098,0.0526315789473684,0.00740740740740741,0,0,0,0,0,0.00229357798165138,0,0,0.0017921146953405,0,0.00630914826498423,0,0
"hsa-mir-20a-5p",0,0.0499569336778639,0.00438116100766703,0,0,0,0,0.0364583333333333,0,0,0,0.0105263157894737,0.0148148148148148,0.0731707317073171,0.142857142857143,0,0,0,0.0091743119266055,0,0.0387221684414327,0,0,0.0299684542586751,0.0714285714285714,0
"hsa-mir-148a-3p",0,0.00430663221360896,0.0219058050383352,0,0,0,0,0.00520833333333333,0,0,0.00158838211935557,0,0,0,0,0,0,0,0.0389908256880734,0,0.0445304937076476,0,0.0846153846153846,0,0,0
"hsa-mir-362-3p",0,0.0129198966408269,0,0,0,0,0,0,0.142857142857143,0,0.00317676423871114,0,0.0148148148148148,0,0,0,0,0.125,0.0174311926605505,0,0.0406582768635044,0,0,0,0,0
"hsa-mir-331-3p",0,0.0146425495262705,0.0339539978094195,0,0,0,0,0,0,0,0.0174722033129113,0,0,0.024390243902439,0,0,0,0,0.00642201834862385,0,0.0140367860600194,0,0,0,0,0
"hsa-mir-335-5p",0,0.024978466838932,0.0175246440306681,0,0,0,0,0.015625,0,0.024390243902439,0,0.0315789473684211,0,0,0,0,0,0,0.0128440366972477,0,0.037270087124879,0.0232974910394265,0,0,0,0
"hsa-mir-145-5p",0,0.0146425495262705,0.00985761226725082,0.133333333333333,0,0,0,0,0,0.048780487804878,0.0281370546857273,0.0421052631578947,0.0296296296296296,0,0,0,0.0666666666666667,0,0.0169724770642202,0,0.0222652468538238,0,0,0.00630914826498423,0,0
"hsa-mir-155-5p",0,0.00861326442721792,0.0219058050383352,0,0,0,0,0.0416666666666667,0.142857142857143,0.048780487804878,0.00431132289539369,0.0315789473684211,0.0148148148148148,0,0,0,0,0,0.00963302752293578,0,0.0513068731848984,0.017921146953405,0.0384615384615385,0,0.0952380952380952,0
"hsa-mir-182-5p",0,0.0422049956933678,0,0,0,0,0.0625,0.0260416666666667,0,0.024390243902439,0.00204220558202859,0.0105263157894737,0,0.048780487804878,0,0,0,0.0535714285714286,0.0197247706422018,0,0.026621490803485,0.0188172043010753,0.0461538461538462,0.0236593059936909,0.0238095238095238,0
"hsa-mir-142-3p",0,0.00775193798449612,0.0273822562979189,0,0,0,0,0.0208333333333333,0.285714285714286,0.024390243902439,0.00317676423871114,0.0315789473684211,0,0,0,0,0.133333333333333,0.0357142857142857,0.0137614678899083,0,0.015972894482091,0.0161290322580645,0.0230769230769231,0.00788643533123028,0,0
