"miRNA","BLCA","BRCA","CESC","COAD","ESCA","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","PAAD","PCPG","PRAD","SARC","STAD","TGCT","THCA","THYM","UCEC"
"miR-19a-3p",0.0601092896174863,0.0988372093023256,0,0.244897959183673,0,0.1484375,0,0,0,0,0,0.0238095238095238,0.176470588235294,0,0,0,0.0225464190981432,0.0563380281690141,0,0,0.00959232613908873,0.05
"miR-29c-3p",0.0163934426229508,0,0,0,0,0.015625,0,0,0,0.0463276836158192,0,0,0,0,0,0,0,0,0.0209059233449477,0,0,0
"miR-31-5p",0.00546448087431694,0,0,0,0,0.0390625,0,0,0.0555555555555556,0.0606403013182674,0,0,0,0,0,0.0344827586206897,0,0.0105633802816901,0.00174216027874564,0,0.0479616306954436,0
"miR-107",0,0,0,0,0,0,0,0,0,0.0467043314500942,0,0,0,0,0,0,0,0,0,0,0,0
"miR-7-5p",0.0163934426229508,0.0465116279069767,0,0.0204081632653061,0,0,0,0,0,0.0621468926553672,0,0,0.0294117647058824,0.571428571428571,0,0,0,0.0234741784037559,0.024390243902439,0.169811320754717,0.0191846522781775,0
"miR-127-5p",0.0418943533697632,0,0,0,0,0,0,0,0,0.0365348399246704,0,0,0,0,0,0,0,0.00821596244131455,0,0.0188679245283019,0,0
"miR-185-5p",0,0,0,0,0,0,0,0,0,0.0387947269303201,0,0,0,0,0,0,0.0238726790450928,0,0,0,0,0
"miR-17-5p",0.0892531876138433,0.0988372093023256,0,0,0,0,0,0,0,0,0.133333333333333,0,0.0588235294117647,0,0,0,0.0530503978779841,0.0669014084507042,0,0,0.0575539568345324,0
"miR-377-3p",0.0145719489981785,0,0,0,0,0.015625,0,0,0,0.055743879472693,0,0,0,0,0,0,0,0.00234741784037559,0,0,0,0
"miR-218-5p",0.00364298724954463,0,0,0,0,0,0,0,0,0.039924670433145,0,0,0,0,0,0,0.0503978779840849,0.00117370892018779,0,0,0,0
"miR-124-3p",0,0,0,0,0,0,0,0,0,0.0930320150659134,0,0,0,0,0,0,0,0,0.0278745644599303,0,0,0
"miR-133a-3p",0.00546448087431694,0,0,0,0,0.03125,0,0,0,0.0455743879472693,0,0.0238095238095238,0,0,0.142857142857143,0,0,0.00234741784037559,0.00348432055749129,0,0,0
"miR-1-3p",0,0,0,0,0,0.015625,0,0,0.111111111111111,0.0459510357815443,0,0,0,0,0,0,0.0026525198938992,0.00117370892018779,0,0,0,0
"miR-29b-3p",0.0400728597449909,0,0,0,0,0.0234375,0,0,0,0.0564971751412429,0,0.0714285714285714,0,0,0,0,0.0145888594164456,0,0.0278745644599303,0,0,0
"miR-299-5p",0.0218579234972678,0,0,0,0,0,0,0,0,0.0531073446327684,0,0,0,0,0,0,0.0185676392572944,0.00586854460093897,0,0,0.0191846522781775,0
"miR-410-3p",0,0.0174418604651163,0,0,0,0.0234375,0,0,0,0.0681732580037665,0,0,0,0,0.285714285714286,0,0,0,0.00174216027874564,0.0188679245283019,0.00239808153477218,0
"miR-20a-5p",0.0619307832422587,0.0465116279069767,0,0,0,0.1015625,0,0,0,0,0.166666666666667,0.0714285714285714,0.0882352941176471,0,0,0,0.013262599469496,0.0610328638497653,0,0,0.0599520383693046,0
"miR-148a-3p",0,0.0174418604651163,0,0,0,0,0,0,0,0.00414312617702448,0,0,0,0,0,0,0.0809018567639257,0.0563380281690141,0,0.339622641509434,0,0
"miR-145-5p",0.034608378870674,0.00581395348837209,0,0,0,0,0,0,0.0555555555555556,0.0418079096045198,0,0.0238095238095238,0,0,0,0,0.0106100795755968,0.00938967136150235,0,0,0,0
"miR-93-5p",0.0783242258652095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563380281690141,0,0,0.0839328537170264,0
"miR-940",0.0327868852459016,0,0,0.0408163265306122,0,0,0,0,0,0.0282485875706215,0,0,0,0,0,0,0.013262599469496,0.0105633802816901,0.00522648083623693,0,0.00479616306954436,0.1
