miRNA,count_miRNA,BLCAMirnaCount,BRCAMirnaCount,CESCMirnaCount,COADMirnaCount,ESCAMirnaCount,HNSCMirnaCount,KICHMirnaCount,KIRCMirnaCount,KIRPMirnaCount,LGGMirnaCount,LIHCMirnaCount,LUADMirnaCount,LUSCMirnaCount,PAADMirnaCount,PCPGMirnaCount,PRADMirnaCount,SARCMirnaCount,STADMirnaCount,TGCTMirnaCount,THCAMirnaCount,THYMMirnaCount,UCECMirnaCount
hsa-mir-146a-5p,3,,,,,,,,,,,2,,,,,,1,,,,,
hsa-mir-548f-3p,2,,,,,,,,,,,,,,,,,,,2,,,
hsa-let-7c-5p,45,6,1,1,,,1,,,1,,,1,,,,,31,2,1,,,
hsa-mir-504-5p,11,,,,,,,,,,11,,,,,,,,,,,,
hsa-mir-10a-3p,3,,1,,1,,,,,,,,,,,,,1,,,,,
hsa-mir-130b-5p,32,3,1,,,,,,,,,,,,,,,1,24,2,,1,
hsa-mir-335-3p,42,7,1,,1,,,,,,,,,,,,,3,25,5,,,
hsa-mir-106a-5p,103,21,2,,,,1,,,,,,2,4,,,11,1,14,32,,15,
hsa-mir-629-3p,27,2,1,,,,,,,,,,,,,,,5,5,14,,,
hsa-mir-409-3p,10,,,,,,,,,,5,,1,,,,,4,,,,,
hsa-mir-199b-5p,21,,,,,,,,,,19,,,,,,,2,,,,,
hsa-mir-34b-5p,25,,,,,,,,,,23,,,,,,,,,,,2,
hsa-mir-181c-5p,19,,7,,,,,,,,4,2,,,,,,5,,,,,1
hsa-mir-34c-5p,11,,,,,,,,,,7,,,,,,,1,,3,,,
hsa-mir-373-3p,8,,,,,,,,,,,,,,,,,,,8,,,
hsa-mir-582-5p,24,,,,,,2,,,1,12,,,,,,,,,9,,,
hsa-mir-19a-3p,158,33,17,,12,,19,,,,,,1,6,,,,17,48,,,4,1
hsa-mir-203a-3p,47,4,1,,2,,,,,,30,,2,,,,,1,4,1,,2,
hsa-mir-1224-5p,49,,,,,,,,,,46,,,,1,,,,,2,,,
hsa-mir-543,38,,,,,,,,,,35,,,,,,,3,,,,,
hsa-mir-486-5p,6,,,,,,,,,1,,,,,,,,2,,3,,,
hsa-mir-485-5p,39,,,,,,,,,,36,,,,,,,,,3,,,
hsa-mir-29c-3p,146,9,,,,,2,,,,123,,,,,,,,,12,,,
hsa-mir-1270,14,5,,,,,,,2,1,1,,,,,,,,,5,,,
hsa-mir-21-3p,36,2,,,,,,,,,5,,,,,,,29,,,,,
hsa-mir-31-5p,201,3,,,,,5,,,1,161,,,,,,1,,9,1,,20,
hsa-mir-424-5p,72,12,,,,,2,,,1,,,,,,,,20,26,8,3,,
hsa-mir-524-5p,8,,,,,,,,,,,,,,,,,,,8,,,
hsa-mir-129-1-3p,1,,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-9-5p,53,2,2,,,,6,,,1,,,,8,,,1,11,3,12,1,1,5
hsa-mir-92b-5p,6,,,,,,,,,,,,,,,,,,5,1,,,
hsa-mir-3680-3p,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-188-5p,8,2,,,,,,,,1,,,,,,,,,5,,,,
hsa-mir-1287-5p,1,,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-2110,28,2,,,,,,,,,10,,,,,,,14,2,,,,
hsa-mir-193a-5p,1,,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-27b-3p,44,,,,,,,,,,39,,,,,,,5,,,,,
hsa-let-7a-3p,16,,,,,,,,,,,,,,,,,15,,,,,1
hsa-mir-625-5p,31,5,1,,1,,,,,,4,,,,,,,6,3,,,11,
hsa-mir-200a-5p,2,,,,,,1,,,,1,,,,,,,,,,,,
hsa-mir-107,124,,,,,,,,,,124,,,,,,,,,,,,
hsa-mir-125a-5p,11,,,,,,,,,,,3,,,,,,,,,,8,
hsa-mir-199a-3p,19,5,,,,,,,,,1,,,,,1,,12,,,,,
hsa-mir-141-3p,57,18,,,,,7,,,,2,1,,,,,2,,23,4,,,
hsa-mir-126-5p,49,,,,,,,,,,45,,,,,,,4,,,,,
hsa-mir-106a-3p,2,,,,,,,,,,,,,,,,,,,,,2,
hsa-mir-200a-3p,56,10,,,,,4,,,,14,1,,3,,,,,13,10,,,1
hsa-mir-181a-2-3p,17,3,,,,,,,,,,,,,,,,1,,6,,7,
hsa-mir-128-3p,39,,,,,,,,,,32,,,,,,,,,,,7,
hsa-mir-17-3p,26,,,,,,,,,,,,,,,,,26,,,,,
hsa-mir-20b-5p,103,13,1,,,,5,,,,,,2,2,,,14,1,,36,10,19,
hsa-mir-301b-3p,59,9,,1,1,,2,,,,,3,13,2,,,,2,1,10,9,5,1
hsa-mir-320b,34,1,,,,,2,,,,,,,,,,,,31,,,,
hsa-mir-494-3p,54,,1,,,,1,,,,49,,,,,,,,1,2,,,
hsa-mir-7-1-3p,34,,,,,,,,,,,,,,,,,5,16,4,,9,
hsa-mir-222-5p,8,2,,,,,,,,,,,,,,,,2,4,,,,
hsa-let-7f-1-3p,7,,,,,,,,,,7,,,,,,,,,,,,
hsa-mir-484,50,,7,,,,,,,,,,,,,,,7,36,,,,
hsa-mir-181c-3p,3,,,,,,,1,,,,,,,,,,,,2,,,
hsa-mir-302c-3p,68,,,,,,,,,,,,,,,,,,,68,,,
hsa-mir-1323,3,,,,,,,,,,,,,,,,,,,3,,,
hsa-mir-29a-5p,7,2,,,,,,,,,,,4,,,,,1,,,,,
hsa-mir-199a-5p,5,,2,,,,,,,,,,,,,,,3,,,,,
hsa-mir-18a-3p,34,6,,,1,,1,,,,,,,,,,,,12,7,,6,1
hsa-mir-93-3p,66,17,3,,,,,,,,,,4,,,,,21,21,,,,
hsa-mir-381-3p,16,,,,,,,,,,8,3,,,,,,3,,,,2,
hsa-mir-25-3p,19,,,,,,,,,,,,,,,,,,,,,19,
hsa-mir-193b-3p,30,8,,,,,3,,,1,,,3,,,2,,,11,,2,,
hsa-mir-124-5p,7,,,,,,,,,,5,,,,,,,,,2,,,
hsa-mir-192-5p,30,2,3,,,1,,,,1,,,1,,,,,4,7,11,,,
hsa-mir-495-3p,5,,,,,,,,,,4,,,,,,,1,,,,,
hsa-mir-935,34,,1,,,,,,,,30,,,,,,,,2,,1,,
hsa-mir-339-5p,8,,,,2,,2,,,,,,,,,,,,4,,,,
hsa-mir-2355-5p,16,6,,,,,5,,,,,,,,,,,,,,,5,
hsa-mir-7-5p,247,9,8,,1,,,,,,165,,,1,12,,,,20,14,9,8,
hsa-mir-519a-3p,24,,,,,,,,,,,,,,,,,,,23,,1,
hsa-mir-592,6,2,,1,1,,,,,,,,,,,,,,1,1,,,
hsa-mir-136-5p,11,,2,,,,,,,,,,,,,,,4,4,1,,,
hsa-mir-454-3p,21,,3,,,,6,,,,,,,,,,,12,,,,,
hsa-mir-141-5p,12,1,,,,,,,,,,,,,,,,,10,1,,,
hsa-mir-127-5p,128,23,,,,,,,,,97,,,,,,,,7,,1,,
hsa-let-7b-5p,39,,,,,,,,,,,,,,,,,,,,,39,
hsa-mir-629-5p,9,,,,,,,,,,,,,,,,,,,9,,,
hsa-mir-130b-3p,79,13,7,1,,,,,,,,,,3,,,,11,23,7,,11,3
hsa-mir-338-3p,72,6,2,,,,4,,,,34,,,,,,2,11,,12,1,,
hsa-mir-525-5p,2,,,,,,,,,,,,,,,,,,,1,,1,
hsa-mir-185-5p,121,,,,,,,,,,103,,,,,,,18,,,,,
hsa-mir-205-3p,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-17-5p,193,49,17,,,,,,,,,4,,2,,,,40,57,,,24,
hsa-mir-1179,6,,,,,,,,,,3,,,,,,,,,3,,,
hsa-mir-363-3p,15,1,1,,,,1,1,,,,,1,,,,,,,3,3,4,
hsa-mir-520d-3p,47,,,,,,,,,,,,,,,,,,,22,,25,
hsa-mir-30a-3p,18,5,,1,,,4,,,,,,,,,,,,2,,,6,
hsa-mir-520a-3p,37,,,,,,,,,,,,,,,,,,,16,,21,
hsa-mir-191-5p,11,5,4,,,,,,,,,,,,,,,,2,,,,
hsa-mir-24-3p,81,,,,,,,,,,81,,,,,,,,,,,,
hsa-mir-326,28,8,2,,,,,,,,10,,,,,,,3,5,,,,
hsa-mir-299-3p,57,,,,,,,,,,48,,,,,,,,,,,9,
hsa-mir-34a-5p,44,,,,,,,,,,12,,,,,,,32,,,,,
hsa-let-7g-3p,30,5,1,,3,,,,,,7,,,,,,1,,13,,,,
hsa-mir-329-3p,112,,,,,,,,,,112,,,,,,,,,,,,
hsa-mir-197-3p,24,,,,,,,,,,18,,,,,,,6,,,,,
hsa-mir-15b-5p,17,,,,,,,,,,,,,,,,,10,,,,7,
hsa-mir-181d-5p,12,3,5,,,,,,,,,1,,,,,,,,2,,,1
hsa-mir-377-3p,160,8,,,,,2,,,,148,,,,,,,,2,,,,
hsa-mir-548v,2,,,,,,,,,,2,,,,,,,,,,,,
hsa-mir-194-5p,3,,,,,,,,,,,,,,,,,1,,2,,,
hsa-mir-9-3p,19,1,1,,,,2,,,,,,,5,,,,3,,7,,,
hsa-mir-218-5p,147,2,,,,,,,,,106,,,,,,,38,1,,,,
hsa-mir-3943,32,,,,,,,,,,32,,,,,,,,,,,,
hsa-mir-539-5p,13,2,,,,,,,,,7,,,,,,,1,3,,,,
hsa-mir-143-5p,2,,,,,,,,,,2,,,,,,,,,,,,
hsa-mir-15a-3p,5,,,,,,,,,,,,,,,,,,,,,5,
hsa-mir-224-5p,9,2,1,,3,,1,,,,,,,,,,,,2,,,,
hsa-mir-181a-3p,1,,,,,,,,,,,,,,,,,,,,,1,
hsa-mir-874-3p,61,10,,,,,,,,,35,,,,,,,16,,,,,
hsa-mir-124-3p,263,,,,,,,,,,247,,,,,,,,,16,,,
hsa-mir-19b-1-5p,44,12,,,,,,,,,,,,,,,,17,15,,,,
hsa-mir-296-5p,3,,,,,,1,,,,2,,,,,,,,,,,,
hsa-mir-520h,23,,,,,,,,,,,,,,,,,,,6,,17,
hsa-mir-302a-5p,5,,,,,,,,,,,,,,,,,,,5,,,
hsa-mir-30c-2-3p,13,2,,,,,,,,,,,1,,,,,6,,,,4,
hsa-mir-130a-3p,72,8,6,,,,9,,,,,1,6,,,,,19,7,,,13,3
hsa-mir-30c-1-3p,1,1,,,,,,,,,,,,,,,,,,,,,
hsa-mir-139-3p,49,,,,,,,,,1,45,,,,,1,,,,2,,,
hsa-let-7a-2-3p,1,,,,,,,,,,,1,,,,,,,,,,,
hsa-mir-497-3p,18,,,,,,,,,,,,,,,,,1,,1,,16,
hsa-mir-491-3p,9,8,,,,,,,,,1,,,,,,,,,,,,
