"TF","ACC","BLCA","BRCA","CESC","COAD","DLBC","ESCA","HNSC","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OV","PAAD","PCPG","PRAD","SARC","SKCM","STAD","TGCT","THCA","THYM","UCEC","UVM"
"NFE2L1",0,0.0215331610680448,0.0109529025191676,0,0,0,0.0625,0.0208333333333333,0,0,0.00272294077603812,0.0842105263157895,0.0148148148148148,0,0,0,0,0,0.0288990825688073,0,0.0121006776379477,0.00716845878136201,0,0.00315457413249211,0.0238095238095238,0
"ZFX",0,0,0.00438116100766703,0,0,0,0,0.0364583333333333,0,0.024390243902439,0.00612661674608577,0.0105263157894737,0.0148148148148148,0,0,0,0,0,0.0220183486238532,0,0.0469506292352372,0.017921146953405,0.0307692307692308,0,0,0
"TCF12",0,0.00861326442721792,0.0109529025191676,0,0.0126582278481013,0,0,0.0104166666666667,0,0,0.00476514635806671,0,0.00740740740740741,0,0,0,0,0,0.00871559633027523,0,0.0140367860600194,0.014336917562724,0,0.00788643533123028,0.0238095238095238,0.2
"BACH2",0,0.0327304048234281,0.0131434830230011,0,0.0126582278481013,0,0,0,0,0,0.00567279328341275,0,0,0,0,0.0344827586206897,0,0,0.00137614678899083,0,0.010648596321394,0.00448028673835125,0.0153846153846154,0,0,0
"TEAD1",0,0.0172265288544358,0.0460021905805038,0,0.113924050632911,0,0,0.0416666666666667,0.142857142857143,0,0.0267755842977082,0.0105263157894737,0.037037037037037,0,0,0.0344827586206897,0,0.0178571428571429,0.102293577981651,0,0.0634075508228461,0.0259856630824373,0.0307692307692308,0.0331230283911672,0.0238095238095238,0
"NR2C2",0,0.0215331610680448,0.00547645125958379,0,0,0,0,0.00520833333333333,0.142857142857143,0.024390243902439,0.0136147038801906,0.0105263157894737,0,0,0,0,0.0666666666666667,0.0357142857142857,0.0385321100917431,0,0.037270087124879,0.0206093189964158,0,0,0,0
"SP3",0,0,0.00876232201533406,0,0,0,0,0.0104166666666667,0,0,0.0211027910142954,0,0,0,0,0.0689655172413793,0,0,0.0036697247706422,0,0.00145208131655373,0.000896057347670251,0.0307692307692308,0,0.0238095238095238,0
"ETS1",0,0.0198105081826012,0.0186199342825849,0,0.0886075949367089,0,0.0625,0.0104166666666667,0.142857142857143,0.024390243902439,0.0517358747447243,0.0315789473684211,0.0222222222222222,0.146341463414634,0,0,0,0,0.0201834862385321,0,0.0575992255566312,0.00985663082437276,0.0230769230769231,0.00157728706624606,0.0238095238095238,0
"IRF4",0,0.0120585701981051,0.0219058050383352,0,0.0253164556962025,0,0.125,0.015625,0,0,0.00476514635806671,0,0.00740740740740741,0.024390243902439,0,0,0,0,0.00504587155963303,0,0.005324298160697,0.00627240143369176,0,0.0126182965299685,0,0
"TP53",0,0.00258397932816537,0.00109529025191676,0,0,0,0,0.0260416666666667,0,0.024390243902439,0.0258679373723622,0,0.0148148148148148,0,0,0,0,0,0.0119266055045872,0,0.010648596321394,0.00268817204301075,0.00769230769230769,0.056782334384858,0,0
"EGR1",0,0.0232558139534884,0.0153340635268346,0,0,0,0.0625,0,0,0.048780487804878,0.0104379396414795,0.0210526315789474,0.00740740740740741,0.024390243902439,0.142857142857143,0,0,0,0,0,0.00242013552758954,0.0116487455197133,0,0.00630914826498423,0,0
"SP1",0,0.0585701981050818,0.067907995618839,0.133333333333333,0,0.5,0,0.09375,0,0.146341463414634,0.144769684592693,0,0.0666666666666667,0,0,0.137931034482759,0.4,0.196428571428571,0.0270642201834862,0,0.0242013552758954,0.00896057347670251,0.0384615384615385,0.0772870662460568,0.0714285714285714,0
"NFKB1",0,0.00258397932816537,0.00657174151150055,0.0666666666666667,0,0,0,0.0104166666666667,0,0,0.0170183798502383,0,0.00740740740740741,0,0,0,0,0,0.0091743119266055,0,0.00387221684414327,0.0206093189964158,0.0153846153846154,0.00630914826498423,0.0714285714285714,0
"ZNF217",0,0.0189491817398794,0.00876232201533406,0,0,0,0,0,0,0.024390243902439,0.00272294077603812,0,0,0,0,0,0,0.0357142857142857,0.0036697247706422,0,0.005324298160697,0.0555555555555556,0.0153846153846154,0,0,0
"KLF6",0.333333333333333,0.016365202411714,0.00985761226725082,0,0,0,0,0.0208333333333333,0,0,0.00816882232811436,0,0.0148148148148148,0.024390243902439,0,0,0,0.0357142857142857,0.0091743119266055,0,0.0140367860600194,0.0197132616487455,0.00769230769230769,0.00473186119873817,0,0
"YY1",0,0.00602928509905254,0.0153340635268346,0,0,0,0,0.00520833333333333,0,0,0.00862264579078738,0,0.00740740740740741,0,0,0.0344827586206897,0,0,0.0137614678899083,0,0.000968054211035818,0.0017921146953405,0.0153846153846154,0.00630914826498423,0,0
"ATF7",0,0.00775193798449612,0.00985761226725082,0,0.0253164556962025,0,0,0.00520833333333333,0,0,0.00589970501474926,0,0.0296296296296296,0,0,0,0,0,0.00642201834862385,0,0.0164569215876089,0.014336917562724,0.00769230769230769,0.00157728706624606,0,0
"MEF2C",0,0.00947459086993971,0.00985761226725082,0,0.0126582278481013,0,0,0.00520833333333333,0,0,0.00272294077603812,0,0,0,0,0,0,0,0.0142201834862385,0,0.015972894482091,0.00537634408602151,0,0.00157728706624606,0.0238095238095238,0
"NCOA3",0,0.00172265288544358,0.0284775465498357,0,0,0,0.0625,0.0260416666666667,0,0.048780487804878,0.0179260267755843,0.0631578947368421,0.0222222222222222,0,0,0,0,0.0178571428571429,0.0160550458715596,0.25,0.00774443368828654,0.00448028673835125,0.0230769230769231,0.0252365930599369,0.0238095238095238,0
"TCF4",0,0.0180878552971576,0.0240963855421687,0.0666666666666667,0.0126582278481013,0,0,0.0208333333333333,0,0,0.00771499886544134,0.0421052631578947,0.0148148148148148,0.024390243902439,0,0,0,0.0357142857142857,0.0160550458715596,0,0.0217812197483059,0.00985663082437276,0.00769230769230769,0.0110410094637224,0.0476190476190476,0
