"TF","BLCA","BRCA","CESC","COAD","ESCA","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","PAAD","PCPG","PRAD","SARC","STAD","TGCT","THCA","THYM","UCEC"
"NFE2L1",0.00546448087431694,0.0232558139534884,0,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0.0305039787798408,0.00352112676056338,0,0,0.0311750599520384,0
"ZFX",0,0,0,0,0,0,0,0,0,0.000753295668549906,0,0,0,0,0,0,0.0212201591511936,0.0352112676056338,0.00696864111498258,0,0,0
"TEAD1",0.00182149362477231,0.00581395348837209,0,0.163265306122449,0,0,0,0,0,0.0177024482109228,0,0.0238095238095238,0,0,0,0.0344827586206897,0.128647214854111,0.0868544600938967,0.00696864111498258,0.0377358490566038,0.0407673860911271,0
"NFIC",0.0437158469945355,0.0465116279069767,0,0.0204081632653061,0,0.0078125,0,0,0,0.00150659133709981,0,0.0238095238095238,0,0,0,0,0.00663129973474801,0.0375586854460094,0.0418118466898955,0,0,0.05
"FOXO1",0.0273224043715847,0.0406976744186047,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0.0013262599469496,0.00469483568075117,0.0226480836236934,0,0.00239808153477218,0.1
"CUX1",0.0182149362477231,0.00581395348837209,0,0,0,0.0234375,0,0,0,0.00489642184557439,0,0.0476190476190476,0,0,0,0,0,0.0446009389671361,0.0261324041811847,0,0,0
"ETS1",0.0218579234972678,0.00581395348837209,0,0.0204081632653061,0,0.0234375,0,0,0,0.0429378531073446,0,0,0.147058823529412,0,0,0,0.00663129973474801,0.039906103286385,0.00174216027874564,0,0.0119904076738609,0.25
"ZBTB7A",0.00364298724954463,0.0232558139534884,0,0,0.5,0.0078125,0,0,0,0,0,0,0,0,0.714285714285714,0,0.0119363395225464,0,0.0365853658536585,0.0188679245283019,0,0
"RELA",0,0,0,0,0,0,0,0,0,0.00979284369114878,0,0,0,0,0,0,0.00795755968169761,0,0.0156794425087108,0,0,0
"TP53",0,0,0,0,0,0,0,0,0,0.0331450094161959,0,0,0,0,0,0,0.0013262599469496,0.00117370892018779,0,0,0.0623501199040767,0
"FOXP1",0.0145719489981785,0.0290697674418605,0,0,0,0,0,0,0,0.00150659133709981,0,0.0476190476190476,0,0.0476190476190476,0,0,0.0450928381962865,0.104460093896714,0.0191637630662021,0,0.0143884892086331,0
"MAZ",0,0.0116279069767442,0,0,0,0,0,0,0,0.0331450094161959,0,0,0,0,0,0,0.0013262599469496,0,0.00348432055749129,0,0,0
"SP1",0.160291438979964,0.0290697674418605,0,0,0,0.1953125,0,0,0.333333333333333,0.357062146892655,0,0.166666666666667,0,0.380952380952381,0,0.172413793103448,0.0278514588859416,0.028169014084507,0.00696864111498258,0.113207547169811,0.0431654676258993,0
"NFKB1",0.00910746812386157,0.00581395348837209,0.333333333333333,0,0,0.0078125,0,0,0,0.0101694915254237,0,0.19047619047619,0.235294117647059,0,0,0,0.0106100795755968,0,0.0209059233449477,0.0188679245283019,0,0.1
"ZNF217",0.00364298724954463,0.0174418604651163,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0.0476190476190476,0,0,0,0.00117370892018779,0.0905923344947735,0.0188679245283019,0,0
"KLF6",0.0236794171220401,0,0,0,0,0.0546875,0,0,0,0,0,0.0238095238095238,0.0882352941176471,0,0,0.0689655172413793,0.0013262599469496,0.0422535211267606,0.0156794425087108,0.0188679245283019,0.0143884892086331,0
"CTCF",0,0,0,0,0,0,0,0,0,0.016195856873823,0,0,0,0,0,0,0,0.00117370892018779,0,0,0,0
"NCOA3",0,0.0116279069767442,0,0,0.5,0.0234375,0,0.5,0.111111111111111,0.0180790960451977,0,0,0,0,0,0.0344827586206897,0,0.00117370892018779,0,0,0.0143884892086331,0
"CLOCK",0,0,0,0,0,0.015625,0,0,0,0,0.166666666666667,0,0,0,0,0,0.0026525198938992,0.0187793427230047,0.0121951219512195,0,0.0767386091127098,0
"TCF4",0.0528233151183971,0.0174418604651163,0,0.0204081632653061,0,0.03125,0,0,0,0.00414312617702448,0,0.0952380952380952,0,0,0,0.103448275862069,0.00663129973474801,0.0903755868544601,0,0,0.0143884892086331,0
"HIF1A",0.0309653916211293,0.00581395348837209,0,0.102040816326531,0,0.0703125,0,0,0.0555555555555556,0.135216572504708,0.0333333333333333,0.0714285714285714,0.0588235294117647,0,0,0.103448275862069,0.00397877984084881,0.00117370892018779,0.00174216027874564,0.150943396226415,0.13189448441247,0
"MYC",0.0127504553734062,0.0523255813953488,0.666666666666667,0,0,0.0390625,0,0,0.0555555555555556,0.149152542372881,0,0.0476190476190476,0,0,0,0,0.0013262599469496,0,0.029616724738676,0.320754716981132,0.00479616306954436,0
"STAT3",0.0801457194899818,0.00581395348837209,0,0.0204081632653061,0,0.0546875,0,0,0,0.0105461393596987,0.1,0.119047619047619,0.117647058823529,0,0,0.0344827586206897,0.240053050397878,0.0293427230046948,0.0139372822299652,0.0566037735849057,0.0863309352517986,0.2
"POU2F1",0,0,0,0,0,0.03125,0,0,0.111111111111111,0.0105461393596987,0.0333333333333333,0,0,0,0,0,0.00928381962864721,0.00469483568075117,0,0.0377358490566038,0,0
"AR",0.00546448087431694,0.00581395348837209,0,0.0204081632653061,0,0,0,0,0,0.0064030131826742,0.133333333333333,0.0238095238095238,0.0294117647058824,0,0,0.0344827586206897,0.0517241379310345,0.0129107981220657,0,0,0.0767386091127098,0
"GATA6",0.0692167577413479,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0.0156794425087108,0,0.00239808153477218,0
"ELK4",0.0109289617486339,0,0,0,0,0,0,0,0,0.0071563088512241,0.0333333333333333,0,0,0,0,0,0,0.00704225352112676,0.0209059233449477,0,0.00479616306954436,0
"ESR1",0.0327868852459016,0.0872093023255814,0,0.183673469387755,0,0.0625,0,0,0,0,0.1,0.0238095238095238,0.117647058823529,0,0,0,0.0358090185676393,0.0258215962441315,0.168989547038328,0.0566037735849057,0,0.15
"MEF2A",0.123861566484517,0,0,0.0816326530612245,0,0.0546875,0,0,0,0,0,0,0.0588235294117647,0,0,0.103448275862069,0.13262599469496,0.136150234741784,0.00522648083623693,0,0.00959232613908873,0
