TF,count_hgnc_symbol_tf,BLCATFCount,BRCATFCount,CESCTFCount,COADTFCount,ESCATFCount,HNSCTFCount,KICHTFCount,KIRCTFCount,KIRPTFCount,LGGTFCount,LIHCTFCount,LUADTFCount,LUSCTFCount,PAADTFCount,PCPGTFCount,PRADTFCount,SARCTFCount,STADTFCount,TGCTTFCount,THCATFCount,THYMTFCount,UCECTFCount
NFE2L1,47,3,4,,,,1,,,,,,,,,,,23,3,,,13,
REL,27,,,,,,1,,,,1,,,,,,,,,20,3,2,
FOXP2,16,,1,,,,,,,,,,,,,,,,14,1,,,
E2F5,1,,,,,,,,,,,,,,,,,,,,,1,
ZFX,52,,,,,,,,,,2,,,,,,,16,30,4,,,
RARA,1,,,,,,,,,,,,,,,,,,1,,,,
CREB1,33,,8,,3,,,,,,1,,,,,,1,,11,8,,,1
MYCN,4,,,,,,,,,,3,,,,,,,,,1,,,
BACH2,10,6,1,,,,,,1,,1,,,,,,,,1,,,,
TCF12,15,,2,,,,,,,,10,,,,,,,,,3,,,
TEAD1,253,1,1,,8,,,,,,47,,1,,,,1,97,74,4,2,17,
FOS,4,,2,,,,,,,,,,,,,,,,,,,2,
KMT2A,20,,,,,,,,,,,,,,,,,10,10,,,,
SNAPC4,1,,1,,,,,,,,,,,,,,,,,,,,
ZNF740,2,,,,,,,,,,2,,,,,,,,,,,,
NR2C2,37,2,,,,,3,,,,1,,,,,1,,17,10,3,,,
ZNF639,2,,,,,,,,,,2,,,,,,,,,,,,
ZBED1,7,,,,,,,,,,,,,,,,,,,,,7,
SP3,40,,,,,,,,,,40,,,,,,,,,,,,
NFIC,101,24,8,,1,,1,,,,4,,1,,,,,5,32,24,,,1
FOXO1,47,15,7,,,,4,,,,,,,,,,,1,4,13,,1,2
TFDP1,13,,,,,,,,,,13,,,,,,,,,,,,
FOXM1,1,,,,,,,,,,,,,,,,,,1,,,,
CUX1,82,10,1,,,,3,,,,13,,2,,,,,,38,15,,,
ETS1,186,12,1,,1,,3,,,,114,,,5,,,,5,34,1,,5,5
RUNX2,27,,6,,,,4,,,,2,,,,2,,,,,13,,,
SPIB,29,1,,,,,,,,,,,,,,,,,2,,,26,
TBP,3,,,,,,,,,,3,,,,,,,,,,,,
ATF2,2,1,,,,,,,,,,,,,,,,,,1,,,
SMAD4,27,,,,,,,,,2,2,,,,,,,18,,3,,2,
ZBTB7A,44,2,4,,,1,1,,,,,,,,,5,,9,,21,1,,
FOXO3,21,3,,,,,,,,,2,,,,,,,1,1,14,,,
TCF3,1,,,,,,,,,,1,,,,,,,,,,,,
ATF3,1,,,,,,,,,,,,,,,,,1,,,,,
ZNF263,4,,,,,,,,,,,,,,,,,,,4,,,
AHR,22,2,,,,,2,,,,,,,,,,,,,11,1,6,
ETV1,11,2,1,,,,1,,,,1,,,,,,,,6,,,,
RELA,41,,,,,,,,,,26,,,,,,,6,,9,,,
IRF4,38,11,,,4,,1,,,,,,,,,,1,,,8,,13,
TCF7L2,3,,,,,,,,,,,,,1,,,,,,,1,1,
MITF,5,1,,,,,,,,,,,,,,,,1,3,,,,
NR2F1,3,1,1,,,,,,,,,,,,,,,1,,,,,
TP53,116,,,,,,,,,,88,,,,,,,1,1,,,26,
ZNF384,1,,,,,,,,,,,,,,,,,1,,,,,
CEBPB,1,1,,,,,,,,,,,,,,,,,,,,,
FOXP1,160,8,5,,,,,,,,4,,2,,1,,,34,89,11,,6,
NR1H2,2,,2,,,,,,,,,,,,,,,,,,,,
TP73,1,,,,,,,,,,,,,,,,,1,,,,,
ARID3A,10,,1,,,,,,,,8,,1,,,,,,,,,,
NR2F2,14,,,,,,,,,,,,,,,,,1,2,11,,,
EGR1,12,2,6,,,,,,,,,,,,,,,,,2,,2,
IRF9,3,,,,,,,,,,,,,,,,,,,3,,,
MAZ,93,,2,,,,,,,,88,,,,,,,1,,2,,,
SP1,1165,88,5,,,,25,,,6,948,,7,,8,,5,21,24,4,6,18,
TAL1,2,,1,,,,,,,,,,,,,,,,1,,,,
IKZF1,11,,,,5,,2,,,,,,,,,,,,4,,,,
PRDM1,6,2,1,,,,,,,,,,,1,,,,,,,,1,1
FOSL2,15,,4,,,,,,,,,,,,,,,,,,,11,
NFKB1,74,5,1,1,,,1,,,,27,,8,8,,,,8,,12,1,,2
MNT,2,,,,,,,,,,,,,,,,,,,2,,,
PAX6,1,,,,,,,,,,,,,,,,,1,,,,,
SNAI2,7,3,2,,,,,,,,,,,,,,1,,1,,,,
SRF,10,3,6,,,,,,,,,,,,,,,,1,,,,
PGR,2,1,,,,,,,,,,,,,,,,1,,,,,
ZNF217,61,2,3,,,,,,,1,,,,,1,,,,1,52,1,,
KLF13,2,,,,,,1,,,,,,,,,,,,,1,,,
SP4,6,,,,,,,,,,4,,,,,,,1,,1,,,
KLF6,79,13,,,,,7,,,,,,1,3,,,2,1,36,9,1,6,
MAF,3,,,,1,,,,,,,,,,,,,,1,1,,,
YY1,31,2,,,,,,,,,13,,,,,,,15,,1,,,
TFAP4,3,1,,,,,,,,,2,,,,,,,,,,,,
KDM5B,9,2,,,,,,,,,2,,,,3,,,,,,,2,
CEBPD,1,,,,,,,,,,,,,,,,,,1,,,,
CTCF,44,,,,,,,,,,43,,,,,,,,1,,,,
KLF9,16,1,1,,,,,,,,,5,,,,,,2,4,3,,,
FOXJ2,31,2,,,,,,,,,7,,,,,,1,2,1,18,,,
ATF7,16,1,,,,,,,,,8,,,,,,,,6,1,,,
NFATC1,5,,2,,,,,,,,,,,,,,,,3,,,,
MEF2C,20,7,,,1,,1,,,,,,,,,,,9,1,1,,,
E2F6,7,,,,,,,,,,6,,,,,,,,1,,,,
POU2F2,9,1,,,1,,,,,,2,,,,,,,,3,2,,,
NCOA3,65,,2,,,1,3,,1,2,48,,,,,,1,,1,,,6,
SOX9,17,,,,,,,,,,10,,,,,,,,,6,,1,
GABPA,2,,,,,,,,,,1,,,,,,,,1,,,,
SMAD3,2,,,,,,,,,,,,,,,,,,,,,2,
BCL6,3,,,,,,,,,,,,,,,,,2,1,,,,
MBD1,1,,,,,,,,,,,,,,,,,1,,,,,
STAT5B,10,1,,,,,,,,,2,,,,,,,3,4,,,,
ARNT,27,3,,,,,,,,,16,,,,,,,1,6,1,,,
NFE2L2,11,,1,,,,,,,,7,,,,,,,3,,,,,
SMAD5,15,,6,,,,,,,,9,,,,,,,,,,,,
ZBTB33,10,,2,,,,,,,,1,,,,,,1,1,,,,5,
PPARG,3,,1,,,,1,,,,,,,,,,,1,,,,,
PKNOX1,7,,,,,,,,,,1,,,,,,,,6,,,,
ZEB1,22,4,1,,,,1,,,,5,,1,,,,,,6,3,,,1
PBX2,4,,3,,,,,,,,,,,,,,,,,,,1,
CEBPA,1,,,,,,,,,,,,,,,,,,,,,1,
E2F2,1,,,,,,,,,,,,,,,,,,,,,1,
IRF3,1,,1,,,,,,,,,,,,,,,,,,,,
CLOCK,64,,,,,,2,,,,,5,,,,,,2,16,7,,32,
RFX1,1,,,,,,,,,,1,,,,,,,,,,,,
MAFK,2,,2,,,,,,,,,,,,,,,,,,,,
REST,5,,,,,,,,,,4,,,,,,,,1,,,,
EPAS1,21,,2,,,,1,,,,,,,,,,,9,1,2,,6,
IRF2,16,,,,,,1,,,,,,,,,,,4,,11,,,
PPARA,8,,,,,,,,,,1,5,,,,,,1,,1,,,
HBP1,40,,7,,,,2,,,,,,,,,,,11,18,2,,,
TFAP2A,5,,1,,,,,,,,3,,,,,,,,,1,,,
NR2F6,2,1,,,,,,,,,,,,,,,,,,,,1,
JUNB,1,1,,,,,,,,,,,,,,,,,,,,,
ESR2,35,,,,,,,,,,,,,,,,,,,,,35,
ATF6,1,,,,,,,,,,1,,,,,,,,,,,,
TCF4,143,29,3,,1,,4,,,,11,,4,,,,3,5,77,,,6,
FOXO4,1,,,,,,,,,,,,,,,,,,1,,,,
STAT1,6,,1,,,,,,,,,,,,,,,4,,1,,,
MEIS2,11,4,,,1,,,,,,3,,,,,,,3,,,,,
BACH1,11,,,,,,,,,,6,,,,,,,,,1,,4,
E2F1,12,4,1,,,,1,,,,,,,,,,,4,,2,,,
E2F4,33,,,,,,,,,,29,,,,,,,,1,3,,,
HIF1A,469,17,1,,5,,9,,,1,359,1,3,2,,,3,3,1,1,8,55,
MEIS1,7,1,1,,,,,,,,,,,,,,,3,2,,,,
MYC,459,7,9,2,,,5,,,1,396,,2,,,,,1,,17,17,2,
ELF1,7,1,1,,,,2,,,,1,,,2,,,,,,,,,
ZNF24,5,1,1,,,,,,,,3,,,,,,,,,,,,
CREB3L1,1,,,,,,,,,,,,,,,,,,,,1,,
SREBF1,1,,,,,,,,,,,,,,,,,,,1,,,
NCOA2,13,,3,,,,,,,,2,,1,,,,,4,,3,,,
FOXK2,1,,1,,,,,,,,,,,,,,,,,,,,
STAT3,351,44,1,,1,,7,,,,28,3,5,4,,,1,181,25,8,3,36,4
RUNX3,3,1,,,,,,,,,,,,,,,1,,,1,,,
STAT2,4,,,,,,,,,,1,,,,,,,,,3,,,
MAFB,1,,,,,,,,,,,,,,,,,,,1,,,
E2F3,31,,,,,,,,,,21,,1,,,,,,1,3,,5,
ELF3,1,,,,,,,,,,,,,,1,,,,,,,,
KLF4,2,,,,,,,,,,,,,,,,,,,2,,,
GLI2,2,1,,,,,,,,,1,,,,,,,,,,,,
JUN,26,17,1,,,,,,,,3,,,,,,,,,2,,3,
PBX3,23,,1,,2,,,,,,,,,,,,,,20,,,,
WT1,2,,,,,,,,,,,,,,,,,,,2,,,
HMBOX1,4,,,,,,,,,,4,,,,,,,,,,,,
RBPJ,30,1,,,,,3,1,,,16,,,,,,,,4,2,1,2,
NFYB,2,1,,,,,,,,,,,,,,,,1,,,,,
MAX,1,,,,,,,,,,1,,,,,,,,,,,,
FOSL1,1,,,,,,,,,,,,,,,,,,,,,1,
POU2F1,48,,,,,,4,,,2,28,1,,,,,,7,4,,2,,
E2F7,12,2,,,,,,,,,5,,,,,,,2,2,1,,,
CREM,2,,,,,,,,,,,,,,,,,,,,,2,
MXI1,27,,,,,,,,,,2,,,,,,,8,15,,,2,
ZNF592,2,,,,,,,,,,1,,,,,,,1,,,,,
IRF1,26,2,,,,,,,,,1,,,,,,,7,,15,1,,
TCF7,1,,,,,,,,,,,,,,,,,1,,,,,
HOXA9,5,,2,,,,,,,,,,,,,,,,,3,,,
MYB,3,,2,,,,,,,,,,,,,,,,,1,,,
KLF5,3,,,,,,,,,1,,1,,,,,,,,1,,,
AR,111,3,1,,1,,,,,,17,4,1,1,,,1,39,11,,,32,
ZKSCAN1,22,7,1,,,,1,,,1,,,,,,1,,,1,10,,,
ARID2,10,3,1,,,,,,,,6,,,,,,,,,,,,
SREBF2,1,,,,,,,,,,,,,,,,,1,,,,,
RUNX1,12,,1,,,,,,,,,,,,,,,,2,9,,,
GATA6,50,38,1,,,,,,,,,,,1,,,,,,9,,1,
ZEB2,16,9,,,,,,,,,,,,,,,,,6,1,,,
SOX11,36,,,,,,3,,,,21,,,,5,,,1,3,3,,,
NRF1,15,,,,,,,,,,15,,,,,,,,,,,,
MAFG,5,,,,,,,,,,1,,,,,,,,,4,,,
THAP1,1,,,,,,,,,,,,,,,,,1,,,,,
SOX6,2,,,,,,,,,,2,,,,,,,,,,,,
ELK4,46,6,,,,,,,,,19,1,,,,,,,6,12,,2,
ESR1,210,18,15,,9,,8,,,,,3,1,4,,,,27,22,97,3,,3
NR3C1,28,12,3,,,,1,,,1,1,1,,,,,,,9,,,,
NCOA1,9,,,,,,,,,,,,,,,,3,,5,,,1,
MEF2A,307,68,,,4,,7,,,,,,,2,,,3,100,116,3,,4,
