"Target","ACC","BLCA","BRCA","CESC","COAD","DLBC","ESCA","HNSC","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OV","PAAD","PCPG","PRAD","SARC","SKCM","STAD","TGCT","THCA","THYM","UCEC","UVM"
"TMEM245",0,0.0146425495262705,0.0142387732749179,0,0.0126582278481013,0,0,0.00520833333333333,0,0,0.00181529385069208,0,0.00740740740740741,0,0,0,0,0,0.000458715596330275,0,0.000484027105517909,0,0,0,0,0
"COL1A2",0,0,0.00328587075575027,0,0,0,0,0,0,0,0.00930338098479691,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID2",0,0,0,0,0,0,0,0,0,0,0.010211027910143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TXNRD1",0,0.00172265288544358,0,0,0,0,0,0.0208333333333333,0,0,0.00544588155207624,0,0.00740740740740741,0,0,0,0,0,0.00688073394495413,0,0.000484027105517909,0,0,0,0.0238095238095238,0
"IQGAP1",0,0.00172265288544358,0.00328587075575027,0,0,0,0,0,0,0,0.00090764692534604,0,0,0,0,0,0,0.0178571428571429,0,0,0,0.0385304659498208,0,0,0,0
"EFR3A",0,0.00172265288544358,0.00109529025191676,0,0,0,0,0,0,0,0.00022691173133651,0,0,0,0,0,0,0,0.00229357798165138,0,0.0343659244917715,0,0,0.00473186119873817,0,0
"AHNAK",0,0,0.00219058050383352,0,0.0253164556962025,0,0,0,0,0,0.00068073519400953,0,0,0,0,0,0,0,0.0334862385321101,0,0,0,0,0,0,0
"ETS1",0,0.0103359173126615,0.0076670317634173,0,0,0,0,0,0,0,0.00521896982073973,0,0.0222222222222222,0,0,0,0,0,0,0,0.00193610842207164,0.00627240143369176,0.0153846153846154,0.00157728706624606,0,0
"HIPK1",0,0.00172265288544358,0,0,0,0,0,0,0,0,0.00045382346267302,0.0105263157894737,0,0,0,0,0,0,0.0197247706422018,0,0.00290416263310745,0,0.00769230769230769,0.00157728706624606,0,0
"CDKN1A",0,0.0327304048234281,0.00219058050383352,0,0,0,0,0.0104166666666667,0,0,0.0152030859995462,0.0631578947368421,0,0.170731707317073,0,0,0,0.0178571428571429,0.00596330275229358,0,0.0116166505324298,0.0017921146953405,0,0.00315457413249211,0.0238095238095238,0
"SMAD4",0,0.00172265288544358,0,0,0,0,0,0,0,0,0.00022691173133651,0,0,0,0,0,0,0.0357142857142857,0,0,0.0222652468538238,0,0,0.00157728706624606,0,0
"VEGFA",0,0,0.00109529025191676,0,0,0,0,0.00520833333333333,0,0,0.0757885182663944,0.0210526315789474,0.00740740740740741,0,0,0,0,0,0.00091743119266055,0,0.000484027105517909,0,0.0230769230769231,0.00473186119873817,0.0476190476190476,0
"IGF1R",0,0.00430663221360896,0.00547645125958379,0,0,0,0,0.00520833333333333,0,0,0.00544588155207624,0,0,0,0,0,0,0.0535714285714286,0.0055045871559633,0,0.000968054211035818,0.000896057347670251,0.00769230769230769,0,0,0
"ARID5B",0,0.00861326442721792,0.00657174151150055,0,0,0,0,0,0,0,0.00113455865668255,0,0.0296296296296296,0,0,0,0,0.0357142857142857,0.0018348623853211,0,0.0121006776379477,0,0,0,0,0
"FOXP1",0,0.0111972437553833,0.00219058050383352,0,0.0126582278481013,0,0,0.00520833333333333,0,0,0.00068073519400953,0.0105263157894737,0,0,0,0,0,0.0357142857142857,0.00642201834862385,0,0.000484027105517909,0.00896057347670251,0,0.00315457413249211,0.0238095238095238,0
"MCL1",0,0.00516795865633075,0,0,0.0632911392405063,0,0,0,0,0.024390243902439,0.0154299977308827,0.0210526315789474,0.00740740740740741,0,0,0.0344827586206897,0,0,0.000458715596330275,0,0.00338818973862536,0.000896057347670251,0,0.0126182965299685,0,0
"ITGB1",0,0.016365202411714,0.00328587075575027,0,0,0,0,0.00520833333333333,0,0,0.0167914681189017,0,0,0,0,0,0,0,0.00504587155963303,0,0,0.0125448028673835,0.00769230769230769,0,0,0
"CHD9",0,0.0275624461670973,0.0120481927710843,0,0,0,0,0,0,0,0.00204220558202859,0.0736842105263158,0,0,0,0,0.133333333333333,0,0.000458715596330275,0,0.00387221684414327,0,0,0.00473186119873817,0,0
"CDKN1B",0,0.00344530577088717,0.00109529025191676,0,0,0,0,0,0,0,0.00113455865668255,0,0.00740740740740741,0,0,0,0,0.0178571428571429,0.00137614678899083,0,0.0367860600193611,0,0.0230769230769231,0.00157728706624606,0,0
"TRIO",0,0.000861326442721792,0.00876232201533406,0,0,0,0,0,0,0,0.00136147038801906,0,0,0,0,0,0,0,0.0110091743119266,0,0.00435624394966118,0.000896057347670251,0,0,0,0
"ADAM10",0,0,0.00109529025191676,0,0,0,0,0,0,0,0.00930338098479691,0,0,0,0,0,0,0,0,0,0,0,0,0.00315457413249211,0,0
"CDK1",0,0,0,0,0,0,0,0.00520833333333333,0,0,0.0224642614023145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARP1",0,0.00430663221360896,0.00109529025191676,0,0,0,0,0,0,0.024390243902439,0.0258679373723622,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0
"VPS13D",0,0.00516795865633075,0.00109529025191676,0,0,0,0,0,0.142857142857143,0,0.00022691173133651,0,0,0,0,0,0,0,0.00779816513761468,0,0.0125847047434656,0.000896057347670251,0,0,0,0
"BRCA1",0,0.00516795865633075,0.00109529025191676,0,0,0,0,0,0,0,0.00499205808940322,0,0,0,0,0,0,0,0.00504587155963303,0,0,0,0,0.00157728706624606,0,0
"KDM5A",0,0.00172265288544358,0,0,0,0,0,0,0,0.024390243902439,0.0142954390742001,0.0105263157894737,0,0,0,0,0,0,0.0018348623853211,0,0.00484027105517909,0.000896057347670251,0,0,0,0
"BCL2",0,0.00602928509905254,0.00219058050383352,0,0.0253164556962025,0,0,0.015625,0,0,0.00294985250737463,0,0,0,0,0,0,0.142857142857143,0.00091743119266055,0.5,0.00484027105517909,0.00448028673835125,0,0,0,0
"FN1",0,0,0.00328587075575027,0,0.0126582278481013,0,0,0,0,0,0.0145223508055366,0,0,0,0,0,0,0,0.00091743119266055,0,0.00145208131655373,0,0,0.00157728706624606,0,0
"DST",0,0.00172265288544358,0.0120481927710843,0,0.0126582278481013,0,0,0.00520833333333333,0,0.024390243902439,0.00090764692534604,0,0.00740740740740741,0,0,0,0,0.0357142857142857,0.00229357798165138,0,0.000484027105517909,0.017921146953405,0,0,0.0238095238095238,0
"ASAP1",0,0.000861326442721792,0,0,0.0506329113924051,0,0,0,0,0,0.00544588155207624,0,0,0,0,0,0,0,0.00596330275229358,0,0.00871248789932236,0.0017921146953405,0,0.00157728706624606,0,0
"MKI67",0,0,0,0,0,0,0,0,0,0,0.00862264579078738,0,0,0,0,0,0,0,0,0,0,0,0,0.0157728706624606,0,0
"ZFP36L1",0,0.00258397932816537,0,0,0,0,0,0,0,0,0.00385749943272067,0,0,0,0,0,0,0,0,0,0.0111326234269119,0,0,0.00157728706624606,0,0
"FOXK1",0,0,0,0,0,0,0,0,0,0,0.00567279328341275,0,0,0,0,0,0,0,0.000458715596330275,0,0.0179090029041626,0.000896057347670251,0,0,0,0
"PLEC",0,0.00689061154177433,0,0,0,0,0,0,0,0,0.00272294077603812,0,0,0.024390243902439,0,0,0,0,0.00137614678899083,0,0.00822846079380445,0.0125448028673835,0,0,0,0
"FNDC3B",0,0.00775193798449612,0,0,0,0,0.0625,0,0,0.024390243902439,0.00158838211935557,0,0,0.121951219512195,0,0.0344827586206897,0,0.0178571428571429,0.00412844036697248,0,0.00580832526621491,0.00448028673835125,0,0,0,0
"RTN4",0,0.000861326442721792,0.00109529025191676,0,0.0126582278481013,0,0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0.0119266055045872,0,0.00387221684414327,0.000896057347670251,0,0.00315457413249211,0,0
"DICER1",0,0.00172265288544358,0,0,0,0,0,0,0.142857142857143,0.024390243902439,0.00158838211935557,0,0,0,0,0,0,0,0.00137614678899083,0,0.0135527589545015,0.0017921146953405,0,0,0,0
"CCND1",0,0.00172265288544358,0.0251916757940854,0,0,0,0.0625,0,0,0.024390243902439,0.0412979351032448,0.0105263157894737,0,0,0.142857142857143,0,0,0,0,0,0.00435624394966118,0.003584229390681,0,0.0110410094637224,0,0
"ESR1",0,0.00172265288544358,0.00109529025191676,0,0,0,0,0,0,0,0.00998411617880644,0,0,0,0,0,0,0,0.0091743119266055,0,0.000484027105517909,0.00627240143369176,0,0,0,0
"NR3C1",0,0,0.0197152245345016,0,0,0,0,0,0,0,0.0224642614023145,0,0,0.0731707317073171,0,0,0,0,0.0105504587155963,0,0.000968054211035818,0.00627240143369176,0.00769230769230769,0.00473186119873817,0,0
