"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
93,"ACVR2B","hsa-mir-3127-5p","hsa-mir-203a-3p",0.586,0.831,5e-04,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
93,"ACVR2B","hsa-mir-497-5p","hsa-mir-335-5p",0.516,0.538,0.005,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
214,"ALCAM","hsa-mir-98-5p","hsa-mir-508-5p",0.065,0.0135,0.0015,FALSE,"NA","NA","NA"," tarbase "," tarbase "
317,"APAF1","hsa-mir-452-5p","hsa-mir-491-5p",0.9845,0.0315,0,FALSE,"NA","NA","NA"," tarbase "," tarbase "
444,"ASPH","hsa-mir-33a-5p","hsa-mir-106a-5p",0.2835,0.59,0.002,FALSE,"NA","NA","NA"," tarbase "," tarbase "
473,"RERE","hsa-mir-1224-5p","hsa-mir-182-5p",0.14,0.046,0.0085,FALSE,"NA","NA","NA"," tarbase "," tarbase "
558,"AXL","hsa-mir-541-3p","hsa-mir-485-5p",0.2725,0.079,0.0075,FALSE,"NA","NA","NA"," tarbase "," tarbase "
567,"B2M","hsa-mir-195-3p","hsa-mir-411-3p",0.6765,0.56,0.004,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
595,"CCND1","hsa-mir-380-5p","hsa-mir-95-3p",0.0115,0.176,0.0055,FALSE,"NA","NA","NA
NA
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16954163'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095038'>PubMedLink</a>","mirtarbase  ","mirtarbase tarbase "
599,"BCL2L2","hsa-mir-550a-5p","hsa-mir-21-3p",0.547,0.0405,0.0045,FALSE,"NA","NA","NA"," tarbase "," tarbase "
