"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
894,"CCND2","hsa-mir-376c-3p","hsa-mir-541-5p",0.0115,0.124,0,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",20.1387967659671,18.5049433444294,0.29148227442177,-0.353102690804795,0.398853936731358,0.588412469618987,0.81638929449799,-0.0431925000081037
1152,"CKB","hsa-mir-424-5p","hsa-mir-195-5p",0.019,0.096,0.0075,FALSE,"NA","NA","NA"," tarbase "," tarbase ",21.2283594648972,19.6907640675642,0.0952209190976666,-0.526844940831158,0.0478918772822502,-0.650927480781569,0.99551499267722,-0.001040891838032
1783,"DYNC1LI2","hsa-mir-708-5p","hsa-let-7c-5p",0.99,0.012,0.0045,FALSE,"NA","NA","NA"," tarbase "," tarbase ",18.3970918692787,17.3208960381873,0.183068490649196,-0.504360518459726,0.159992984273785,-0.340704282239637,0.790078042806429,0.0529949876780258
1843,"DUSP1","hsa-mir-200b-3p","hsa-mir-937-3p",0.6405,0.187,0.0015,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/24409315'>PubMedLink</a>"," tarbase "," tarbase ",22.7373247947312,20.6905724414188,0.627039105914662,-0.378027211890285,0.699619213400702,0.323943235932106,0.599775254335706,-0.0921622685011931
1870,"E2F2","hsa-mir-224-5p","hsa-mir-196a-5p",0.6065,0.044,0.0095,TRUE,"NA","NA","NA"," tarbase "," tarbase ",12.0526283159878,10.2647869288673,0.60905406181031,-0.219653549781102,0.0104869739043192,1.01898821451906,0.335022270828366,0.250083841706709
1995,"ELAVL3","hsa-mir-511-5p","hsa-mir-1224-3p",0.2465,0.0225,0.007,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",19.5785600436555,16.3771921469095,0.00231977732351297,-1.35044992425606,0.124001720472076,1.15210137902404,0.0918779730492076,0.368233950300697
2651,"GCNT2","hsa-mir-32-3p","hsa-mir-181d-5p",0.1465,0.076,0,FALSE,"NA","NA","NA"," tarbase "," tarbase ",13.3363591288085,11.4003072067726,0.0340399562878437,-1.42455433435913,0.168238927623065,0.533064507872944,0.733915000255102,0.0811875905661937
2932,"GSK3B","hsa-mir-199a-5p","hsa-mir-410-3p",0.014,0.219,0.001,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","mirtarbase  ","mirtarbase  ",18.1880717402931,17.0215462071235,0.154944467214958,-0.383250958315601,0.176058073217224,0.393341495138207,0.94707580556922,-0.0131809333855346
2932,"GSK3B","hsa-mir-199a-5p","hsa-mir-411-3p",0.015,0.028,5e-04,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","mirtarbase  "," tarbase ",18.2595811110344,17.0795151321036,0.154944467214958,-0.383250958315601,0.813967204405885,0.0971445903248991,0.94707580556922,-0.0131809333855346
2932,"GSK3B","hsa-mir-411-3p","hsa-mir-195-5p",0.032,0.031,0.004,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>"," tarbase ","mirtarbase  ",18.1570826859729,17.1214489725915,0.813967204405885,0.0971445903248991,0.0478918772822502,-0.650927480781569,0.94707580556922,-0.0131809333855346
2932,"GSK3B","hsa-mir-411-3p","hsa-mir-424-5p",0.024,0.072,0.002,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>"," tarbase "," tarbase ",18.1143505103033,17.0882371119766,0.813967204405885,0.0971445903248991,0.0952209190976666,-0.526844940831158,0.94707580556922,-0.0131809333855346
