"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
324,"APC","hsa-mir-125b-5p","hsa-mir-192-5p",0.0845,0.0745,0.002,FALSE,"NA","NA","NA
NA
<a href='https://pubmed.ncbi.nlm.nih.gov/10212817'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10485468'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10605402'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10674823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11048797'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11062151'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11078757'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11304579'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11315765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11338478'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11891177'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12163385'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12373147'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12378616'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12455028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12584167'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12695555'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12746473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12841866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12907646'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12907646'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12966349'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/1317264'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/1338691'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15197775'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15639718'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15639718'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16278815'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16407829'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16619216'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16619216'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16736496'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16991125'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17293392'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17964080'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17964080'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19259700'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19576232'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20025482'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20179237'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20210251'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20978327'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21538028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22158121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22262720'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22542170'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23049225'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24197976'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24470207'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25210923'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25344691'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25496852'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25602793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26033320'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26073472'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26862903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27087319'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27984236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28059096'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28543390'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28617917'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29156563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29525853'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30376837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30474112'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31406299'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7958689'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8019564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8081386'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8226275'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8406987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8440743'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8552404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8564980'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8616831'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8649856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8903471'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8943812'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9033644'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9111214'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9155671'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9990480'>PubMedLink</a>","mirtarbase  ","mirtarbase tarbase ",17.1090900919781,15.8159357051697,8.82812523827531e-05,-0.314248291065357,0.197005518340449,0.0875254484404351,0.66000336253991,-0.0286652043950503
388,"RHOB","hsa-mir-1271-5p","hsa-mir-23a-5p",0.136,0.0145,0,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/27806312'>PubMedLink</a>"," tarbase "," tarbase ",22.2593571569225,21.2185250026318,0.236664780935491,-0.21645351322197,0.776413283757955,0.0515929406913883,0.0978180691784578,-0.093011724652652
399,"RHOH","hsa-mir-455-5p","hsa-mir-421",0.7625,0.04,5e-04,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/27451075'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gSTAD/19802518'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/25041019'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/25510566'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/27016414'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/28962204'>PubMedLink</a>","NA","mirtarbase  ","mirtarbase  ",15.0694475190305,13.8853799038264,0.868707264467986,0.0183612133100132,0.00155907203780509,0.642999884855837,0.97833626694739,0.00188898612830594
444,"ASPH","hsa-mir-1-3p","hsa-mir-323a-3p",0.016,0.3265,0.0025,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",18.2730130120707,17.2553968634656,1.91853343624772e-19,-0.902171756398943,0.939552520441079,-0.0133463214374011,0.759690020048617,0.0192457473439375
444,"ASPH","hsa-mir-145-5p","hsa-mir-148a-3p",0.0385,0.3325,0.0075,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/27143926'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/27460730'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/28382284'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gSTAD/30390708'>PubMedLink</a>","NA"," tarbase "," tarbase ",18.275464847968,17.2091774791823,3.98528546062009e-11,-0.447160813019103,0.000779814211747872,-0.210134562082937,0.759690020048617,0.0192457473439375
444,"ASPH","hsa-mir-338-5p","hsa-mir-145-5p",0.247,0.041,0.002,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gSTAD/27143926'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/27460730'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/28382284'>PubMedLink</a>","NA"," tarbase "," tarbase ",18.3140524355631,17.0948488458497,0.0147586350112855,-0.30862694495114,3.98528546062009e-11,-0.447160813019103,0.759690020048617,0.0192457473439375
472,"ATM","hsa-mir-223-3p","hsa-mir-148a-3p",0.0155,0.019,0.001,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/29317648'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gSTAD/30390708'>PubMedLink</a>","NA
NA
NA
<a href='https://pubmed.ncbi.nlm.nih.gov/14706517'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16369744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23201008'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23569343'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23649938'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24324828'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24486587'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24531888'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24841718'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25972194'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26098866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26506520'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26587992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27638859'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28138034'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28453388'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28647209'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29753747'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30221053'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30729066'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31206368'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31485675'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9592204'>PubMedLink</a>","mirtarbase  "," tarbase ",16.1869645797316,15.1486903068688,0.775365090821993,0.0249908392730615,0.000779814211747872,-0.210134562082937,0.818892281727251,0.0153222513333389
667,"DST","hsa-mir-335-5p","hsa-mir-342-3p",0.0115,0.012,0.0095,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSTAD/24805774'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/29215918'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/33685481'>PubMedLink</a>","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11948124'>PubMedLink</a>","mirtarbase tarbase "," tarbase ",17.2323838955246,16.1542659667244,0.383166360453186,0.130047270877898,0.219289907001129,-0.117205816198364,0.228013645493433,-0.0776723882062677
894,"CCND2","hsa-mir-1271-5p","hsa-mir-940",0.084,0.0175,5e-04,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gSTAD/26317898'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/26456959'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14612939'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24130168'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25960238'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>"," tarbase "," tarbase ",18.9954069240321,17.5945066716739,0.236664780935491,-0.21645351322197,0.00542461439455454,0.559150084478533,0.487443218921618,-0.0426532780607654
894,"CCND2","hsa-mir-1468-5p","hsa-mir-940",0.1105,0.014,5e-04,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gSTAD/26317898'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSTAD/26456959'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14612939'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24130168'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25960238'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>"," tarbase "," tarbase ",18.6861432943342,17.62456079321,0.0132602211795168,-0.362099507412141,0.00542461439455454,0.559150084478533,0.487443218921618,-0.0426532780607654
