"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
59,"ACTA2","hsa-mir-376c-3p","hsa-mir-377-3p",0.023,0.334,0.006,FALSE,"NA"," tarbase "," tarbase "
93,"ACVR2B","hsa-mir-200b-3p","hsa-mir-582-5p",0.0185,0.019,5e-04,FALSE,"NA"," tarbase "," tarbase "
93,"ACVR2B","hsa-mir-582-5p","hsa-mir-196b-5p",0.0185,0.016,0.0015,FALSE,"NA"," tarbase ","mirtarbase tarbase "
202,"CRYBG1","hsa-mir-335-5p","hsa-mir-345-5p",0.0185,0.1785,0.001,FALSE,"NA"," tarbase "," tarbase "
202,"CRYBG1","hsa-mir-503-5p","hsa-mir-345-5p",0.0775,0.146,0,FALSE,"NA"," tarbase "," tarbase "
595,"CCND1","hsa-mir-141-5p","hsa-mir-486-3p",0.0285,0.0245,0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/20395447'>PubMedLink</a>"," tarbase "," tarbase "
672,"BRCA1","hsa-mir-181d-5p","hsa-mir-20b-5p",0.044,0.618,0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29433971'>PubMedLink</a>"," tarbase ","mirtarbase tarbase "
687,"KLF9","hsa-mir-124-3p","hsa-mir-518e-3p",0.2435,0.1195,0.001,TRUE,"NA","mirtarbase tarbase "," tarbase "
718,"C3","hsa-mir-127-5p","hsa-mir-485-5p",0.2985,0.011,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
718,"C3","hsa-mir-377-5p","hsa-mir-127-5p",0.02,0.286,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
861,"RUNX1","hsa-mir-34b-5p","hsa-mir-642a-5p",0.064,0.0105,0.0045,TRUE,"NA"," tarbase ","mirtarbase  "
861,"RUNX1","hsa-mir-642a-5p","hsa-mir-106a-5p",0.013,0.0145,0.001,TRUE,"NA","mirtarbase  ","mirtarbase tarbase "
867,"CBL","hsa-mir-7-5p","hsa-mir-224-5p",0.017,0.7615,5e-04,FALSE,"NA"," tarbase "," tarbase "
894,"CCND2","hsa-mir-204-5p","hsa-mir-497-5p",0.126,0.137,0.0025,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/14670177'>PubMedLink</a>"," tarbase ","mirtarbase tarbase "
901,"CCNG2","hsa-mir-183-3p","hsa-mir-1305",0.05,0.0465,0.003,FALSE,"NA"," tarbase "," tarbase "
908,"CCT6A","hsa-mir-130b-3p","hsa-mir-766-3p",0.0105,0.167,0,FALSE,"NA","mirtarbase tarbase "," tarbase "
920,"CD4","hsa-mir-204-5p","hsa-mir-485-5p",0.0835,0.02,0.009,FALSE,"NA"," tarbase ","mirtarbase  "
1021,"CDK6","hsa-mir-506-3p","hsa-mir-211-5p",0.0325,0.0355,0.0085,FALSE,"NA","mirtarbase  ","mirtarbase  "
1303,"COL12A1","hsa-mir-299-3p","hsa-mir-376a-3p",0.0225,0.0145,0,FALSE,"NA"," tarbase "," tarbase "
1303,"COL12A1","hsa-mir-299-3p","hsa-mir-655-3p",0.036,0.609,0.004,FALSE,"NA"," tarbase "," tarbase "
