"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
70,"ACTC1","hsa-mir-142-5p","hsa-mir-7-1-3p",0.18,0.033,0.0045,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",11.6868111754747,9.82131650821897,0.0410716890094804,0.268014594681548,0.0598598476142965,0.252132543368633,5.97772466890808e-05,-0.35333610440087
70,"ACTC1","hsa-mir-7-5p","hsa-mir-29b-1-5p",0.0865,0.306,0.0085,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",11.9767518051265,10.2067640514876,1.63538843865527e-11,2.00692321993127,0.230182991426197,-0.215244813645327,5.97772466890808e-05,-0.35333610440087
107,"ADCY1","hsa-mir-212-3p","hsa-mir-29a-5p",0.1515,0.9355,0.009,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gUCEC/34468255'>PubMedLink</a>","NA","mirtarbase  "," tarbase ",13.7297497081185,11.7985404584792,0.427020290107895,-0.136280192826799,0.0147163147237214,-0.376149195497158,0.358868853564793,-0.0619113201573466
133,"ADM","hsa-mir-181d-5p","hsa-mir-221-5p",0.1395,0.5635,0.005,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11420706'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11973640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22178239'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23969937'>PubMedLink</a>"," tarbase "," tarbase ",18.280566372941,16.4051182637705,0.96379122414251,-0.00582062240093506,0.0662571736982208,-0.361778682394394,0.00398518519606916,0.174854253026973
547,"KIF1A","hsa-mir-22-5p","hsa-mir-210-3p",0.015,0.342,0.007,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.9083902610291,15.0277780471829,0.110928183674518,0.225549053644045,2.41490391970179e-05,0.418589814341198,3.4546172444555e-12,0.484939081822358
547,"KIF1A","hsa-mir-22-5p","hsa-mir-326",0.0165,0.11,0.0085,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.8982417007872,16.2105919410148,0.110928183674518,0.225549053644045,0.356019930722108,0.168282437015916,3.4546172444555e-12,0.484939081822358
558,"AXL","hsa-mir-7-5p","hsa-mir-34a-5p",0.053,0.0905,0.0075,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/27764792'>PubMedLink</a>"," tarbase ","mirtarbase tarbase ",16.7964268156852,15.7138839056735,1.63538843865527e-11,2.00692321993127,0.209591926562605,-0.130780897994726,0.00508773858378868,-0.165187738825449
586,"BCAT1","hsa-mir-194-5p","hsa-mir-653-5p",0.0295,0.1055,0.002,FALSE,"NA","NA","NA"," tarbase "," tarbase ",18.6137851446851,17.2209408646272,0.549202173674326,-0.0606924493088374,1.39983250117464e-06,0.916307262442217,0.271566678513555,0.0666248621478018
596,"BCL2","hsa-mir-155-5p","hsa-mir-17-3p",0.5885,0.8215,0.006,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/10392638'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10705244'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10831353'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11198267'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11330947'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11330947'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11420706'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11603220'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12193924'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12217750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12237915'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12469199'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12866376'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14559989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15361203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15721399'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16012738'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17590421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17590421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19160418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20647402'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21618512'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21627862'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22343305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23637776'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28123521'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28222424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28222438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29653556'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30168854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30537101'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30971627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8635035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8729980'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8729985'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8920794'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9292705'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9306964'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9427771'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9781657'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9987671'>PubMedLink</a>"," tarbase "," tarbase ",15.746849104086,14.6613738715623,0.253820855811093,0.119184525998842,0.178426953569894,-0.130387990187662,0.00202580768309942,-0.18700778933221
667,"DST","hsa-mir-182-5p","hsa-mir-221-3p",0.6145,0.032,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase ",15.2326630449063,13.9536534982589,0.000450086284951829,0.282408355276058,3.3570645996829e-05,-0.413910396466696,0.00703239694184515,-0.165210029532324
