"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
444,"ASPH","hsa-let-7c-5p","hsa-mir-96-5p",0.0145,0.0435,0.008,FALSE,"NA","NA","NA"," tarbase "," tarbase "
472,"ATM","hsa-mir-320c","hsa-mir-1-3p",0.0645,0.249,0.002,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gUVM/31377937'>PubMedLink</a>"," tarbase "," tarbase "
774,"CACNA1B","hsa-mir-335-5p","hsa-mir-3150b-3p",0.4005,0.307,0.0015,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase  "
814,"CAMK4","hsa-mir-2116-3p","hsa-mir-629-3p",0.022,0.0165,0.001,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
836,"CASP3","hsa-mir-30a-3p","hsa-mir-129-5p",0.104,0.8055,0.0065,FALSE,"NA","NA","NA"," tarbase "," tarbase "
864,"RUNX3","hsa-mir-106a-5p","hsa-mir-495-3p",0.2575,0.535,0.004,TRUE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase  "
894,"CCND2","hsa-mir-32-5p","hsa-mir-424-5p",0.0295,0.1065,5e-04,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
1021,"CDK6","hsa-let-7b-5p","hsa-mir-145-5p",0.23,0.4785,0.0035,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase  "
1021,"CDK6","hsa-mir-129-2-3p","hsa-let-7b-5p",0.6945,0.231,0.0085,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase "
1021,"CDK6","hsa-mir-145-5p","hsa-mir-582-5p",0.4995,0.8095,0.0095,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
1021,"CDK6","hsa-mir-582-3p","hsa-mir-143-3p",0.9965,0.313,0.005,FALSE,"NA","NA","NA"," tarbase "," tarbase "
