entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,miRNA1_pvalue,miRNA1_logFC,miRNA2_pvalue,miRNA2_logFC,mRNA_pvalue,mRNA_logFC,BH_pvalues_adjusted,BH_rejected
360,AQP3,hsa-mir-20a-3p,hsa-mir-196a-5p,0.0085,FALSE,NA,NA,NA,tarbase,tarbase,0.318511566981444,0.590321592335799,0.272390577436384,0.437034530475507,0.098365055557865,0.317959199203998,0.17209033877038898,FALSE
360,AQP3,hsa-mir-20a-3p,hsa-mir-889-3p,0.0045,FALSE,NA,NA,NA,tarbase,mirtarbase,0.318511566981444,0.590321592335799,0.324991260351976,-0.430899109431842,0.098365055557865,0.317959199203998,0.12874468085106383,FALSE
360,AQP3,hsa-mir-2355-5p,hsa-mir-889-3p,0.0065,FALSE,NA,NA,NA,tarbase,mirtarbase,0.594480511032847,-0.200634859897396,0.324991260351976,-0.430899109431842,0.098365055557865,0.317959199203998,0.15266957787481805,FALSE
488,ATP2A2,hsa-mir-188-3p,hsa-mir-497-5p,0.0025,FALSE,NA,NA,NA,tarbase,tarbase,0.658511882263961,0.447333832523277,0.0602786263793021,-0.736930236174511,0.606911424552385,0.0993281282603189,0.09581947743467932,FALSE
493,ATP2B4,hsa-mir-218-5p,hsa-mir-18a-3p,0.0055,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/30524205'>PubMedLink</a>,NA,NA,mirtarbase tarbase,mirtarbase,0.0432832878979492,-0.71494649945238,0.0417354195717144,2.1329728762167,0.417303906484887,-0.151408286122232,0.13932182103610674,FALSE
595,CCND1,hsa-mir-195-5p,hsa-mir-338-3p,0.004,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/29243777'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/30207103'>PubMedLink</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/11311493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11371120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15221962'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15896460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15949570'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18548202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19489683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19585495'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20473525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20680537'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21594903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23111469'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24737585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25204741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26631043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27364926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27732565'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30198868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30361291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30903019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31695498'>PubMedLink</a>",mirtarbase tarbase,mirtarbase tarbase,0.0465178735354217,-0.713940602248058,0.445972718154258,-0.231900827090782,0.927073368686399,0.0180538265736299,0.1217811320754717,FALSE
595,CCND1,hsa-mir-3170,hsa-mir-625-5p,0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11311493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11371120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15221962'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15896460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15949570'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18548202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19489683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19585495'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20473525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20680537'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21594903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23111469'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24737585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25204741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26631043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27364926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27732565'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30198868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30361291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30903019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31695498'>PubMedLink</a>",mirtarbase,mirtarbase tarbase,0.399123516677717,0.920682457978588,0.268788802374947,0.837819568650752,0.927073368686399,0.0180538265736299,0.08317525773195876,FALSE
595,CCND1,hsa-mir-625-5p,hsa-mir-296-5p,0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11311493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11371120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15221962'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15896460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15949570'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18548202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19489683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19585495'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20473525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20680537'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21594903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23111469'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24737585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25204741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26631043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27364926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27732565'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30198868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30361291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30903019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31695498'>PubMedLink</a>",mirtarbase tarbase,tarbase,0.268788802374947,0.837819568650752,0.815453493429602,-0.142555946450267,0.927073368686399,0.0180538265736299,0.1217811320754717,FALSE
659,BMPR2,hsa-mir-20b-5p,hsa-mir-222-3p,0.0085,FALSE,NA,NA,NA,mirtarbase,tarbase,0.00898396660926057,1.31515818113164,0.863940325319415,0.061820557847157,0.667552050829966,-0.0849355188134386,0.17209033877038898,FALSE
667,DST,hsa-mir-129-5p,hsa-mir-196a-5p,5e-4,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/30260270'>PubMedLink</a>,NA,NA,tarbase,tarbase,0.00299042749917434,-1.39299181942766,0.272390577436384,0.437034530475507,0.668941439488508,-0.0852327990766385,0.032272,TRUE
760,CA2,hsa-mir-29c-3p,hsa-mir-195-5p,0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31027119'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31027119'>PubMedLink</a>",tarbase,tarbase,0.162525651892987,-0.366338630200331,0.0465178735354217,-0.713940602248058,0.0337462527386316,0.459793806086835,0.12874468085106383,FALSE
1021,CDK6,hsa-mir-30a-3p,hsa-mir-92b-3p,0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30829464'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31093891'>PubMedLink</a>",mirtarbase tarbase mirecords,tarbase mirecords,0.0658248713872749,-0.469838646766521,0.8223137875936,0.0796838783901942,0.804236780425707,0.0525177092906009,0,TRUE
1026,CDKN1A,hsa-mir-616-5p,hsa-mir-589-3p,5e-4,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10233960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10760422'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11179504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16641284'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19584294'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25812484'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28968467'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30098344'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9546362'>PubMedLink</a>",mirtarbase tarbase,mirtarbase tarbase,0.134192760279509,1.4469390948924,0.530997419552379,0.503285537931001,0.803676229543046,0.0455035232549037,0.032272,TRUE
1290,COL5A2,hsa-mir-146b-5p,hsa-mir-185-3p,0.002,FALSE,NA,NA,NA,tarbase,tarbase,0.998941828541524,-3.8347681395656e-4,0.0390796523441568,1.57468773552021,0.624060568731334,-0.0948588558776305,0.08317525773195876,FALSE
1303,COL12A1,hsa-mir-9-5p,hsa-mir-10a-5p,0.009,FALSE,NA,NA,NA,mirtarbase tarbase,tarbase,0.762788688713729,-0.0795066611988455,0.110638634433706,-0.362833497182984,0.410952328909049,-0.15839233325219,0.176456865127582,FALSE
1499,CTNNB1,hsa-mir-203a-3p,hsa-mir-18a-5p,0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10780674'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11893906'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12883680'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19716018'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19857041'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24020724'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26427870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27065319'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27081037'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27092879'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27513465'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28386346'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28627610'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28880275'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28902356'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29048651'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29079964'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29130111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29181101'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29959029'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29970906'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30466627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30484490'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30547809'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30915737'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30939162'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31298313'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31327462'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31410143'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31666350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31682716'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9865919'>PubMedLink</a>",tarbase,tarbase,0.0689503172074437,0.489439123157074,0.0183724665831381,1.36479706078864,0.838156193008018,-0.0375907689784101,0.1602913907284768,FALSE
1848,DUSP6,hsa-mir-497-5p,hsa-mir-149-5p,0.0025,FALSE,NA,NA,NA,tarbase,tarbase,0.0602786263793021,-0.736930236174511,0.995411595704346,0.00215947064525434,0.785795550475246,-0.0531308749907883,0.09581947743467932,FALSE
1951,CELSR3,hsa-mir-378a-3p,hsa-mir-548j-5p,0.001,FALSE,NA,NA,NA,tarbase,mirtarbase,0.8701822673155,-0.0503660081986665,0.0706477898331914,2.6858489615107,0.0844981468557719,0.398636790391737,0.05273202614379085,FALSE
1952,CELSR2,hsa-mir-330-5p,hsa-mir-182-5p,0.0075,FALSE,NA,NA,NA,tarbase,tarbase,0.314602094517623,0.451079583017493,0.0882285542922699,0.471380349034425,0.17305642405553,0.283888093747057,0.1602913907284768,FALSE
2034,EPAS1,hsa-mir-125b-5p,hsa-mir-138-5p,0.0025,TRUE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/28797320'>PubMedLink</a>,<a href='https://pubmed.ncbi.nlm.nih.gov/29321085'>PubMedLink</a>,tarbase,tarbase,0.0246558460047033,-0.59514617668095,0.118853415707329,1.48423725031056,0.640933672312718,-0.0869771322655852,0.09581947743467932,FALSE
2099,ESR1,hsa-mir-18b-5p,hsa-mir-182-5p,0,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/15361203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19047174'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20581058'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23923078'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24511005'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26056290'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28472813'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28924735'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29229929'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29532467'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30173650'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30957588'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31452755'>PubMedLink</a>",mirtarbase,tarbase,0.0978263518394985,1.97109883199311,0.0882285542922699,0.471380349034425,0.04086876454698,-0.405744354846877,0,TRUE
2114,ETS2,hsa-mir-199a-5p,hsa-mir-338-5p,0.008,TRUE,<a href='https://pubmed.ncbi.nlm.nih.gov/30937952'>PubMedLink</a>,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/9174050'>PubMedLink</a>,mirtarbase,mirtarbase,0.0682575660614511,-0.493545764987622,0.604651692312109,-0.300155859010755,0.97962632398917,-0.00469282797357879,0.16635051546391752,FALSE
2138,EYA1,hsa-mir-133b,hsa-mir-3928-3p,0.0095,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/22179829'>PubMedLink</a>,NA,NA,tarbase,tarbase,4.99924718700808e-5,-2.11834468493249,0.887775025215777,0.122653509447591,0.278115431354033,0.516330912095031,0.18119621749408985,FALSE
