entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,mRNA_pvalue,mRNA_logFC,BH_pvalues_adjusted,BH_rejected
596,BCL2,hsa-mir-30b-5p,hsa-mir-494-3p,0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10022131'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10193519'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10452254'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10564391'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10607921'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10612539'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10652634'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10767713'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10785598'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10797335'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11041112'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11052631'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11150376'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11151060'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11355956'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11687726'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11724359'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11802199'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11848471'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11865380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11920608'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12149448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12244568'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12269390'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12270138'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12423325'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12670866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14663636'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15314290'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15955446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15955446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16401477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16407826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16773715'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16799636'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17182178'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17273826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17278191'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17332927'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17373735'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17426704'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18807035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18852136'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18949393'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18949393'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19027288'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19124064'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20409521'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20716165'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21128871'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21455217'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22050790'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22570942'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22990545'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23364257'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23867993'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24293274'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24384683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24451945'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24743574'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24895601'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24957706'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25192188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25208882'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25209181'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25282590'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25323586'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25385144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25548100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25738398'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25840688'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25977444'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26078354'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26482433'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26697569'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27046651'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27220399'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27244080'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27461218'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27537525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27663504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27845068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28032859'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28100091'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28106544'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28468511'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28499854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28714374'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28782841'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28785155'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28803443'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28928161'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28950657'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29065135'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29190919'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29288563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29372687'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29394130'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416778'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29636622'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29656061'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29669301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29844818'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29958837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417787'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30420612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30443961'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30515612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30535479'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30557404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30588113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30677442'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30681073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30713822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30806395'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31011292'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31043791'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31117840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31141929'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31243264'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31296963'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31497237'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8063611'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8625322'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8690754'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9054611'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9164212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9221853'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9815900'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9823803'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9849490'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9881495'>PubMedLink</a>",mirtarbase,mirtarbase,0.00353318768551151,-0.171560487060928,0.04563604240282686,TRUE
677,ZFP36L1,hsa-mir-30b-5p,hsa-mir-548f-3p,0.0065,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.793155662468451,0.0136977586836966,0.04801801801801801,TRUE
2045,EPHA7,hsa-mir-33a-5p,hsa-mir-455-3p,0.001,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/31209892'>PubMedLink</a>,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/16007213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16007213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31505877'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31505877'>PubMedLink</a>",tarbase,mirtarbase,5.81126590573618e-14,-0.477202870674325,0.01343213728549142,TRUE
2113,ETS1,hsa-mir-1228-3p,hsa-mir-424-5p,0.0025,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11353051'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15252143'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16103071'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19499154'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21343932'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22735571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23173124'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26296467'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26461477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31322251'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31570702'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7753825'>PubMedLink</a>",mirtarbase,tarbase,0.237531110473946,-0.0650906473092392,0.025625,TRUE
2200,FBN1,hsa-mir-136-5p,hsa-mir-424-5p,0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23963856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25802477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28901407'>PubMedLink</a>",tarbase,tarbase,0.678384227889494,-0.023589929814589,0,TRUE
2200,FBN1,hsa-mir-224-5p,hsa-mir-196b-5p,0.0095,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/28591704'>PubMedLink</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/23963856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25802477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28901407'>PubMedLink</a>",tarbase,tarbase,0.678384227889494,-0.023589929814589,0.06124672407338075,FALSE
2200,FBN1,hsa-mir-224-5p,hsa-mir-424-5p,0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23963856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25802477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28901407'>PubMedLink</a>",tarbase,tarbase,0.678384227889494,-0.023589929814589,0,TRUE
3312,HSPA8,hsa-mir-32-3p,hsa-mir-20b-5p,0.0095,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10891381'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12966429'>PubMedLink</a>",mirtarbase,mirtarbase,0.429357437065956,0.038932443871701,0.06124672407338075,FALSE
3371,TNC,hsa-mir-877-5p,hsa-mir-136-5p,0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16211285'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23645740'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25666906'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27191989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27191989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28106752'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29065427'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29196164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30170017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31036754'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31195598'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31632476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7543628'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7690353'>PubMedLink</a>",tarbase,tarbase,0.928497862619518,0.00500318984426843,0.0378924205378973,TRUE
3572,IL6ST,hsa-mir-181d-5p,hsa-mir-215-5p,0.0075,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/29199273'>PubMedLink</a>,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/19223499'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28130546'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28783170'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29777330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30736824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31443669'>PubMedLink</a>",tarbase,mirtarbase tarbase,0.0845352248558087,-0.0949679266661034,0.05280049059689288,FALSE
