entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
602,BCL3,hsa-mir-30b-3p,hsa-mir-32-3p,0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11672772'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14556665'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16426923'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21752100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21752100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21891868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2243504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23562784'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27873317'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30021393'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30792270'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31109623'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8374527'>PubMedLink</a>",tarbase,tarbase,0.2917816901408451,FALSE
790,CAD,hsa-mir-939-5p,hsa-mir-505-5p,0.0075,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/10657901'>PubMedLink</a>,tarbase,mirtarbase tarbase,0.3414807692307692,FALSE
821,CANX,hsa-mir-181c-3p,hsa-mir-708-5p,0.0025,FALSE,NA,NA,NA,tarbase,tarbase,0.26424107142857145,FALSE
894,CCND2,hsa-mir-96-5p,hsa-mir-452-3p,0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17593082'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17593082'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19706817'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20016842'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21479697'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21504716'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25207815'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26985765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27825111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30127911'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30755239'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7529333'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8045261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8959341'>PubMedLink</a>",mirtarbase tarbase,tarbase,0.3368536585365854,FALSE
1026,CDKN1A,hsa-mir-654-3p,hsa-mir-15b-3p,0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18941111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19738071'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21804610'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25671298'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31812332'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9546285'>PubMedLink</a>",mirtarbase,tarbase,0.30160509554140125,FALSE
1026,CDKN1A,hsa-mir-654-3p,hsa-mir-939-5p,0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16670073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18941111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19738071'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21804610'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25671298'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31812332'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9546285'>PubMedLink</a>",mirtarbase,mirtarbase tarbase,0.3418916967509026,FALSE
1303,COL12A1,hsa-mir-1-3p,hsa-mir-181c-5p,0.0055,FALSE,NA,NA,NA,mirtarbase,tarbase,0.3288333333333333,FALSE
1385,CREB1,hsa-mir-204-5p,hsa-mir-9-5p,5e-4,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25648114'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29576796'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257496'>PubMedLink</a>",mirtarbase,mirtarbase,0.1345227272727273,FALSE
1452,CSNK1A1,hsa-mir-181a-2-3p,hsa-mir-181d-5p,0.007,FALSE,NA,NA,NA,tarbase,mirtarbase,0.3368536585365854,FALSE
1847,DUSP5,hsa-mir-624-5p,hsa-mir-16-1-3p,0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/14556661'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2497076'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2786910'>PubMedLink</a>",tarbase,mirtarbase,0.3350377358490566,FALSE
