entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,miRNA1_pvalue,miRNA1_logFC,miRNA2_pvalue,miRNA2_logFC,mRNA_pvalue,mRNA_logFC,BH_pvalues_adjusted,BH_rejected
36,ACADSB,hsa-mir-15b-3p,hsa-mir-215-5p,0.0015,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.0156366640122253,0.40903925918714,0.00274283123267962,-0.544276173485431,0.426316793476317,-0.0633063593304184,0.07170422535211268,FALSE
36,ACADSB,hsa-mir-15b-3p,hsa-mir-9-5p,0.0045,FALSE,NA,NA,NA,tarbase,mirtarbase tarbase,0.0156366640122253,0.40903925918714,0.00487172866555441,-0.311555474503904,0.426316793476317,-0.0633063593304184,0.12316935483870968,FALSE
153,ADRB1,hsa-mir-141-5p,hsa-mir-363-3p,0.0035,FALSE,NA,NA,NA,mirtarbase,tarbase,0.00112279725588573,0.400269372156654,0.0031598017131187,-0.482984128023688,0.202482218022358,0.11358859656318,0.11533009708737864,FALSE
153,ADRB1,hsa-mir-363-3p,hsa-mir-654-3p,5e-4,FALSE,NA,NA,NA,tarbase,mirtarbase,0.0031598017131187,-0.482984128023688,4.25415244200225e-6,-0.920777028026195,0.202482218022358,0.11358859656318,0.03535416666666666,TRUE
351,APP,hsa-mir-570-3p,hsa-mir-135a-5p,5e-4,FALSE,NA,NA,NA,tarbase,tarbase,0.225102164603993,0.432684153846797,4.62145352083672e-6,-1.06287356965796,0.622022581169433,-0.0353562311975377,0.03535416666666666,TRUE
394,ARHGAP5,hsa-mir-212-3p,hsa-mir-493-5p,0.0055,FALSE,NA,NA,NA,tarbase,mirtarbase,0.00198920466897351,-0.676292879508713,9.87484665678077e-5,-1.0303630246589,0.452773732118896,0.0602133636030896,0.13053846153846155,FALSE
463,ZFHX3,hsa-mir-20b-5p,hsa-mir-204-5p,0,TRUE,<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>,NA,NA,tarbase,mirtarbase,0.15270823885516,-0.208113811789293,1.6664871974492102e-17,-1.27818300980535,0.437654735916615,0.0663992120103793,0,TRUE
476,ATP1A1,hsa-mir-511-5p,hsa-mir-193b-3p,0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28484360'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28484360'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30015972'>PubMedLink</a>",tarbase,mirtarbase tarbase,0.255012865235525,-0.260028094385711,0.278501614684647,0.160208853100491,0.499627452253121,-0.0480321266205083,0.14051592356687898,FALSE
538,ATP7A,hsa-mir-34a-5p,hsa-mir-335-5p,0.004,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>'>PubMedLink</a>,NA,tarbase,mirtarbase tarbase,0.440730082467716,0.102563025348855,9.14371672772996e-10,-1.35157373194338,0.157713354629557,0.119016836485756,0.12121428571428572,FALSE
596,BCL2,hsa-mir-181d-5p,hsa-mir-34a-5p,0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10101681'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11351249'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12017273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12025227'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12025227'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12796377'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12810203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12810203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12941126'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14519627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14519627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14710230'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15188008'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15357873'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15756350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15826766'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15985079'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16643620'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17541305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19380190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19539330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19539330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20037166'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20208132'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22398398'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22591748'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23469687'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25833690'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26406868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27483435'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27554585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27573448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27573448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27779645'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27834342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27834342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28449664'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28464919'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29731840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31031856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8621251'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9042262'>PubMedLink</a>",mirtarbase tarbase,mirtarbase tarbase,0.00174788597184081,-0.575019966337691,0.440730082467716,0.102563025348855,0.246541891257945,0.0944136976953861,0.12316935483870968,FALSE
