entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,miRNA1_pvalue,miRNA1_logFC,miRNA2_pvalue,miRNA2_logFC,mRNA_pvalue,mRNA_logFC,BH_pvalues_adjusted,BH_rejected
290,ANPEP,hsa-mir-141-5p,hsa-mir-145-5p,0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18216146'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26509904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27556823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27556823'>PubMedLink</a>",tarbase,tarbase,3.822660774893219e-30,-1.7549023698368,7.97890569972628e-8,-0.43765675268901,0.932138614510161,-0.00500769914110022,0.10409224598930482,FALSE
330,BIRC3,hsa-mir-196b-5p,hsa-mir-589-3p,0.004,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/17154176'>PubMedLink</a>,tarbase,tarbase,0.035991784269581,0.182442260329986,0.00361466771125294,0.665126829413091,0.30227743378897,0.0675040022250446,0.07751219512195122,FALSE
351,APP,hsa-mir-570-3p,hsa-mir-135a-5p,0.004,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a>,NA,tarbase,tarbase,0.789739638370259,-0.07563018101041,1.3513232709779702e-9,-0.831878230559742,0.642117859404563,-0.0260624989811698,0.07751219512195122,FALSE
710,SERPING1,hsa-mir-23b-5p,hsa-mir-23a-5p,0.003,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.00913578672128816,-0.615577684733964,0.770254711938149,-0.0635156715733736,0.93127123666305,0.00501102559644953,0.06700602409638554,FALSE
875,CBS,hsa-mir-214-5p,hsa-mir-940,0.009,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/28668830'>PubMedLink</a>,mirtarbase tarbase,tarbase,2.74824756336189e-15,-1.18240940474083,0.984638316391683,-0.00391844380424038,0.53656931649029,0.0522067955937023,0.11749647887323944,FALSE
875,CBS,hsa-mir-940,hsa-mir-16-2-3p,0.0055,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/28668830'>PubMedLink</a>,tarbase,mirtarbase,0.984638316391683,-0.00391844380424038,0.485781791682188,0.121018700385268,0.53656931649029,0.0522067955937023,0.09227224736048265,FALSE
894,CCND2,hsa-mir-3065-5p,hsa-mir-382-5p,0.004,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/27583477'>PubMedLink</a>,tarbase,mirtarbase,2.67860038565641e-10,-1.20209516216774,4.72056402017537e-5,-0.708075271296676,0.0053441127331017,0.179787223031248,0.07751219512195122,FALSE
894,CCND2,hsa-mir-382-5p,hsa-mir-937-3p,0.0025,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/27583477'>PubMedLink</a>,mirtarbase,tarbase,4.72056402017537e-5,-0.708075271296676,0.0183467109571414,0.662479768266561,0.0053441127331017,0.179787223031248,0.06165742793791574,FALSE
894,CCND2,hsa-mir-450b-5p,hsa-mir-195-5p,0.002,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/28969047'>PubMedLink</a>,<a href='https://pubmed.ncbi.nlm.nih.gov/27583477'>PubMedLink</a>,tarbase,mirtarbase tarbase,0.0221033111695627,-0.293247955485073,1.02200829748098e-8,-0.6627503859451,0.0053441127331017,0.179787223031248,0.05360481927710843,FALSE
894,CCND2,hsa-mir-450b-5p,hsa-mir-497-5p,0.002,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/27583477'>PubMedLink</a>,tarbase,mirtarbase tarbase,0.0221033111695627,-0.293247955485073,1.25737395343195e-5,-0.554797074996022,0.0053441127331017,0.179787223031248,0.05360481927710843,FALSE
