entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,miRNA1_pvalue,miRNA1_logFC,miRNA2_pvalue,miRNA2_logFC,mRNA_pvalue,mRNA_logFC,BH_pvalues_adjusted,BH_rejected
528,ATP6V1C1,hsa-mir-30a-5p,hsa-mir-335-3p,0.0025,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/26589417'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/27574447'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/34113402'>PubMedLink</a>,NA,NA,mirtarbase tarbase,tarbase,0.804283539,0.050343415,0.870928857,-0.027926504,0.32025489,0.06685071,0.0450621546961326,TRUE
547,KIF1A,hsa-mir-548b-3p,hsa-mir-744-3p,0.005,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/30671469'>PubMedLink</a>,NA,NA,tarbase,tarbase,0.013257122,0.558736317,0.136569908,-0.253721002,0.39916548,-0.0829561,0.06694596443228454,FALSE
595,CCND1,hsa-mir-7-5p,hsa-mir-1-3p,0.0075,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/30962696'>PubMedLink</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/10385644'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11368878'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11406552'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11408803'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11813305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11906173'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12029619'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12375019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12601350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12692418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12845670'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12960127'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14687479'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15026472'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15706412'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15991281'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16940298'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17546056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17546056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17546056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17587243'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18059167'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18350604'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19009649'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19411833'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19885547'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19919837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20332458'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20347627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20512928'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21327578'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21397858'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21691299'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21878637'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22249261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22292081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22292081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22429965'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22472110'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22649188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22942238'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23221382'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23462179'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23613111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23740840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23812424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24008375'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24083596'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24570185'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25015194'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25109821'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25280563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25313882'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25822088'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25851350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26125710'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26189965'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26359353'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26361959'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26500057'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26530887'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26882953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27062697'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27351279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27448450'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27596272'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27697092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28182015'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28292020'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28330473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28368741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28378640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28791413'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28885717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29328502'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29441724'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29895195'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29949741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29970717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30201494'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30509085'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30646811'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30698907'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30810974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30930425'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31168049'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31340767'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31667787'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31747859'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8205525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8240318'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9302564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9722210'>PubMedLink</a>",tarbase,mirtarbase tarbase,5.84e-5,1.191142718,0.179942908,0.35509983,0.32015365,-0.0640341,0.08294491525423729,FALSE
687,KLF9,hsa-mir-146b-5p,hsa-mir-129-5p,0.0085,TRUE,<a href='https://pubmed.ncbi.nlm.nih.gov/28404923'>PubMedLink</a>,<a href='https://pubmed.ncbi.nlm.nih.gov/25912876'>PubMedLink</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/24173774'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25242357'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25652467'>PubMedLink</a>",tarbase,tarbase,6.66e-6,1.333221497,6.64e-4,0.989197233,0.18066737,-0.0865467,0.08916800643086817,FALSE
957,ENTPD5,hsa-mir-654-5p,hsa-mir-146a-5p,0.0095,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/28396836'>PubMedLink</a>,NA,mirtarbase,mirtarbase,0.759306739,0.061698239,0.813599104,0.053071916,0.21338646,-0.080638,0.0944451498222448,FALSE
993,CDC25A,hsa-mir-874-3p,hsa-mir-22-5p,5e-4,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/28076852'>PubMedLink</a>,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12738732'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12738732'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15534860'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18204780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18204780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22705122'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25909324'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26647881'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27644634'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28333141'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31293973'>PubMedLink</a>",tarbase,tarbase,0.033462237,-0.434470013,0.007181203,-0.43871847,0.02575417,0.17335118,0.01501150306748466,TRUE
1021,CDK6,hsa-mir-224-3p,hsa-mir-548v,0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/15349907'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18350604'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21499307'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22429965'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23894465'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26498144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27490780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30123094'>PubMedLink</a>",tarbase,mirtarbase,1.89e-7,1.558984129,0.465161718,0.147070269,0.95733154,-0.0038199,0.04997872340425532,TRUE
1026,CDKN1A,hsa-mir-299-5p,hsa-mir-301b-3p,0.006,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/30266288'>PubMedLink</a>,<a href='https://pubmed.ncbi.nlm.nih.gov/31207037'>PubMedLink</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/10094816'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10883667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10918595'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11521219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11595124'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11906173'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12107653'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12217602'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12244568'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12531694'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12531694'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12833133'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14642618'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14759525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14767984'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15201954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15201954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15666088'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15761978'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15800978'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16112786'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865289'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17211849'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17239344'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17617120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19414386'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19435914'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19465904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19533683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21666704'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21890460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22909100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23537372'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23542179'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24885363'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25280563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25633810'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26165647'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26676829'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26725321'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27154519'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27698442'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28471446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28716731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29383172'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29408622'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29484736'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29795057'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30585632'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8824564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9022146'>PubMedLink</a>",mirtarbase tarbase,tarbase,1.87e-4,-0.737788396,5.31e-6,1.30607749,0.7133501,-0.023077,0.07471374045801527,FALSE
1282,COL4A1,hsa-mir-146b-5p,hsa-mir-224-5p,0.001,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/28404923'>PubMedLink</a>,<a href='https://pubmed.ncbi.nlm.nih.gov/26231037'>PubMedLink</a>,NA,tarbase,tarbase,6.66e-6,1.333221497,3.97e-13,2.783518407,0.03156773,0.14234321,0.02506402048655569,TRUE
1545,CYP1B1,hsa-mir-377-3p,hsa-mir-222-5p,0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19064581'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24614526'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25796598'>PubMedLink</a>",tarbase,tarbase,0.020329443,-0.591237408,0.006366772,0.481125384,0.86084158,0.01253395,0.07471374045801527,FALSE
