entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,miRNA1_pvalue,miRNA1_logFC,miRNA2_pvalue,miRNA2_logFC,mRNA_pvalue,mRNA_logFC,BH_pvalues_adjusted,BH_rejected
19,ABCA1,hsa-mir-33a-3p,hsa-mir-106a-5p,0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17133272'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21159167'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31795847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8638091'>PubMedLink</a>",mirtarbase tarbase,tarbase,0.27633165893703,0.214600724414561,3.6392976554495e-4,0.4778599928506,0.0987344196417726,-0.0787815498971332,0.03021428571428571,TRUE
240,ALOX5,hsa-let-7f-5p,hsa-mir-19a-3p,0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18976020'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29901268'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30258081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30258081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30941737'>PubMedLink</a>",tarbase,mirtarbase,1.9080756298252e-4,-0.22434770279065,2.06856521144369e-6,0.593274508550163,4.7106984568596e-4,-0.1581935770646,0.03021428571428571,TRUE
332,BIRC5,hsa-mir-203a-3p,hsa-mir-3940-3p,0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12168867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15112339'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15829320'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15981204'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16382892'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16671090'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16826583'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17254769'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17693049'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18032822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18401527'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18630507'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21861135'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23232114'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26432044'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28368399'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29744296'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31093306'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31093306'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31508486'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31508486'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31746439'>PubMedLink</a>",mirtarbase tarbase,mirtarbase,0.584518384064673,-0.0362222390765601,0.0483830708127039,-0.462018226076841,1.8413499416329701e-9,0.305834372907548,0.04693227665706052,TRUE
367,AR,hsa-mir-223-5p,hsa-mir-31-5p,5e-4,TRUE,<a href='https://pubmed.ncbi.nlm.nih.gov/29615147'>PubMedLink</a>,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11145738'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11161850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11712819'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11880592'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12115497'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12445232'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12558872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/1552612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15665279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15665279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18007998'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18481268'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18692155'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18692155'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19318631'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20035825'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20127024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20587701'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21432867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21432867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22389383'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22471922'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23362007'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24777847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24777847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24879567'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24879567'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25471750'>PubMedLink</a>
