entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
27,ABL2,hsa-mir-95-3p,hsa-mir-200a-3p,0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25379720'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31825826'>PubMedLink</a>",tarbase,tarbase,0.2474867256637168,FALSE
125,ADH1B,hsa-mir-34b-3p,hsa-mir-223-5p,0.0035,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/29615147'>PubMedLink</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/28236470'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29808834'>PubMedLink</a>",mirtarbase,mirtarbase,0.2631209677419355,FALSE
330,BIRC3,hsa-mir-196b-5p,hsa-mir-582-5p,0.002,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/30536321'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31170211'>PubMedLink</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/12082024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12082024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12243753'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12243753'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12384799'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12651874'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15138717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20959404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22046421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26291056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31766357'>PubMedLink</a>",tarbase,tarbase,0.22195238095238096,FALSE
571,BACH1,hsa-mir-188-3p,hsa-mir-497-5p,0.0055,TRUE,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/30867780'>PubMedLink</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/31257023'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257027'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257029'>PubMedLink</a>",mirtarbase,tarbase,0.30337869822485203,FALSE
894,CCND2,hsa-mir-542-3p,hsa-mir-20b-5p,0.0075,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/28866101'>PubMedLink</a>,<a href='https://pubmed.ncbi.nlm.nih.gov/31289482'>PubMedLink</a>,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>",tarbase,tarbase,0.3251860465116279,FALSE
894,CCND2,hsa-mir-96-5p,hsa-mir-582-3p,0.0025,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>",mirtarbase tarbase,tarbase,0.23305,FALSE
1073,CFL2,hsa-mir-940,hsa-mir-200a-3p,0.0085,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/31258781'>PubMedLink</a>,NA,NA,mirtarbase,tarbase,0.32901176470588234,FALSE
1277,COL1A1,hsa-mir-378a-5p,hsa-mir-539-5p,0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28258342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28258342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29568927'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30604926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30732676'>PubMedLink</a>",tarbase,tarbase,0.2631209677419355,FALSE
1289,COL5A1,hsa-mir-9-5p,hsa-mir-32-3p,0.008,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/29239816'>PubMedLink</a>,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/29702185'>PubMedLink</a>,tarbase,tarbase,0.32901176470588234,FALSE
1300,COL10A1,hsa-mir-335-5p,hsa-mir-29c-3p,0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19949890'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30442874'>PubMedLink</a>",mirtarbase tarbase,mirtarbase,0.3251860465116279,FALSE
