entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,BH_pvalues_adjusted,BH_rejected
59,ACTA2,hsa-mir-376c-3p,hsa-mir-377-3p,0.006,FALSE,NA,tarbase,tarbase,0.01713305412371134,TRUE
93,ACVR2B,hsa-mir-200b-3p,hsa-mir-582-5p,5e-4,FALSE,NA,tarbase,tarbase,0.00205864591801184,TRUE
93,ACVR2B,hsa-mir-582-5p,hsa-mir-196b-5p,0.0015,FALSE,NA,tarbase,mirtarbase tarbase,0.005383963824115,TRUE
202,CRYBG1,hsa-mir-335-5p,hsa-mir-345-5p,0.001,FALSE,NA,tarbase,tarbase,0.0037967444849004,TRUE
202,CRYBG1,hsa-mir-503-5p,hsa-mir-345-5p,0,FALSE,NA,tarbase,tarbase,0,TRUE
595,CCND1,hsa-mir-141-5p,hsa-mir-486-3p,0,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/20395447'>PubMedLink</a>,tarbase,tarbase,0,TRUE
672,BRCA1,hsa-mir-181d-5p,hsa-mir-20b-5p,0,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/29433971'>PubMedLink</a>,tarbase,mirtarbase tarbase,0,TRUE
687,KLF9,hsa-mir-124-3p,hsa-mir-518e-3p,0.001,TRUE,NA,mirtarbase tarbase,tarbase,0.0037967444849004,TRUE
718,C3,hsa-mir-127-5p,hsa-mir-485-5p,5e-4,FALSE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
718,C3,hsa-mir-377-5p,hsa-mir-127-5p,0.001,FALSE,NA,mirtarbase,mirtarbase,0.0037967444849004,TRUE
861,RUNX1,hsa-mir-34b-5p,hsa-mir-642a-5p,0.0045,TRUE,NA,tarbase,mirtarbase,0.01352976594301221,TRUE
861,RUNX1,hsa-mir-642a-5p,hsa-mir-106a-5p,0.001,TRUE,NA,mirtarbase,mirtarbase tarbase,0.0037967444849004,TRUE
867,CBL,hsa-mir-7-5p,hsa-mir-224-5p,5e-4,FALSE,NA,tarbase,tarbase,0.00205864591801184,TRUE
894,CCND2,hsa-mir-204-5p,hsa-mir-497-5p,0.0025,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/14670177'>PubMedLink</a>,tarbase,mirtarbase tarbase,0.00830200755565268,TRUE
901,CCNG2,hsa-mir-183-3p,hsa-mir-1305,0.003,FALSE,NA,tarbase,tarbase,0.00965844356327753,TRUE
908,CCT6A,hsa-mir-130b-3p,hsa-mir-766-3p,0,FALSE,NA,mirtarbase tarbase,tarbase,0,TRUE
920,CD4,hsa-mir-204-5p,hsa-mir-485-5p,0.009,FALSE,NA,tarbase,mirtarbase,0.02382779907402797,TRUE
1021,CDK6,hsa-mir-506-3p,hsa-mir-211-5p,0.0085,FALSE,NA,mirtarbase,mirtarbase,0.022739498968761,TRUE
1303,COL12A1,hsa-mir-299-3p,hsa-mir-376a-3p,0,FALSE,NA,tarbase,tarbase,0,TRUE
1303,COL12A1,hsa-mir-299-3p,hsa-mir-655-3p,0.004,FALSE,NA,tarbase,tarbase,0.01227348257558273,TRUE
1303,COL12A1,hsa-mir-376b-3p,hsa-mir-299-3p,5e-4,FALSE,NA,tarbase,tarbase,0.00205864591801184,TRUE
1303,COL12A1,hsa-mir-495-3p,hsa-mir-299-3p,0.004,FALSE,NA,tarbase,tarbase,0.01227348257558273,TRUE
1374,CPT1A,hsa-mir-194-3p,hsa-mir-302a-3p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
1374,CPT1A,hsa-mir-194-3p,hsa-mir-302c-3p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
1374,CPT1A,hsa-mir-194-3p,hsa-mir-302d-3p,5e-4,FALSE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
1482,NKX2-5,hsa-mir-1538,hsa-mir-663a,0.006,TRUE,NA,mirtarbase,mirtarbase,0.01713305412371134,TRUE
1601,DAB2,hsa-mir-124-3p,hsa-mir-548d-3p,0.006,FALSE,NA,tarbase,tarbase,0.01713305412371134,TRUE
1958,EGR1,hsa-mir-124-3p,hsa-mir-520d-5p,0.002,TRUE,NA,mirtarbase tarbase,tarbase,0.00687181806434939,TRUE
1958,EGR1,hsa-mir-518a-3p,hsa-mir-192-5p,0.0065,TRUE,NA,tarbase,mirtarbase tarbase,0.01827912326159378,TRUE
1958,EGR1,hsa-mir-518a-3p,hsa-mir-520d-5p,0.003,TRUE,NA,tarbase,tarbase,0.00965844356327753,TRUE
1958,EGR1,hsa-mir-518b,hsa-mir-520d-5p,0.0045,TRUE,NA,tarbase,tarbase,0.01352976594301221,TRUE
1958,EGR1,hsa-mir-518f-3p,hsa-mir-520d-5p,0.008,TRUE,NA,tarbase,tarbase,0.02165901338899353,TRUE
1979,EIF4EBP2,hsa-mir-760,hsa-mir-766-3p,0,FALSE,NA,mirtarbase,mirtarbase,0,TRUE
1981,EIF4G1,hsa-mir-452-3p,hsa-mir-96-5p,0.0035,FALSE,NA,tarbase,mirtarbase,0.01098845858669343,TRUE
1981,EIF4G1,hsa-mir-491-5p,hsa-mir-182-3p,0.008,FALSE,NA,tarbase,tarbase,0.02165901338899353,TRUE
1999,ELF3,hsa-mir-629-5p,hsa-mir-124-3p,0.001,TRUE,NA,mirtarbase tarbase,mirtarbase tarbase,0.0037967444849004,TRUE
2005,ELK4,hsa-mir-181a-2-3p,hsa-mir-651-5p,0.0075,TRUE,NA,tarbase,tarbase,0.02055066079295154,TRUE
2180,ACSL1,hsa-mir-205-5p,hsa-mir-335-5p,0.003,FALSE,NA,mirtarbase,mirtarbase tarbase,0.00965844356327753,TRUE
2195,FAT1,hsa-mir-194-3p,hsa-mir-7-5p,0,FALSE,NA,tarbase,tarbase,0,TRUE
2195,FAT1,hsa-mir-9-5p,hsa-mir-7-5p,0,FALSE,NA,tarbase,tarbase,0,TRUE
2239,GPC4,hsa-mir-548o-3p,hsa-mir-3065-3p,5e-4,FALSE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
2274,FHL2,hsa-mir-486-3p,hsa-mir-3662,0.0065,FALSE,NA,tarbase,mirtarbase,0.01827912326159378,TRUE
2289,FKBP5,hsa-mir-539-5p,hsa-mir-200c-3p,0.0015,FALSE,NA,mirtarbase,mirtarbase,0.005383963824115,TRUE
2335,FN1,hsa-mir-124-3p,hsa-mir-7-5p,0,FALSE,NA,tarbase,tarbase,0,TRUE
2935,GSPT1,hsa-mir-9-3p,hsa-mir-455-3p,0.0045,FALSE,<a href='https://pubmed.ncbi.nlm.nih.gov/26503584'>PubMedLink</a>,tarbase,tarbase,0.01352976594301221,TRUE
2979,GUCA1B,hsa-mir-519e-5p,hsa-mir-515-5p,0.0015,FALSE,NA,mirtarbase,mirtarbase,0.005383963824115,TRUE
3097,HIVEP2,hsa-mir-486-3p,hsa-mir-873-5p,0.0025,TRUE,NA,tarbase,tarbase,0.00830200755565268,TRUE
3215,HOXB5,hsa-mir-3150b-3p,hsa-mir-513c-5p,0.008,TRUE,NA,mirtarbase,mirtarbase,0.02165901338899353,TRUE
3224,HOXC8,hsa-mir-149-3p,hsa-mir-518b,0.006,TRUE,NA,mirtarbase,mirtarbase,0.01713305412371134,TRUE
3224,HOXC8,hsa-mir-34b-5p,hsa-mir-518c-3p,5e-4,TRUE,NA,mirtarbase,mirtarbase,0.00205864591801184,TRUE
