entrezgene_id,hgnc_symbol,mirna1,mirna2,Lancaster_XY_Z,is_mrna_tf,mirna1Literature,mirna2Literature,mrnaLiterature,miRNA1_mRNA_DB,miRNA2_mRNA_DB,miRNA1_pvalue,miRNA1_logFC,miRNA2_pvalue,miRNA2_logFC,mRNA_pvalue,mRNA_logFC,BH_pvalues_adjusted,BH_rejected
70,ACTC1,hsa-mir-142-5p,hsa-mir-7-1-3p,0.0045,FALSE,NA,NA,NA,mirtarbase,mirtarbase,0.0410716890094804,0.268014594681548,0.0598598476142965,0.252132543368633,5.97772466890808e-5,-0.35333610440087,0.11025949367088608,FALSE
70,ACTC1,hsa-mir-7-5p,hsa-mir-29b-1-5p,0.0085,FALSE,NA,NA,NA,mirtarbase,mirtarbase,1.63538843865527e-11,2.00692321993127,0.230182991426197,-0.215244813645327,5.97772466890808e-5,-0.35333610440087,0.1450328109696376,FALSE
107,ADCY1,hsa-mir-212-3p,hsa-mir-29a-5p,0.009,FALSE,NA,<a href='https://pubmed.ncbi.nlm.nih.gUCEC/34468255'>PubMedLink</a>,NA,mirtarbase,tarbase,0.427020290107895,-0.136280192826799,0.0147163147237214,-0.376149195497158,0.358868853564793,-0.0619113201573466,0.14861516587677723,FALSE
133,ADM,hsa-mir-181d-5p,hsa-mir-221-5p,0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11420706'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11973640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22178239'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23969937'>PubMedLink</a>",tarbase,tarbase,0.96379122414251,-0.00582062240093506,0.0662571736982208,-0.361778682394394,0.00398518519606916,0.174854253026973,0.1150660501981506,FALSE
547,KIF1A,hsa-mir-22-5p,hsa-mir-210-3p,0.007,FALSE,NA,NA,NA,tarbase,tarbase,0.110928183674518,0.225549053644045,2.41490391970179e-5,0.418589814341198,3.4546172444554997e-12,0.484939081822358,0.13356736035049288,FALSE
547,KIF1A,hsa-mir-22-5p,hsa-mir-326,0.0085,FALSE,NA,NA,NA,tarbase,tarbase,0.110928183674518,0.225549053644045,0.356019930722108,0.168282437015916,3.4546172444554997e-12,0.484939081822358,0.1450328109696376,FALSE
558,AXL,hsa-mir-7-5p,hsa-mir-34a-5p,0.0075,FALSE,NA,NA,<a href='https://pubmed.ncbi.nlm.nih.gov/27764792'>PubMedLink</a>,tarbase,mirtarbase tarbase,1.63538843865527e-11,2.00692321993127,0.209591926562605,-0.130780897994726,0.00508773858378868,-0.165187738825449,0.13840836864406778,FALSE
586,BCAT1,hsa-mir-194-5p,hsa-mir-653-5p,0.002,FALSE,NA,NA,NA,tarbase,tarbase,0.549202173674326,-0.0606924493088374,1.39983250117464e-6,0.916307262442217,0.271566678513555,0.0666248621478018,0.07444871794871795,FALSE
596,BCL2,hsa-mir-155-5p,hsa-mir-17-3p,0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10392638'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10705244'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10831353'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11198267'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11330947'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11330947'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11420706'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11603220'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12193924'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12217750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12237915'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12469199'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12866376'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14559989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15361203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15721399'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16012738'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17590421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17590421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19160418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20647402'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21618512'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21627862'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22343305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23637776'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28123521'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28222424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28222438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29653556'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30168854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30537101'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30971627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8635035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8729980'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8729985'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8920794'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9292705'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9306964'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9427771'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9781657'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9987671'>PubMedLink</a>",tarbase,tarbase,0.253820855811093,0.119184525998842,0.178426953569894,-0.130387990187662,0.00202580768309942,-0.18700778933221,0.12414014251781472,FALSE
667,DST,hsa-mir-182-5p,hsa-mir-221-3p,0.004,FALSE,NA,NA,NA,tarbase,tarbase,4.5008628495182e-4,0.282408355276058,3.3570645996829e-5,-0.413910396466696,0.00703239694184515,-0.165210029532324,0.10416143497757847,FALSE
667,DST,hsa-mir-192-5p,hsa-mir-23b-5p,0.005,FALSE,NA,NA,NA,mirtarbase tarbase,tarbase,0.974794279543224,0.00295627386572401,0.00952610003845367,-0.59316603646754,0.00703239694184515,-0.165210029532324,0.1150660501981506,FALSE
894,CCND2,hsa-mir-1226-3p,hsa-mir-491-5p,0.0025,FALSE,NA,NA,NA,tarbase,tarbase,9.82861232980003e-8,1.52655471209211,0.0903253163091159,0.34873444707122,1.1363646844952e-4,-0.225968403039584,0.08264231499051233,FALSE
894,CCND2,hsa-mir-135b-5p,hsa-mir-7-1-3p,0.003,FALSE,NA,NA,NA,tarbase,tarbase,1.3390824366292802e-9,0.82222244597762,0.0598598476142965,0.252132543368633,1.1363646844952e-4,-0.225968403039584,0.09152889667250438,FALSE
894,CCND2,hsa-mir-149-5p,hsa-mir-491-5p,0.001,FALSE,NA,NA,NA,tarbase,tarbase,0.80851522692851,0.0291269059510407,0.0903253163091159,0.34873444707122,1.1363646844952e-4,-0.225968403039584,0.04963247863247864,TRUE
894,CCND2,hsa-mir-34b-5p,hsa-mir-192-3p,0.001,FALSE,NA,NA,NA,tarbase,mirtarbase,0.0658864400363834,-0.457623880338718,0.00128010224438463,0.752026099675921,1.1363646844952e-4,-0.225968403039584,0.04963247863247864,TRUE
