"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
93,"ACVR2B","hsa-mir-3127-5p","hsa-mir-203a-3p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.1115,FALSE,"miR-3127-5p",NA,"hsa-mir-3127","hsa-mir-203a,hsa-mir-203b"
93,"ACVR2B","hsa-mir-497-5p","hsa-mir-335-5p",0.005,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.29062656641604,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-335-5p","hsa-mir-195,hsa-mir-497","hsa-mir-335"
214,"ALCAM","hsa-mir-98-5p","hsa-mir-508-5p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.193266666666667,FALSE,"let-7-5p/98-5p","miR-508-5p","hsa-mir-98,hsa-let-7f-2","hsa-mir-506,hsa-mir-507,hsa-mir-508"
317,"APAF1","hsa-mir-452-5p","hsa-mir-491-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0,TRUE,"miR-452-5p/892-3p","miR-491-5p","hsa-mir-224,hsa-mir-452","hsa-mir-491"
444,"ASPH","hsa-mir-33a-5p","hsa-mir-106a-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase",0.217765258215962,FALSE,"miR-33-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-33a","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
473,"RERE","hsa-mir-1224-5p","hsa-mir-182-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.331314285714286,FALSE,"miR-1224-5p","miR-182-5p","hsa-mir-1224","hsa-mir-182,hsa-mir-96,hsa-mir-183"
558,"AXL","hsa-mir-541-3p","hsa-mir-485-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.327570621468927,FALSE,"miR-654-5p","miR-485-5p","hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409"
567,"B2M","hsa-mir-195-3p","hsa-mir-411-3p",0.004,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.266574712643678,FALSE,"miR-16-2-3p/195-3p","miR-411-3p","hsa-mir-195,hsa-mir-497","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
595,"CCND1","hsa-mir-380-5p","hsa-mir-95-3p",0.0055,FALSE,NA,NA,"NA
NA
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16954163'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095038'>PubMedLink</a>","mirtarbase","mirtarbase tarbase",0.304429594272076,FALSE,"miR-380-5p/563","miR-95-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495","hsa-mir-95"
599,"BCL2L2","hsa-mir-550a-5p","hsa-mir-21-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.279048128342246,FALSE,"miR-550a-3-5p/550a-5p/1271-3p","miR-21-3p/3591-3p","hsa-mir-550a-1,hsa-mir-550b-1","hsa-mir-21"
672,"BRCA1","hsa-mir-1-3p","hsa-mir-26a-1-3p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase",0.217765258215962,FALSE,"miR-1-3p/206","miR-26-3p","hsa-mir-133a-1,hsa-mir-1-2","hsa-mir-26a-1"
678,"ZFP36L2","hsa-mir-125b-2-3p","hsa-mir-378a-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.279048128342246,FALSE,"miR-125b-2-3p","miR-378-3p","hsa-mir-125b-2","hsa-mir-378a"
767,"CA8","hsa-mir-9-5p","hsa-mir-329-3p",0.0015,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.193266666666667,FALSE,"miR-9-5p","miR-329-3p/362-3p","hsa-mir-9-1","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
894,"CCND2","hsa-mir-141-5p","hsa-mir-345-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.29062656641604,FALSE,"miR-141-5p","miR-345-5p","hsa-mir-200c,hsa-mir-141","hsa-mir-345"
894,"CCND2","hsa-mir-301a-3p","hsa-mir-21-3p",0.0035,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.258509554140127,FALSE,"miR-130-3p/301-3p/454-3p","miR-21-3p/3591-3p","hsa-mir-301a","hsa-mir-21"
894,"CCND2","hsa-mir-345-5p","hsa-mir-221-3p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",0.336658064516129,FALSE,"miR-345-5p","miR-221-3p/222-3p","hsa-mir-345","hsa-mir-221,hsa-mir-222"
