"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
1289,"COL5A1","hsa-mir-33b-5p","hsa-mir-338-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.0122337571210991,-0.768645183617741,0.350208419592734,0.300047218221764,0.272282332230678,0.140588968205049,0.231625,FALSE,"miR-33-5p","miR-338-5p","hsa-mir-33b","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
1317,"SLC31A1","hsa-mir-10a-3p","hsa-mir-214-3p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.58401296119118,0.20784799765085,0.758667215415774,0.0979436255901189,0.0670418897873774,-0.223902961669103,0.116785714285714,FALSE,"miR-10a-3p","miR-214-3p/3619-5p","hsa-mir-10a","hsa-mir-214,hsa-mir-3120,hsa-mir-199a-2"
1871,"E2F3","hsa-mir-378c","hsa-mir-188-3p",0.0085,TRUE,NA,NA,NA,"tarbase","mirtarbase",5.94109649925874e-05,-1.12596129505487,0.0879764219684743,-0.759395928837808,0.386471142023885,0.115496589154565,0.231625,FALSE,"miR-378-3p","miR-188-3p","hsa-mir-378c","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660"
3213,"HOXB3","hsa-mir-885-5p","hsa-mir-122-5p",0.0075,TRUE,NA,NA,NA,"mirtarbase","tarbase",5.95652587149934e-07,-1.33667361611249,1.13658827484822e-05,-0.835916122378796,0.423663525449468,0.11323341626123,0.231625,FALSE,"miR-885-5p","miR-122-5p","hsa-mir-885","hsa-mir-122,hsa-mir-3591"
3423,"IDS","hsa-mir-193b-5p","hsa-mir-1271-5p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase",0.00357857135750181,-0.805615911288242,0.972693632381842,0.013796529540906,0.657210037743868,0.0564841092116962,0.231625,FALSE,"miR-193b-5p","miR-96-5p/1271-5p","hsa-mir-193b,hsa-mir-365a","hsa-mir-1271"
3480,"IGF1R","hsa-mir-148a-3p","hsa-mir-3065-3p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31205529'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31205529'>PubMedLink</a>","tarbase","tarbase",0.102174704612462,-0.21723235571998,0.0398653167009213,-0.467829271979431,0.13289055234135,0.211273992470311,0.218,FALSE,"miR-148-3p/152-3p","miR-3065-3p","hsa-mir-148a","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
4602,"MYB","hsa-mir-192-5p","hsa-mir-122-5p",0.007,TRUE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.157967403548531,-0.19618679903471,1.13658827484822e-05,-0.835916122378796,0.0131727449004933,0.417306430974994,0.231625,FALSE,"miR-192-5p/215-5p","miR-122-5p","hsa-mir-192,hsa-mir-194-2","hsa-mir-122,hsa-mir-3591"
4853,"NOTCH2","hsa-mir-326","hsa-mir-532-3p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29378174'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>","mirtarbase","tarbase",0.226618454967352,-0.425326946025293,0.90146660630748,-0.0291035532170092,0.764829044638542,0.0380574051368853,0.116785714285714,FALSE,"miR-326","miR-532-3p","hsa-mir-326","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b"
4853,"NOTCH2","hsa-mir-33a-3p","hsa-mir-326",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29378174'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545603'>PubMedLink</a>","tarbase","mirtarbase",0.0155143175439039,-0.893079622450275,0.226618454967352,-0.425326946025293,0.764829044638542,0.0380574051368853,0.222954545454545,FALSE,"miR-33a-3p","miR-326","hsa-mir-33a","hsa-mir-326"
4884,"NPTX1","hsa-mir-30d-3p","hsa-mir-224-3p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.87834096108452,0.0420344187526086,0.143432537068549,0.591547212258732,6.54168739686e-05,1.1224692249952,0.218,FALSE,"miR-30-3p","miR-522-3p","hsa-mir-30b,hsa-mir-30d","hsa-mir-224,hsa-mir-452"
5660,"PSAP","hsa-mir-3127-5p","hsa-mir-454-5p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",0.0768817655755204,0.698692182349513,0.0089850736927602,1.93980484464463,0.792652598817891,-0.029050011734512,0.237338709677419,FALSE,"miR-3127-5p","miR-454-5p","hsa-mir-3127","hsa-mir-454"
5980,"REV3L","hsa-mir-592","hsa-mir-194-5p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.319750237178059,0.318724458751386,0.207161060233289,-0.183965617404431,0.808396805448679,-0.0331556248327535,0.231625,FALSE,"miR-592","miR-194-5p","hsa-mir-592","hsa-mir-215,hsa-mir-194-1"
