"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
182,"JAG1","hsa-mir-199b-5p","hsa-mir-20a-3p",0.002,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.616616794575711,-0.0791039075684187,0.213069228452134,0.319209696656698,0.48295150422856,0.0722336918241492,0.0733410672853828,FALSE,"miR-199-5p","miR-20a-3p","hsa-mir-199b,hsa-mir-3154","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
302,"ANXA2","hsa-mir-1-3p","hsa-mir-92a-1-5p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12845669'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24626613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24668792'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30081903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30081903'>PubMedLink</a>","mirtarbase tarbase","tarbase",8.53727925906969e-05,-0.658507083023619,0.0109265921976787,0.777197916210268,0.445092150649969,0.0751286488006066,0.133073186528497,FALSE,"miR-1-3p/206","miR-92a-1-5p","hsa-mir-133a-1,hsa-mir-1-2","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
595,"CCND1","hsa-mir-142-5p","hsa-mir-3170",0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10419705'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10526265'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10568815'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10928132'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10944553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11295092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11570573'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12014632'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12202983'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12673692'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12739008'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14606066'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14966901'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14966901'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15297940'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15672286'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15971196'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16051426'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16053486'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16490596'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16732330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16827140'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17016592'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17308098'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17308274'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17309796'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17498553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17561354'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17912028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18665038'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18704459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19207549'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19302219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19857041'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20389301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21268129'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21537837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21785828'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21869822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22150974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22150974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22761904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22919244'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22996377'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23020291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23657608'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23661400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24206575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24206575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24391010'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24810640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25151357'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25160749'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25801820'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26561473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26833333'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27145270'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27721245'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27906434'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28123566'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28123574'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28325828'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28365443'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28578693'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28599478'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28602785'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28818096'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29107111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29673440'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30210237'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30484863'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30532557'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30779917'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30887517'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30899002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31444279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31720087'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7630641'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7747810'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7866635'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8415648'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8625145'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8781742'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9458316'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9815619'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9816282'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.183024279196479,0.249835459044566,0.950614276599816,-0.0262616568428794,0.57942770575157,0.0552861618869436,0.0824895615866388,FALSE,"miR-142-5p","miR-3170/6855-5p","hsa-mir-142,hsa-mir-4736","hsa-mir-3170"
659,"BMPR2","hsa-mir-92a-1-5p","hsa-mir-32-3p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.0109265921976787,0.777197916210268,0.439240945718331,0.315700833676381,0.975878290808439,-0.00318149787867205,0.122605782792666,FALSE,"miR-92a-1-5p","miR-32-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-32"
667,"DST","hsa-let-7f-5p","hsa-mir-221-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.448637560671287,-0.0869838972190063,0.0490858924173014,0.857387081135056,0.960446404577889,-0.00526418301344141,0.141116071428571,FALSE,"let-7-5p/98-5p","miR-221-5p/8073","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d","hsa-mir-221,hsa-mir-222"
678,"ZFP36L2","hsa-mir-125b-2-3p","hsa-mir-378a-3p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.584139996716103,-0.125949945919935,0.176123886184517,-0.181067617885932,0.826909520883101,-0.0211717196324046,0.141116071428571,FALSE,"miR-125b-2-3p","miR-378-3p","hsa-mir-125b-2","hsa-mir-378a"
678,"ZFP36L2","hsa-mir-125b-2-3p","hsa-mir-671-5p",0.0025,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.584139996716103,-0.125949945919935,0.17005467722345,0.371223641911052,0.826909520883101,-0.0211717196324046,0.0824895615866388,FALSE,"miR-125b-2-3p","miR-671-5p","hsa-mir-125b-2","hsa-mir-671"
774,"CACNA1B","hsa-mir-335-5p","hsa-mir-3150b-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.146104275413537,0.388963005577453,0.00185513472178015,1.53744137166486,0.673984101547104,0.0579901526757753,0.0824895615866388,FALSE,"miR-335-5p","miR-3150b-3p","hsa-mir-335","hsa-mir-3150b,hsa-mir-3150a"
894,"CCND2","hsa-mir-1271-5p","hsa-mir-2355-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.153432969428519,0.516641241584676,0.711525672980465,0.0698343229071695,0.717715171476196,-0.0380891413609441,0.14976867335563,FALSE,"miR-96-5p/1271-5p","miR-2355-5p","hsa-mir-1271","hsa-mir-2355"
894,"CCND2","hsa-mir-33a-3p","hsa-mir-7-1-3p",0.008,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.928037588668743,0.0305053885936759,0.965182642290544,0.00874904021302699,0.717715171476196,-0.0380891413609441,0.146004618937644,FALSE,"miR-33a-3p","miR-7-3p","hsa-mir-33a","hsa-mir-7-1"
