"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
360,"AQP3","hsa-mir-20a-3p","hsa-mir-196a-5p",0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25450461'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26794461'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30110699'>PubMedLink</a>","tarbase","tarbase",0.0976570481674786,-0.418445970665069,0.0175405999889321,-0.278613691934985,0.00472477874598452,-0.132735724118432,0.025378640776699,TRUE,"miR-20a-3p","miR-196-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-196a-1"
388,"RHOB","hsa-mir-23c","hsa-mir-30c-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.0843859613030757,-0.599833091822472,0.689710380560104,0.0413593060431594,0.718287903802605,-0.0177068612634755,0.025378640776699,TRUE,"miR-23-3p","miR-30-5p","hsa-mir-23c","hsa-mir-30c-2"
1000,"CDH2","hsa-mir-196a-5p","hsa-mir-582-5p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26040981'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27149165'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454316'>PubMedLink</a>","tarbase","tarbase",0.0175405999889321,-0.278613691934985,7.16112192490361e-06,0.73467379058701,0.411874189915296,0.0516564327574781,0.0478114667604643,TRUE,"miR-196-5p","miR-582-5p","hsa-mir-196a-1","hsa-mir-582"
1021,"CDK6","hsa-mir-320b","hsa-let-7c-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24647829'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25755767'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27507850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29464035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30380421'>PubMedLink</a>","tarbase","tarbase",0.0320871557264656,-0.508410940691625,0.487379338998123,-0.070238805081537,0.148695935665129,0.0790524829820619,0.0544938110749186,FALSE,"miR-320","let-7-5p/98-5p","hsa-mir-320b-1","hsa-mir-99a,hsa-let-7c"
1191,"CLU","hsa-mir-27a-5p","hsa-mir-20a-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24327270'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26716898'>PubMedLink</a>","tarbase","tarbase",1.36136921326934e-05,-0.980575248883739,0.52644039376038,0.0790035557734634,2.06195053344879e-05,-0.214813812479908,0.0522625791402866,FALSE,"miR-27a-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-24-2,hsa-mir-27a,hsa-mir-23a","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
1281,"COL3A1","hsa-mir-455-3p","hsa-mir-378a-3p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase",1.36219972318397e-07,-0.671232369724789,0.439431599149385,0.0930251970173741,3.71111249570678e-05,0.20523363277368,0.0610522433927474,FALSE,NA,"miR-378-3p","hsa-mir-455","hsa-mir-378a"
1373,"CPS1","hsa-mir-106a-5p","hsa-mir-582-5p",0.006,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.0292168360672743,-0.369485019756277,7.16112192490361e-06,0.73467379058701,0.0296526876104762,-0.135370130992789,0.045345861944344,TRUE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-582-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-582"
2020,"EN2","hsa-mir-203a-3p","hsa-mir-494-3p",0.0085,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28982387'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/30381030'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.190509641640438,-0.139902045805269,0.0150102243787244,-1.06143823219495,6.13275243366261e-08,0.367473030749822,0.0566992025518341,FALSE,NA,"miR-494-3p","hsa-mir-203a,hsa-mir-203b","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
2069,"EREG","hsa-mir-29b-3p","hsa-mir-20a-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30302873'>PubMedLink</a>","mirtarbase","mirtarbase",0.0382074916989863,0.222998536779986,0.52644039376038,0.0790035557734634,0.0749887410652609,-0.100238482874822,0.0522625791402866,FALSE,"miR-29-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-29a,hsa-mir-29b-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
2201,"FBN2","hsa-mir-19a-3p","hsa-mir-2355-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0.284727786973506,-0.200597541212287,0.109339135455735,0.248603082438776,1.83383377916234e-06,0.297551714194751,0,TRUE,"miR-19-3p","miR-2355-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-2355"
