"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
1272,"CNTN1","hsa-mir-33a-5p","hsa-mir-33b-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16510572'>PubMedLink</a>","tarbase","tarbase",0.588365208434337,-0.183189084633481,0.473137109166589,0.478041679106905,0.993848343949298,-0.00139252942666845,0.00999285714285714,TRUE,"miR-33-5p","miR-33-5p","hsa-mir-33a","hsa-mir-33b"
1291,"COL6A1","hsa-mir-7-5p","hsa-mir-129-2-3p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gPAAD/29408481'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31268154'>PubMedLink</a>","tarbase","tarbase",0.0441592006962438,0.907534284364248,0.380336498191205,0.447100063535973,0.934238110436501,-0.0129854329752334,0.0444911660777385,TRUE,"miR-7-5p","miR-129-3p","hsa-mir-7-1","hsa-mir-129-2"
1293,"COL6A3","hsa-mir-3200-3p","hsa-mir-7-5p",0.0015,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gPAAD/29408481'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/21719059'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24002763'>PubMedLink</a>","tarbase","tarbase",0.908533829285735,-0.0663113540139399,0.0441592006962438,0.907534284364248,0.976783815461854,-0.00467318599420699,0.0219738219895288,TRUE,"miR-3200-3p","miR-7-5p","hsa-mir-3200","hsa-mir-7-1"
1718,"DHCR24","hsa-mir-129-2-3p","hsa-mir-103a-2-5p",0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27661003'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28060884'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31289003'>PubMedLink</a>","tarbase","tarbase",0.380336498191205,0.447100063535973,0.0517712811101425,-0.953498226933712,0.919502006372056,-0.0163780600683825,0.0467892976588629,TRUE,"miR-129-3p","miR-103a-2-5p","hsa-mir-129-2","hsa-mir-103a-2,hsa-mir-103b-2"
1718,"DHCR24","hsa-mir-642a-5p","hsa-mir-7-5p",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gPAAD/29408481'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/27661003'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28060884'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31289003'>PubMedLink</a>","mirtarbase","tarbase",0.99664350381264,0.00168828208495427,0.0441592006962438,0.907534284364248,0.919502006372056,-0.0163780600683825,0.00999285714285714,TRUE,"miR-642a-5p","miR-7-5p","hsa-mir-642a,hsa-mir-642b","hsa-mir-7-1"
2131,"EXT1","hsa-mir-141-3p","hsa-mir-1224-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18000363'>PubMedLink</a>","tarbase","tarbase",0.165724545091476,0.335811875574651,0.0870161237646326,0.937036684857043,0.935166727784924,0.0140398657746481,0.00999285714285714,TRUE,"miR-141-3p/200a-3p","miR-1224-5p","hsa-mir-200c,hsa-mir-141","hsa-mir-1224"
2247,"FGF2","hsa-mir-203a-3p","hsa-mir-192-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11299793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11562741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12136423'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12377649'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12448000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12448000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12579092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16905765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17569023'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24503018'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27080571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29492715'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30035358'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8568589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9196438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9398995'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.0550834098950881,0.440724584031878,0.0515119998319784,0.405432610813945,0.860063198171681,-0.0327226196018488,0.0261495327102804,TRUE,NA,"miR-192-5p/215-5p","hsa-mir-203a,hsa-mir-203b","hsa-mir-192,hsa-mir-194-2"
3662,"IRF4","hsa-mir-19a-3p","hsa-mir-103a-2-5p",0.0085,TRUE,NA,NA,NA,"tarbase","tarbase",0.442829455873115,-0.239962697757447,0.0517712811101425,-0.953498226933712,0.504443681977201,-0.127525739131159,0.0644525745257453,FALSE,"miR-19-3p","miR-103a-2-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-103a-2,hsa-mir-103b-2"
3977,"LIFR","hsa-mir-19a-3p","hsa-mir-103a-2-5p",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27375070'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.442829455873115,-0.239962697757447,0.0517712811101425,-0.953498226933712,0.675273552423711,-0.0765155226437809,0.0344016393442623,TRUE,"miR-19-3p","miR-103a-2-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-103a-2,hsa-mir-103b-2"
4170,"MCL1","hsa-mir-96-5p","hsa-mir-139-5p",0.0095,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18297287'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19288493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19654003'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19782681'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20004446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21596068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21880146'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24019208'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24025188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24213797'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28692117'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29348852'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30890228'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31467029'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.773386012982795,0.10647438394075,0.431217541963223,-0.218194133801926,0.993651272659149,-0.00124637973405763,0.0688626943005181,FALSE,"miR-96-5p/1271-5p","miR-139-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-139"
