"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
894,"CCND2","hsa-mir-376c-3p","hsa-mir-541-5p",0,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.29148227442177,-0.353102690804795,0.398853936731358,0.588412469618987,0.81638929449799,-0.0431925000081037,0,TRUE,"miR-376c-3p","miR-541-5p","hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655","hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
1152,"CKB","hsa-mir-424-5p","hsa-mir-195-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.0952209190976666,-0.526844940831158,0.0478918772822502,-0.650927480781569,0.99551499267722,-0.001040891838032,0.113378252788104,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-195,hsa-mir-497"
1783,"DYNC1LI2","hsa-mir-708-5p","hsa-let-7c-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.183068490649196,-0.504360518459726,0.159992984273785,-0.340704282239637,0.790078042806429,0.0529949876780258,0.082802036199095,FALSE,"miR-28-5p/708-5p","let-7-5p/98-5p","hsa-mir-708","hsa-mir-99a,hsa-let-7c"
1843,"DUSP1","hsa-mir-200b-3p","hsa-mir-937-3p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24409315'>PubMedLink</a>","tarbase","tarbase",0.627039105914662,-0.378027211890285,0.699619213400702,0.323943235932106,0.599775254335706,-0.0921622685011931,0.0416365187713311,TRUE,"miR-200bc-3p/429","miR-937-3p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-937"
1870,"E2F2","hsa-mir-224-5p","hsa-mir-196a-5p",0.0095,TRUE,NA,NA,NA,"tarbase","tarbase",0.60905406181031,-0.219653549781102,0.0104869739043192,1.01898821451906,0.335022270828366,0.250083841706709,0.126661475409836,FALSE,"miR-224-5p","miR-196-5p","hsa-mir-224,hsa-mir-452","hsa-mir-196a-1"
1995,"ELAVL3","hsa-mir-511-5p","hsa-mir-1224-3p",0.007,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.00231977732351297,-1.35044992425606,0.124001720472076,1.15210137902404,0.0918779730492076,0.368233950300697,0.108233840304183,FALSE,"miR-511-5p","miR-1224-3p",NA,"hsa-mir-1224"
2651,"GCNT2","hsa-mir-32-3p","hsa-mir-181d-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0.0340399562878437,-1.42455433435913,0.168238927623065,0.533064507872944,0.733915000255102,0.0811875905661937,0,TRUE,"miR-32-3p","miR-181-5p","hsa-mir-32","hsa-mir-181c,hsa-mir-181d"
2932,"GSK3B","hsa-mir-199a-5p","hsa-mir-410-3p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","mirtarbase","mirtarbase",0.154944467214958,-0.383250958315601,0.176058073217224,0.393341495138207,0.94707580556922,-0.0131809333855346,0.0315232558139535,TRUE,"miR-199-5p","miR-410-3p","hsa-mir-199a-1","hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
2932,"GSK3B","hsa-mir-199a-5p","hsa-mir-411-3p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","mirtarbase","tarbase",0.154944467214958,-0.383250958315601,0.813967204405885,0.0971445903248991,0.94707580556922,-0.0131809333855346,0.0193642857142857,TRUE,"miR-199-5p","miR-411-3p","hsa-mir-199a-1","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
2932,"GSK3B","hsa-mir-411-3p","hsa-mir-195-5p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","tarbase","mirtarbase",0.813967204405885,0.0971445903248991,0.0478918772822502,-0.650927480781569,0.94707580556922,-0.0131809333855346,0.0769078014184397,FALSE,"miR-411-3p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543","hsa-mir-195,hsa-mir-497"
