"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
27,"ABL2","hsa-let-7c-5p","hsa-mir-27b-3p",0.003,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.736427411757629,0.0863245612183809,0.0107117832798717,TRUE,"let-7-5p/98-5p","miR-27-3p","hsa-mir-99a,hsa-let-7c","hsa-mir-23b,hsa-mir-27b,hsa-mir-3074,hsa-mir-24-1"
27,"ABL2","hsa-mir-27b-3p","hsa-mir-26a-5p",0.0065,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.736427411757629,0.0863245612183809,0.0198957335281102,TRUE,"miR-27-3p","miR-26-5p","hsa-mir-23b,hsa-mir-27b,hsa-mir-3074,hsa-mir-24-1","hsa-mir-26a-1"
27,"ABL2","hsa-mir-29b-2-5p","hsa-mir-139-5p",0.004,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSARC/29673587'>PubMedLink</a>",NA,"tarbase","mirtarbase tarbase",0.736427411757629,0.0863245612183809,0.0135030682114341,TRUE,"miR-29b-2-5p","miR-139-5p","hsa-mir-29c,hsa-mir-29b-2","hsa-mir-139"
92,"ACVR2A","hsa-mir-185-5p","hsa-mir-195-5p",0.0055,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSARC/25775010'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSARC/28032380'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25024164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31273315'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.882279537066363,-0.0377122903501757,0.017394630529844,TRUE,"miR-185-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-185","hsa-mir-195,hsa-mir-497"
92,"ACVR2A","hsa-mir-195-5p","hsa-mir-590-3p",0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSARC/25775010'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSARC/28032380'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gSARC/30257395'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25024164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31273315'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.882279537066363,-0.0377122903501757,0,TRUE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-590-3p","hsa-mir-195,hsa-mir-497","hsa-mir-590"
92,"ACVR2A","hsa-mir-19b-1-5p","hsa-mir-195-5p",0.0045,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSARC/25775010'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSARC/28032380'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25024164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31273315'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.882279537066363,-0.0377122903501757,0.014824612716763,TRUE,"miR-19-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-195,hsa-mir-497"
92,"ACVR2A","hsa-mir-497-5p","hsa-mir-590-3p",0.003,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSARC/30257395'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25024164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31273315'>PubMedLink</a>","mirtarbase","tarbase",0.882279537066363,-0.0377122903501757,0.0107117832798717,TRUE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-590-3p","hsa-mir-195,hsa-mir-497","hsa-mir-590"
93,"ACVR2B","hsa-let-7a-3p","hsa-mir-625-3p",0.0035,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.990346422106494,-0.00333519161091519,0.0121405078391275,TRUE,"let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p","miR-625-3p","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d","hsa-mir-625"
93,"ACVR2B","hsa-mir-129-5p","hsa-mir-625-3p",0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSARC/28535514'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSARC/29328417'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.990346422106494,-0.00333519161091519,0,TRUE,"miR-129-5p","miR-625-3p","hsa-mir-129-1","hsa-mir-625"
93,"ACVR2B","hsa-mir-942-5p","hsa-let-7f-1-3p",0.0035,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.990346422106494,-0.00333519161091519,0.0121405078391275,TRUE,"miR-942-5p","let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p","hsa-mir-942","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
119,"ADD2","hsa-mir-940","hsa-mir-185-5p",0.007,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.531771259397467,0.196006766670095,0.021096241301267,TRUE,"miR-940/6808-5p/6893-5p","miR-185-5p","hsa-mir-3677,hsa-mir-940,hsa-mir-4717","hsa-mir-185"
120,"ADD3","hsa-mir-181d-5p","hsa-mir-181c-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",0.802924119029094,-0.0594796463221174,0.0135030682114341,TRUE,"miR-181-5p","miR-181-5p","hsa-mir-181c,hsa-mir-181d","hsa-mir-181c,hsa-mir-181d"
