"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
59,"ACTA2","hsa-mir-376c-3p","hsa-mir-377-3p",0.006,FALSE,NA,"tarbase","tarbase",0.0171330541237113,TRUE,"miR-376c-3p","miR-377-3p","hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
93,"ACVR2B","hsa-mir-200b-3p","hsa-mir-582-5p",5e-04,FALSE,NA,"tarbase","tarbase",0.00205864591801184,TRUE,"miR-200bc-3p/429","miR-582-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-582"
93,"ACVR2B","hsa-mir-582-5p","hsa-mir-196b-5p",0.0015,FALSE,NA,"tarbase","mirtarbase tarbase",0.005383963824115,TRUE,"miR-582-5p","miR-196-5p","hsa-mir-582","hsa-mir-196b"
202,"CRYBG1","hsa-mir-335-5p","hsa-mir-345-5p",0.001,FALSE,NA,"tarbase","tarbase",0.0037967444849004,TRUE,"miR-335-5p","miR-345-5p","hsa-mir-335","hsa-mir-345"
202,"CRYBG1","hsa-mir-503-5p","hsa-mir-345-5p",0,FALSE,NA,"tarbase","tarbase",0,TRUE,"miR-503-5p","miR-345-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-345"
595,"CCND1","hsa-mir-141-5p","hsa-mir-486-3p",0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/20395447'>PubMedLink</a>","tarbase","tarbase",0,TRUE,"miR-141-5p","miR-486-3p","hsa-mir-200c,hsa-mir-141",NA
672,"BRCA1","hsa-mir-181d-5p","hsa-mir-20b-5p",0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29433971'>PubMedLink</a>","tarbase","mirtarbase tarbase",0,TRUE,"miR-181-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-181c,hsa-mir-181d","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
687,"KLF9","hsa-mir-124-3p","hsa-mir-518e-3p",0.001,TRUE,NA,"mirtarbase tarbase","tarbase",0.0037967444849004,TRUE,NA,"miR-518e-3p","hsa-mir-124-1","hsa-mir-520d,hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e,hsa-mir-518a-1,hsa-mir-518d,hsa-mir-516b-1,hsa-mir-518a-2"
718,"C3","hsa-mir-127-5p","hsa-mir-485-5p",5e-04,FALSE,NA,"mirtarbase","mirtarbase",0.00205864591801184,TRUE,"miR-127-5p","miR-485-5p","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409"
718,"C3","hsa-mir-377-5p","hsa-mir-127-5p",0.001,FALSE,NA,"mirtarbase","mirtarbase",0.0037967444849004,TRUE,"miR-377-5p/6086","miR-127-5p","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
861,"RUNX1","hsa-mir-34b-5p","hsa-mir-642a-5p",0.0045,TRUE,NA,"tarbase","mirtarbase",0.0135297659430122,TRUE,"miR-34b-5p/449c-5p","miR-642a-5p","hsa-mir-34b,hsa-mir-34c","hsa-mir-642a,hsa-mir-642b"
861,"RUNX1","hsa-mir-642a-5p","hsa-mir-106a-5p",0.001,TRUE,NA,"mirtarbase","mirtarbase tarbase",0.0037967444849004,TRUE,"miR-642a-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-642a,hsa-mir-642b","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
867,"CBL","hsa-mir-7-5p","hsa-mir-224-5p",5e-04,FALSE,NA,"tarbase","tarbase",0.00205864591801184,TRUE,"miR-7-5p","miR-224-5p","hsa-mir-7-1","hsa-mir-224,hsa-mir-452"
894,"CCND2","hsa-mir-204-5p","hsa-mir-497-5p",0.0025,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/14670177'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.00830200755565268,TRUE,"miR-204-5p/211-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-204","hsa-mir-195,hsa-mir-497"
901,"CCNG2","hsa-mir-183-3p","hsa-mir-1305",0.003,FALSE,NA,"tarbase","tarbase",0.00965844356327753,TRUE,"miR-183-3p","miR-1305","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-1305"
908,"CCT6A","hsa-mir-130b-3p","hsa-mir-766-3p",0,FALSE,NA,"mirtarbase tarbase","tarbase",0,TRUE,"miR-130-3p/301-3p/454-3p","miR-766-3p","hsa-mir-301b,hsa-mir-130b","hsa-mir-766"
920,"CD4","hsa-mir-204-5p","hsa-mir-485-5p",0.009,FALSE,NA,"tarbase","mirtarbase",0.023827799074028,TRUE,"miR-204-5p/211-5p","miR-485-5p","hsa-mir-204","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409"
1021,"CDK6","hsa-mir-506-3p","hsa-mir-211-5p",0.0085,FALSE,NA,"mirtarbase","mirtarbase",0.022739498968761,TRUE,"miR-124-3p.2/506-3p","miR-204-5p/211-5p","hsa-mir-513a-2,hsa-mir-506,hsa-mir-507,hsa-mir-508","hsa-mir-211"
1303,"COL12A1","hsa-mir-299-3p","hsa-mir-376a-3p",0,FALSE,NA,"tarbase","tarbase",0,TRUE,"miR-299-3p","miR-376-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
