"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
60,"ACTB","hsa-mir-195-5p","hsa-mir-1295a",0.0025,FALSE,NA,"tarbase","mirtarbase",0.802263159596797,-0.103260719790816,0.796867016730854,0.214508426017197,0.976329779132499,0.00602936325597143,0.0113655350159971,TRUE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-1295a","hsa-mir-195,hsa-mir-497","hsa-mir-1295a,hsa-mir-1295b"
136,"ADORA2B","hsa-mir-15a-5p","hsa-mir-128-3p",0.005,FALSE,NA,"tarbase","mirtarbase",0.949587925630629,-0.0212972249625429,0.590984413893149,-0.167027751373332,0.971930785209883,0.00950712481968071,0.0197361009298198,TRUE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-128-3p","hsa-mir-16-1,hsa-mir-15a","hsa-mir-128-1"
214,"ALCAM","hsa-mir-215-5p","hsa-mir-483-5p",0.009,FALSE,NA,"mirtarbase tarbase","mirtarbase",0.364975859301288,-0.509920411537469,0.0369778825691889,-1.46991315502269,0.674559832505655,0.104116770929975,0.0312231943031536,TRUE,"miR-192-5p/215-5p","miR-483-5p","hsa-mir-215,hsa-mir-194-1","hsa-mir-483"
317,"APAF1","hsa-mir-2114-5p","hsa-mir-548j-5p",0.008,FALSE,NA,"mirtarbase","tarbase",0.39430172674841,1.16404972415979,0.974281004418408,-0.0330812526828155,0.756205796510253,-0.0803856081706992,0.0284613833153667,TRUE,"miR-2114-5p","miR-548ay-5p/548au-5p/548as-5p/548ar-5p/548aq-5p/548ap-5p/548am-5p/548ae-5p/548ad-5p/548a-5p/548ak/548ab/548bb-5p/548b-5p/548c-5p/548d-5p/548h-5p/548i/548j-5p/548o-5p/548w/548y/559","hsa-mir-2114","hsa-mir-548j"
432,"ASGR1","hsa-mir-15b-5p","hsa-mir-454-5p",0.001,FALSE,NA,"tarbase","mirtarbase",0.826141128703994,0.0749870131926227,0.935550597724275,0.0679742030387355,0.981710156421165,0.00652405136586399,0.00537247282465998,TRUE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-454-5p","hsa-mir-15b,hsa-mir-16-2","hsa-mir-454"
483,"ATP1B3","hsa-mir-520a-3p","hsa-mir-519d-3p",0,FALSE,NA,"mirtarbase","mirtarbase",0.0883581724058531,2.06854596236424,0.134909240297518,2.30279849563169,0.995023437672766,-0.00145048890447232,0,TRUE,"miR-302-3p/372-3p/373-3p/520-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f","hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g"
518,"ATP5MC3","hsa-mir-92b-3p","hsa-mir-653-5p",0.0065,FALSE,NA,"mirtarbase","mirtarbase",0.851739641894512,0.0782775852530279,0.847406964972247,0.0938692878198689,0.852176122103801,0.0434036335540644,0.0242259380692167,TRUE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-653-5p","hsa-mir-92b","hsa-mir-653,hsa-mir-489"
552,"AVPR1A","hsa-mir-200c-3p","hsa-mir-508-5p",5e-04,FALSE,NA,"mirtarbase","mirtarbase",0.801202141920273,0.0756943434847678,0.754564835221624,0.315768330442784,0.605005876217691,-0.138928911580001,0.0029751075956729,TRUE,"miR-200bc-3p/429","miR-508-5p","hsa-mir-200c,hsa-mir-141","hsa-mir-506,hsa-mir-507,hsa-mir-508"
552,"AVPR1A","hsa-mir-429","hsa-mir-508-5p",0.004,FALSE,NA,"mirtarbase","mirtarbase",0.583066277550532,0.222134726782929,0.754564835221624,0.315768330442784,0.605005876217691,-0.138928911580001,0.0165634030841462,TRUE,"miR-200bc-3p/429","miR-508-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-506,hsa-mir-507,hsa-mir-508"
586,"BCAT1","hsa-mir-125a-5p","hsa-mir-34c-3p",0.0085,FALSE,NA,"tarbase","tarbase",0.746124833643418,-0.102278646080494,0.418759257384704,0.386705989055551,0.975018171306949,-0.00812374574271868,0.0298417350125253,TRUE,"miR-125-5p","miR-34c-3p","hsa-mir-99b,hsa-let-7e,hsa-mir-125a","hsa-mir-34b,hsa-mir-34c"
