"","entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
"1",70,"ACTC1","hsa-mir-142-5p","hsa-mir-7-1-3p",0.0045,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.0410716890094804,0.268014594681548,0.0598598476142965,0.252132543368633,5.97772466890808e-05,-0.35333610440087,0.110259493670886,FALSE,"miR-142-5p","miR-7-3p","hsa-mir-142,hsa-mir-4736","hsa-mir-7-1"
"2",70,"ACTC1","hsa-mir-7-5p","hsa-mir-29b-1-5p",0.0085,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",1.63538843865527e-11,2.00692321993127,0.230182991426197,-0.215244813645327,5.97772466890808e-05,-0.35333610440087,0.145032810969638,FALSE,"miR-7-5p","miR-29b-1-5p","hsa-mir-7-1","hsa-mir-29a,hsa-mir-29b-1"
"3",107,"ADCY1","hsa-mir-212-3p","hsa-mir-29a-5p",0.009,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUCEC/34468255'>PubMedLink</a>",NA,"mirtarbase","tarbase",0.427020290107895,-0.136280192826799,0.0147163147237214,-0.376149195497158,0.358868853564793,-0.0619113201573466,0.148615165876777,FALSE,"miR-132-3p/212-3p","miR-29a-5p","hsa-mir-132,hsa-mir-212","hsa-mir-29a,hsa-mir-29b-1"
"4",133,"ADM","hsa-mir-181d-5p","hsa-mir-221-5p",0.005,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11420706'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11973640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22178239'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23969937'>PubMedLink</a>","tarbase","tarbase",0.96379122414251,-0.00582062240093506,0.0662571736982208,-0.361778682394394,0.00398518519606916,0.174854253026973,0.115066050198151,FALSE,"miR-181-5p","miR-221-5p/8073","hsa-mir-181c,hsa-mir-181d","hsa-mir-221,hsa-mir-222"
"5",547,"KIF1A","hsa-mir-22-5p","hsa-mir-210-3p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.110928183674518,0.225549053644045,2.41490391970179e-05,0.418589814341198,3.4546172444555e-12,0.484939081822358,0.133567360350493,FALSE,"miR-22-5p","miR-210-3p","hsa-mir-22","hsa-mir-210"
"6",547,"KIF1A","hsa-mir-22-5p","hsa-mir-326",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.110928183674518,0.225549053644045,0.356019930722108,0.168282437015916,3.4546172444555e-12,0.484939081822358,0.145032810969638,FALSE,"miR-22-5p","miR-326","hsa-mir-22","hsa-mir-326"
"7",558,"AXL","hsa-mir-7-5p","hsa-mir-34a-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27764792'>PubMedLink</a>","tarbase","mirtarbase tarbase",1.63538843865527e-11,2.00692321993127,0.209591926562605,-0.130780897994726,0.00508773858378868,-0.165187738825449,0.138408368644068,FALSE,"miR-7-5p","miR-34-5p/449-5p","hsa-mir-7-1","hsa-mir-34a"
"8",586,"BCAT1","hsa-mir-194-5p","hsa-mir-653-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase",0.549202173674326,-0.0606924493088374,1.39983250117464e-06,0.916307262442217,0.271566678513555,0.0666248621478018,0.0744487179487179,FALSE,"miR-194-5p","miR-653-5p","hsa-mir-215,hsa-mir-194-1","hsa-mir-653,hsa-mir-489"
"9",596,"BCL2","hsa-mir-155-5p","hsa-mir-17-3p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10392638'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10705244'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10831353'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11198267'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11330947'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11330947'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11420706'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11603220'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12193924'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12217750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12237915'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12469199'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12866376'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14559989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15361203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15721399'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16012738'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17590421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17590421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19160418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20647402'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21618512'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21627862'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22343305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23637776'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28123521'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28222424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28222438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29653556'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30168854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30537101'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30971627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8635035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8729980'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8729985'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8920794'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9292705'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9306964'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9427771'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9781657'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9987671'>PubMedLink</a>","tarbase","tarbase",0.253820855811093,0.119184525998842,0.178426953569894,-0.130387990187662,0.00202580768309942,-0.18700778933221,0.124140142517815,FALSE,"miR-155-5p","miR-17-3p","hsa-mir-155","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"10",667,"DST","hsa-mir-182-5p","hsa-mir-221-3p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",0.00045008628495182,0.282408355276058,3.3570645996829e-05,-0.413910396466696,0.00703239694184515,-0.165210029532324,0.104161434977578,FALSE,"miR-182-5p","miR-221-3p/222-3p","hsa-mir-182,hsa-mir-96,hsa-mir-183","hsa-mir-221,hsa-mir-222"
"11",667,"DST","hsa-mir-192-5p","hsa-mir-23b-5p",0.005,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.974794279543224,0.00295627386572401,0.00952610003845367,-0.59316603646754,0.00703239694184515,-0.165210029532324,0.115066050198151,FALSE,"miR-192-5p/215-5p","miR-23-5p","hsa-mir-192,hsa-mir-194-2","hsa-mir-23b,hsa-mir-27b,hsa-mir-3074,hsa-mir-24-1"
"12",894,"CCND2","hsa-mir-1226-3p","hsa-mir-491-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",9.82861232980003e-08,1.52655471209211,0.0903253163091159,0.34873444707122,0.00011363646844952,-0.225968403039584,0.0826423149905123,FALSE,"miR-1226-3p","miR-491-5p","hsa-mir-1226","hsa-mir-491"
"13",894,"CCND2","hsa-mir-135b-5p","hsa-mir-7-1-3p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase",1.33908243662928e-09,0.82222244597762,0.0598598476142965,0.252132543368633,0.00011363646844952,-0.225968403039584,0.0915288966725044,FALSE,"miR-135-5p","miR-7-3p","hsa-mir-135b","hsa-mir-7-1"
"14",894,"CCND2","hsa-mir-149-5p","hsa-mir-491-5p",0.001,FALSE,NA,NA,NA,"tarbase","tarbase",0.80851522692851,0.0291269059510407,0.0903253163091159,0.34873444707122,0.00011363646844952,-0.225968403039584,0.0496324786324786,TRUE,"miR-149-5p","miR-491-5p","hsa-mir-149","hsa-mir-491"
"15",894,"CCND2","hsa-mir-34b-5p","hsa-mir-192-3p",0.001,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.0658864400363834,-0.457623880338718,0.00128010224438463,0.752026099675921,0.00011363646844952,-0.225968403039584,0.0496324786324786,TRUE,"miR-34b-5p/449c-5p","miR-192-3p","hsa-mir-34b,hsa-mir-34c","hsa-mir-192,hsa-mir-194-2"
"16",894,"CCND2","hsa-mir-577","hsa-mir-149-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",1.00043089015289e-06,0.859864475456867,0.80851522692851,0.0291269059510407,0.00011363646844952,-0.225968403039584,0.0311089285714286,TRUE,"miR-577","miR-149-5p","hsa-mir-577","hsa-mir-149"
"17",894,"CCND2","hsa-mir-940","hsa-mir-491-5p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase",2.61286390728431e-11,1.49640350943536,0.0903253163091159,0.34873444707122,0.00011363646844952,-0.225968403039584,0.0915288966725044,FALSE,"miR-940/6808-5p/6893-5p","miR-491-5p","hsa-mir-3677,hsa-mir-940,hsa-mir-4717","hsa-mir-491"
"18",894,"CCND2","hsa-mir-942-5p","hsa-mir-18a-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",3.36807545552291e-06,0.883529167469817,1.28207404723354e-08,0.935098772931371,0.00011363646844952,-0.225968403039584,0.104161434977578,FALSE,"miR-942-5p","miR-18-5p","hsa-mir-942","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"19",1021,"CDK6","hsa-mir-203a-3p","hsa-mir-378c",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18497076'>PubMedLink</a>","mirtarbase","tarbase",0.272559648343949,0.092878576693725,0.00053456574135841,-0.536115941782328,0.177279960331598,-0.0858971937920892,0.0496324786324786,TRUE,NA,"miR-378-3p","hsa-mir-203a,hsa-mir-203b","hsa-mir-378c"
"20",1021,"CDK6","hsa-mir-491-5p","hsa-mir-320b",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18497076'>PubMedLink</a>","mirtarbase","tarbase",0.0903253163091159,0.34873444707122,0.465122383063445,0.11137156802332,0.177279960331598,-0.0858971937920892,0.148615165876777,FALSE,"miR-491-5p","miR-320","hsa-mir-491","hsa-mir-320b-1"
"21",1021,"CDK6","hsa-mir-628-5p","hsa-mir-624-5p",0.0055,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18497076'>PubMedLink</a>","tarbase","mirtarbase",0.175501253411092,0.196255536342799,0.0537224339319983,0.482751740781216,0.177279960331598,-0.0858971937920892,0.119025465838509,FALSE,"miR-628-5p","miR-624-5p","hsa-mir-628","hsa-mir-624"
"22",1191,"CLU","hsa-mir-17-3p","hsa-mir-20a-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18514801'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18514801'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18514801'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22211095'>PubMedLink</a>","tarbase","tarbase",0.178426953569894,-0.130387990187662,0.69187386477649,-0.0396625294436684,0.0337486377623952,-0.112636591457323,0.0311089285714286,TRUE,"miR-17-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
