"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
36,"ACADSB","hsa-mir-200a-3p","hsa-mir-141-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0,TRUE,"miR-141-3p/200a-3p","miR-141-3p/200a-3p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-200c,hsa-mir-141"
70,"ACTC1","hsa-mir-92b-3p","hsa-mir-7-5p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.096160621761658,FALSE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-7-5p","hsa-mir-92b","hsa-mir-7-1"
103,"ADAR","hsa-mir-335-3p","hsa-mir-424-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.211746979865772,FALSE,"miR-335-3p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-335","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
112,"ADCY6","hsa-mir-532-3p","hsa-mir-182-5p",0.0095,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.219564757160648,FALSE,"miR-532-3p","miR-182-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b","hsa-mir-182,hsa-mir-96,hsa-mir-183"
142,"PARP1","hsa-let-7c-5p","hsa-mir-199b-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27470351'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28886696'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29436682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30447298'>PubMedLink</a>","tarbase","tarbase",0.208821378340366,FALSE,"let-7-5p/98-5p","miR-199-5p","hsa-mir-99a,hsa-let-7c","hsa-mir-199b,hsa-mir-3154"
142,"PARP1","hsa-mir-502-5p","hsa-mir-98-5p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27470351'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28886696'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29436682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30447298'>PubMedLink</a>","tarbase","tarbase",0.211746979865772,FALSE,"miR-502-5p","let-7-5p/98-5p","hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502","hsa-mir-98,hsa-let-7f-2"
302,"ANXA2","hsa-mir-424-5p","hsa-mir-133a-3p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/21715543'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27784647'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31842290'>PubMedLink</a>","tarbase","mirtarbase",0.211746979865772,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p",NA,"hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-133a-1,hsa-mir-1-2"
311,"ANXA11","hsa-mir-760","hsa-mir-335-5p",0.0095,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.219564757160648,FALSE,"miR-760","miR-335-5p","hsa-mir-760","hsa-mir-335"
334,"APLP2","hsa-mir-660-5p","hsa-mir-34b-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase",0.124976430976431,FALSE,"miR-660-5p","miR-34b-5p/449c-5p","hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502","hsa-mir-34b,hsa-mir-34c"
356,"FASLG","hsa-mir-329-3p","hsa-mir-362-3p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10817504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25472583'>PubMedLink</a>","mirtarbase","mirtarbase",0.211746979865772,FALSE,"miR-329-3p/362-3p","miR-329-3p/362-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
