"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
444,"ASPH","hsa-let-7c-5p","hsa-mir-96-5p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase",0.344351749539595,FALSE,"let-7-5p/98-5p","miR-96-5p/1271-5p","hsa-mir-99a,hsa-let-7c","hsa-mir-182,hsa-mir-96,hsa-mir-183"
472,"ATM","hsa-mir-320c","hsa-mir-1-3p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31377937'>PubMedLink</a>","tarbase","tarbase",0.223329949238579,FALSE,"miR-320","miR-1-3p/206","hsa-mir-320c-1","hsa-mir-133a-1,hsa-mir-1-2"
774,"CACNA1B","hsa-mir-335-5p","hsa-mir-3150b-3p",0.0015,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.192964912280702,FALSE,"miR-335-5p","miR-3150b-3p","hsa-mir-335","hsa-mir-3150b,hsa-mir-3150a"
814,"CAMK4","hsa-mir-2116-3p","hsa-mir-629-3p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.174587301587302,FALSE,"miR-2116-3p","miR-629-3p","hsa-mir-2116","hsa-mir-629"
836,"CASP3","hsa-mir-30a-3p","hsa-mir-129-5p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase",0.327201372997712,FALSE,"miR-30-3p","miR-129-5p","hsa-mir-30a","hsa-mir-129-1"
864,"RUNX3","hsa-mir-106a-5p","hsa-mir-495-3p",0.004,TRUE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.281124600638978,FALSE,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","miR-495-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a","hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1"
894,"CCND2","hsa-mir-32-5p","hsa-mir-424-5p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.118268817204301,FALSE,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-32","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
1021,"CDK6","hsa-let-7b-5p","hsa-mir-145-5p",0.0035,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.268268292682927,FALSE,"let-7-5p/98-5p","miR-145-5p","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b","hsa-mir-143,hsa-mir-145"
1021,"CDK6","hsa-mir-129-2-3p","hsa-let-7b-5p",0.0085,FALSE,NA,NA,NA,"mirtarbase","mirtarbase tarbase",0.344351749539595,FALSE,"miR-129-3p","let-7-5p/98-5p","hsa-mir-129-2","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b"
1021,"CDK6","hsa-mir-145-5p","hsa-mir-582-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.349466555183946,FALSE,"miR-145-5p","miR-582-5p","hsa-mir-143,hsa-mir-145","hsa-mir-582"
1021,"CDK6","hsa-mir-582-3p","hsa-mir-143-3p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.30051912568306,FALSE,"miR-582-3p","miR-143-3p","hsa-mir-582","hsa-mir-143,hsa-mir-145"
1021,"CDK6","hsa-mir-582-5p","hsa-mir-143-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.290296187683284,FALSE,"miR-582-5p","miR-143-3p","hsa-mir-582","hsa-mir-143,hsa-mir-145"
1026,"CDKN1A","hsa-mir-101-3p","hsa-mir-106a-5p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30186385'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.290296187683284,FALSE,NA,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-3671,hsa-mir-101-1","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
1026,"CDKN1A","hsa-mir-101-3p","hsa-mir-424-5p",0.0055,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30186385'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.306301265822785,FALSE,NA,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-3671,hsa-mir-101-1","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
1026,"CDKN1A","hsa-mir-424-5p","hsa-mir-106a-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.118268817204301,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
1026,"CDKN1A","hsa-mir-548e-3p","hsa-mir-1304-5p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","mirtarbase","mirtarbase",0.329734475374732,FALSE,"miR-548az-3p/548ar-3p/548a-3p/548e-3p/548f-3p","miR-1304-5p","hsa-mir-548e","hsa-mir-1304"
1063,"CENPF","hsa-mir-194-5p","hsa-mir-125b-5p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.329734475374732,FALSE,"miR-194-5p","miR-125-5p","hsa-mir-215,hsa-mir-194-1","hsa-mir-125b-1"
1191,"CLU","hsa-mir-424-5p","hsa-mir-20a-5p",0.005,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.30051912568306,FALSE,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
1316,"KLF6","hsa-mir-10b-3p","hsa-mir-511-5p",0.0045,TRUE,NA,NA,NA,"tarbase","mirtarbase",0.290296187683284,FALSE,"miR-10b-3p","miR-511-5p","hsa-mir-10b",NA
