"","mirna","clusterString"
"1","hsa-let-7a-2-3p","hsa-let-7a-2,hsa-mir-100"
"2","hsa-let-7a-3p","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
"3","hsa-let-7b-3p","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b"
"4","hsa-let-7b-5p","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b"
"5","hsa-let-7c-5p","hsa-mir-99a,hsa-let-7c"
"6","hsa-let-7d-5p","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
"7","hsa-let-7e-5p","hsa-mir-99b,hsa-let-7e,hsa-mir-125a"
"8","hsa-let-7f-1-3p","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
"9","hsa-let-7f-2-3p","hsa-mir-98,hsa-let-7f-2"
"10","hsa-let-7f-5p","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
"11","hsa-let-7g-3p","hsa-let-7g"
"12","hsa-let-7i-3p","hsa-let-7i"
"13","hsa-mir-1-3p","hsa-mir-133a-1,hsa-mir-1-2"
"14","hsa-mir-100-3p","hsa-let-7a-2,hsa-mir-100"
"15","hsa-mir-100-5p","hsa-let-7a-2,hsa-mir-100"
"16","hsa-mir-101-3p","hsa-mir-3671,hsa-mir-101-1"
"17","hsa-mir-101-5p","hsa-mir-3671,hsa-mir-101-1"
"18","hsa-mir-103a-2-5p","hsa-mir-103a-2,hsa-mir-103b-2"
"19","hsa-mir-105-5p","hsa-mir-105-1,hsa-mir-767,hsa-mir-105-2"
"20","hsa-mir-106a-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"21","hsa-mir-106b-5p","hsa-mir-25,hsa-mir-93,hsa-mir-106b"
"22","hsa-mir-107","hsa-mir-107"
"23","hsa-mir-10a-3p","hsa-mir-10a"
"24","hsa-mir-10a-5p","hsa-mir-10a"
"25","hsa-mir-10b-3p","hsa-mir-10b"
"26","hsa-mir-10b-5p","hsa-mir-10b"
"27","hsa-mir-1179","hsa-mir-1179,hsa-mir-7-2,hsa-mir-3529"
"28","hsa-mir-1180-3p","hsa-mir-1180"
