info,is_mrna_tf,name,selected,shared.name,updown,significance
mrna,false,ZC3H12B,false,ZC3H12B,Down,
mrna,false,PPP1R37,false,PPP1R37,Up,
mrna,false,TMPRSS12,false,TMPRSS12,Up,
mrna,false,ASPM,false,ASPM,Up,
mrna,false,WDR72,false,WDR72,Up,
mrna,false,NPNT,false,NPNT,Down,
mrna,true,FOXK1,false,FOXK1,Down,
mrna,false,UNC5B,false,UNC5B,Up,
mrna,false,ANO5,false,ANO5,Down,
mrna,false,ADAMTS17,false,ADAMTS17,Down,
mrna,false,AMOT,false,AMOT,Down,
mrna,false,CNKSR3,false,CNKSR3,Down,
mrna,false,BTLA,false,BTLA,Down,
mrna,false,SLC2A14,false,SLC2A14,Down,
mrna,false,SESN3,false,SESN3,Down,
mrna,false,PTCHD1,false,PTCHD1,Down,
mrna,false,DIPK1B,false,DIPK1B,Down,
mrna,false,CPEB2,false,CPEB2,Down,
mrna,false,FAM241A,false,FAM241A,Down,
mrna,false,ANKRD13B,false,ANKRD13B,Up,
mrna,false,FRMD6,false,FRMD6,Down,
mrna,false,FAT3,false,FAT3,Down,
mrna,false,CPXM2,false,CPXM2,Down,
mrna,false,LENG8,false,LENG8,Up,
mrna,false,MEX3A,false,MEX3A,Up,
mrna,false,DSEL,false,DSEL,Down,
mrna,false,MYADM,false,MYADM,Down,
mrna,false,SLFN11,false,SLFN11,Down,
mrna,false,PHLDB2,false,PHLDB2,Down,
mrna,true,LCOR,false,LCOR,Up,
mrna,false,B3GNT5,false,B3GNT5,Down,
mrna,false,RAB34,false,RAB34,Down,
mrna,false,CRISPLD1,false,CRISPLD1,Down,
mrna,false,NETO2,false,NETO2,Up,
mrna,false,SLCO5A1,false,SLCO5A1,Down,
mrna,false,GPR157,false,GPR157,Up,
mrna,true,CSRNP3,false,CSRNP3,Down,
mrna,false,SCD5,false,SCD5,Down,
mrna,false,STEAP4,false,STEAP4,Down,
mrna,false,PANK3,false,PANK3,Down,
mrna,false,PRRG4,false,PRRG4,Up,
mrna,false,AHNAK,false,AHNAK,Down,
mrna,false,RRAGD,false,RRAGD,Down,
mrna,false,PCDH10,false,PCDH10,Down,
mrna,false,ARRDC3,false,ARRDC3,Down,
mrna,false,PLEKHH1,false,PLEKHH1,Up,
mrna,false,CCDC88A,false,CCDC88A,Down,
mrna,false,SYBU,false,SYBU,Down,
mrna,false,TENT5C,false,TENT5C,Down,
