"info","is_mrna_tf","name","selected","shared.name","significance","updown"
"mirna",,"mir-221-5p","false","mir-221-5p","0.047880913","up"
"dummy",,"","false","mir-221-5p/mir-144-3p",,""
"mirna",,"let-7c-5p","false","let-7c-5p","-0.221934711","down"
"dummy",,"","false","let-7c-5p/mir-483-3p",,""
"mirna",,"mir-326","false","mir-326","-0.489198408","down"
"dummy",,"","false","mir-326/mir-193b-5p",,""
"mirna",,"mir-939-5p","false","mir-939-5p","0.648082424","up"
"dummy",,"","false","mir-939-5p/mir-106a-5p",,""
"mirna",,"mir-20b-5p","false","mir-20b-5p","0.265811877","up"
"dummy",,"","false","mir-20b-5p/mir-20a-5p",,""
"mirna",,"mir-30c-2-3p","false","mir-30c-2-3p","-0.166517982","down"
"dummy",,"","false","mir-30c-2-3p/mir-7-5p",,""
"mirna",,"mir-136-5p","false","mir-136-5p","0.0322236","up"
"dummy",,"","false","mir-136-5p/mir-127-5p",,""
"mirna",,"mir-130a-5p","false","mir-130a-5p","-0.320621493","down"
"dummy",,"","false","mir-130a-5p/mir-148a-5p",,""
"mirna",,"mir-19b-3p","false","mir-19b-3p","0.039510882","up"
"dummy",,"","false","mir-19b-3p/mir-223-5p",,""
"mirna",,"mir-320b","false","mir-320b","0.182790589","up"
"dummy",,"","false","mir-320b/mir-144-3p",,""
"mirna",,"mir-3615","false","mir-3615","0.630877461","up"
"dummy",,"","false","mir-3615/mir-335-5p",,""
"mirna",,"mir-940","false","mir-940","0.961148546","up"
"dummy",,"","false","mir-940/mir-19b-3p",,""
"mirna",,"mir-9-3p","false","mir-9-3p","0.508330244","up"
"dummy",,"","false","mir-9-3p/mir-130a-3p",,""
"mirna",,"mir-642a-5p","false","mir-642a-5p","-0.047784491","down"
"dummy",,"","false","mir-642a-5p/mir-7-1-3p",,""
"mirna",,"mir-651-5p","false","mir-651-5p","0.648492479","up"
"dummy",,"","false","mir-651-5p/mir-215-5p",,""
"mirna",,"mir-129-5p","false","mir-129-5p","-0.739161321","down"
"dummy",,"","false","mir-129-5p/mir-188-5p",,""
"mirna",,"mir-296-5p","false","mir-296-5p","-0.696211206","down"
"dummy",,"","false","mir-296-5p/mir-126-5p",,""
"mirna",,"mir-130b-5p","false","mir-130b-5p","0.444745768","up"
"dummy",,"","false","mir-130b-5p/mir-505-3p",,""
"mirna",,"mir-3065-3p","false","mir-3065-3p","0.527139926","up"
"dummy",,"","false","mir-3065-3p/mir-30a-5p",,""
"mirna",,"mir-144-3p","false","mir-144-3p","-0.776641738","down"
"mirna",,"mir-483-3p","false","mir-483-3p","-0.906238662","down"
"mirna",,"mir-193b-5p","false","mir-193b-5p","-0.175952731","down"
"mirna",,"mir-106a-5p","false","mir-106a-5p","0.222333766","up"
"mirna",,"mir-20a-5p","false","mir-20a-5p","0.097127936","up"
"mirna",,"mir-7-5p","false","mir-7-5p","1.643065281","up"
"mirna",,"mir-127-5p","false","mir-127-5p","0.01557959","up"
"mirna",,"mir-148a-5p","false","mir-148a-5p","0.16959549","up"
"mirna",,"mir-223-5p","false","mir-223-5p","-0.120405677","down"
"mirna",,"mir-335-5p","false","mir-335-5p","-0.770129382","down"
"mirna",,"mir-130a-3p","false","mir-130a-3p","-0.240723591","down"
"mirna",,"mir-7-1-3p","false","mir-7-1-3p","0.22868347","up"
"mirna",,"mir-215-5p","false","mir-215-5p","-0.538462502","down"
"mirna",,"mir-188-5p","false","mir-188-5p","0.921724023","up"
"mirna",,"mir-126-5p","false","mir-126-5p","-0.212156759","down"
"mirna",,"mir-505-3p","false","mir-505-3p","-0.129563738","down"
"mirna",,"mir-30a-5p","false","mir-30a-5p","-0.025688179","down"
"mrna","false","SLC7A2","false","SLC7A2",,"down"
"mrna","true","SREBF1","false","SREBF1",,"up"
"mrna","false","BMP7","false","BMP7",,"down"
"mrna","false","SLC6A4","false","SLC6A4",,"up"
"mrna","false","PTK7","false","PTK7",,"up"
"mrna","false","STC2","false","STC2",,"down"
"mrna","false","SEMA6D","false","SEMA6D",,"down"
"mrna","false","PCDH10","false","PCDH10",,"down"
"mrna","false","GREB1L","false","GREB1L",,"up"
"mrna","false","CACNG8","false","CACNG8",,"up"
"mrna","false","PALM2AKAP2","false","PALM2AKAP2",,"down"
"mrna","false","STC1","false","STC1",,"up"
"mrna","false","VANGL2","false","VANGL2",,"up"
"mrna","false","GATM","false","GATM",,"down"
"mrna","false","SLITRK4","false","SLITRK4",,"down"
"mrna","false","ZNF703","false","ZNF703",,"up"
"mrna","false","MYBPC1","false","MYBPC1",,"down"
"mrna","false","PEG10","false","PEG10",,"down"
