"info","is_mrna_tf","name","selected","shared name","updown"
"mirna",,"mir-2355-5p","false","mir-2355-5p","down"
"dummy",,"","false","mir-2355-5p/mir-889-3p","dummy"
"mirna",,"mir-20a-3p","false","mir-20a-3p","up"
"dummy",,"","false","mir-20a-3p/mir-889-3p","dummy"
"dummy",,"","false","mir-20a-3p/mir-196a-5p","dummy"
"mirna",,"mir-188-3p","false","mir-188-3p","up"
"dummy",,"","false","mir-188-3p/mir-497-5p","dummy"
"mirna",,"mir-218-5p","false","mir-218-5p","down"
"dummy",,"","false","mir-218-5p/mir-18a-3p","dummy"
"mirna",,"mir-195-5p","false","mir-195-5p","down"
"dummy",,"","false","mir-195-5p/mir-338-3p","dummy"
"mirna",,"mir-3170","false","mir-3170","up"
"dummy",,"","false","mir-3170/mir-625-5p","dummy"
"mirna",,"mir-625-5p","false","mir-625-5p","up"
"dummy",,"","false","mir-625-5p/mir-296-5p","dummy"
"mirna",,"mir-20b-5p","false","mir-20b-5p","up"
"dummy",,"","false","mir-20b-5p/mir-222-3p","dummy"
"mirna",,"mir-129-5p","false","mir-129-5p","down"
"dummy",,"","false","mir-129-5p/mir-196a-5p","dummy"
"mirna",,"mir-29c-3p","false","mir-29c-3p","down"
"dummy",,"","false","mir-29c-3p/mir-195-5p","dummy"
"mirna",,"mir-30a-3p","false","mir-30a-3p","down"
"dummy",,"","false","mir-30a-3p/mir-92b-3p","dummy"
"mirna",,"mir-616-5p","false","mir-616-5p","up"
"dummy",,"","false","mir-616-5p/mir-589-3p","dummy"
"mirna",,"mir-146b-5p","false","mir-146b-5p","down"
"dummy",,"","false","mir-146b-5p/mir-185-3p","dummy"
"mirna",,"mir-9-5p","false","mir-9-5p","down"
"dummy",,"","false","mir-9-5p/mir-10a-5p","dummy"
"mirna",,"mir-203a-3p","false","mir-203a-3p","up"
"dummy",,"","false","mir-203a-3p/mir-18a-5p","dummy"
"mirna",,"mir-497-5p","false","mir-497-5p","down"
"dummy",,"","false","mir-497-5p/mir-149-5p","dummy"
"mirna",,"mir-378a-3p","false","mir-378a-3p","down"
"dummy",,"","false","mir-378a-3p/mir-548j-5p","dummy"
"mirna",,"mir-330-5p","false","mir-330-5p","up"
"dummy",,"","false","mir-330-5p/mir-182-5p","dummy"
"mirna",,"mir-125b-5p","false","mir-125b-5p","down"
"dummy",,"","false","mir-125b-5p/mir-138-5p","dummy"
"mirna",,"mir-18b-5p","false","mir-18b-5p","up"
"dummy",,"","false","mir-18b-5p/mir-182-5p","dummy"
"mirna",,"mir-199a-5p","false","mir-199a-5p","down"
"dummy",,"","false","mir-199a-5p/mir-338-5p","dummy"
"mirna",,"mir-133b","false","mir-133b","down"
"dummy",,"","false","mir-133b/mir-3928-3p","dummy"
"mirna",,"mir-7-5p","false","mir-7-5p","up"
"dummy",,"","false","mir-7-5p/mir-429","dummy"
"mirna",,"mir-222-3p","false","mir-222-3p","up"
"dummy",,"","false","mir-222-3p/mir-10a-5p","dummy"
"dummy",,"","false","mir-616-5p/mir-29b-3p","dummy"
"mirna",,"mir-183-3p","false","mir-183-3p","up"
"dummy",,"","false","mir-183-3p/mir-224-5p","dummy"
"mirna",,"mir-582-5p","false","mir-582-5p","down"
"dummy",,"","false","mir-582-5p/mir-760","dummy"
"mirna",,"mir-196a-5p","false","mir-196a-5p","up"
"dummy",,"","false","mir-196a-5p/mir-877-5p","dummy"
"mirna",,"mir-653-5p","false","mir-653-5p","up"
"dummy",,"","false","mir-653-5p/mir-940","dummy"
"mirna",,"mir-142-3p","false","mir-142-3p","up"
"dummy",,"","false","mir-142-3p/mir-19a-3p","dummy"
"mirna",,"mir-19a-3p","false","mir-19a-3p","up"
"dummy",,"","false","mir-19a-3p/mir-143-3p","dummy"
"mirna",,"mir-135b-3p","false","mir-135b-3p","up"
"dummy",,"","false","mir-135b-3p/mir-3065-3p","dummy"
"mirna",,"mir-199b-5p","false","mir-199b-5p","down"
"dummy",,"","false","mir-199b-5p/mir-330-5p","dummy"
"dummy",,"","false","mir-29c-3p/mir-29b-3p","dummy"
"mirna",,"mir-379-5p","false","mir-379-5p","down"
"dummy",,"","false","mir-379-5p/mir-125b-2-3p","dummy"
"mirna",,"mir-323a-3p","false","mir-323a-3p","up"
"dummy",,"","false","mir-323a-3p/mir-497-5p","dummy"
"mirna",,"mir-18a-5p","false","mir-18a-5p","up"
"dummy",,"","false","mir-18a-5p/mir-143-3p","dummy"
"mirna",,"mir-548j-5p","false","mir-548j-5p","up"
"dummy",,"","false","mir-548j-5p/mir-9-5p","dummy"
"mirna",,"mir-152-3p","false","mir-152-3p","down"
"dummy",,"","false","mir-152-3p/mir-138-5p","dummy"
"mirna",,"mir-429","false","mir-429","up"
"dummy",,"","false","mir-429/mir-20a-3p","dummy"
"mirna",,"mir-215-5p","false","mir-215-5p","up"
"dummy",,"","false","mir-215-5p/mir-653-5p","dummy"
"mirna",,"mir-193b-3p","false","mir-193b-3p","up"
"dummy",,"","false","mir-193b-3p/mir-9-5p","dummy"
"mirna",,"mir-329-3p","false","mir-329-3p","down"
"dummy",,"","false","mir-329-3p/mir-19a-3p","dummy"
"mirna",,"mir-29b-3p","false","mir-29b-3p","down"
"dummy",,"","false","mir-29b-3p/mir-96-5p","dummy"
"dummy",,"","false","mir-9-5p/let-7c-5p","dummy"
