info,is_mrna_tf,name,selected,shared.name,updown,significance
mirna,,mir-2355-5p,false,mir-2355-5p,down,0.594480511032847
dummy,,,false,mir-2355-5p/mir-889-3p,dummy,
mirna,,mir-20a-3p,false,mir-20a-3p,up,0.318511566981444
dummy,,,false,mir-20a-3p/mir-889-3p,dummy,
dummy,,,false,mir-20a-3p/mir-196a-5p,dummy,
mirna,,mir-188-3p,false,mir-188-3p,up,0.658511882263961
dummy,,,false,mir-188-3p/mir-497-5p,dummy,
mirna,,mir-218-5p,false,mir-218-5p,down,0.0432832878979492
dummy,,,false,mir-218-5p/mir-18a-3p,dummy,
mirna,,mir-195-5p,false,mir-195-5p,down,0.0465178735354217
dummy,,,false,mir-195-5p/mir-338-3p,dummy,
mirna,,mir-3170,false,mir-3170,up,0.399123516677717
dummy,,,false,mir-3170/mir-625-5p,dummy,
mirna,,mir-625-5p,false,mir-625-5p,up,0.268788802374947
dummy,,,false,mir-625-5p/mir-296-5p,dummy,
mirna,,mir-20b-5p,false,mir-20b-5p,up,0.00898396660926057
dummy,,,false,mir-20b-5p/mir-222-3p,dummy,
mirna,,mir-129-5p,false,mir-129-5p,down,0.00299042749917434
dummy,,,false,mir-129-5p/mir-196a-5p,dummy,
mirna,,mir-29c-3p,false,mir-29c-3p,down,0.162525651892987
dummy,,,false,mir-29c-3p/mir-195-5p,dummy,
mirna,,mir-30a-3p,false,mir-30a-3p,down,0.0658248713872749
dummy,,,false,mir-30a-3p/mir-92b-3p,dummy,
mirna,,mir-616-5p,false,mir-616-5p,up,0.134192760279509
dummy,,,false,mir-616-5p/mir-589-3p,dummy,
mirna,,mir-146b-5p,false,mir-146b-5p,down,0.998941828541524
dummy,,,false,mir-146b-5p/mir-185-3p,dummy,
mirna,,mir-9-5p,false,mir-9-5p,down,0.762788688713729
dummy,,,false,mir-9-5p/mir-10a-5p,dummy,
mirna,,mir-203a-3p,false,mir-203a-3p,up,0.0689503172074437
dummy,,,false,mir-203a-3p/mir-18a-5p,dummy,
mirna,,mir-497-5p,false,mir-497-5p,down,0.0602786263793021
dummy,,,false,mir-497-5p/mir-149-5p,dummy,
mirna,,mir-378a-3p,false,mir-378a-3p,down,0.8701822673155
dummy,,,false,mir-378a-3p/mir-548j-5p,dummy,
mirna,,mir-330-5p,false,mir-330-5p,up,0.314602094517623
dummy,,,false,mir-330-5p/mir-182-5p,dummy,
mirna,,mir-125b-5p,false,mir-125b-5p,down,0.0246558460047033
dummy,,,false,mir-125b-5p/mir-138-5p,dummy,
mirna,,mir-18b-5p,false,mir-18b-5p,up,0.0978263518394985
dummy,,,false,mir-18b-5p/mir-182-5p,dummy,
mirna,,mir-199a-5p,false,mir-199a-5p,down,0.0682575660614511
dummy,,,false,mir-199a-5p/mir-338-5p,dummy,
mirna,,mir-133b,false,mir-133b,down,4.99924718700808e-05
dummy,,,false,mir-133b/mir-3928-3p,dummy,
mirna,,mir-7-5p,false,mir-7-5p,up,0.0258180256584323
dummy,,,false,mir-7-5p/mir-429,dummy,
mirna,,mir-222-3p,false,mir-222-3p,up,0.863940325319415
dummy,,,false,mir-222-3p/mir-10a-5p,dummy,
dummy,,,false,mir-616-5p/mir-29b-3p,dummy,
mirna,,mir-183-3p,false,mir-183-3p,up,0.0264621296434977
dummy,,,false,mir-183-3p/mir-224-5p,dummy,
mirna,,mir-582-5p,false,mir-582-5p,down,0.916061113503576
dummy,,,false,mir-582-5p/mir-760,dummy,
mirna,,mir-196a-5p,false,mir-196a-5p,up,0.272390577436384
dummy,,,false,mir-196a-5p/mir-877-5p,dummy,
mirna,,mir-653-5p,false,mir-653-5p,up,0.561937086022753
dummy,,,false,mir-653-5p/mir-940,dummy,
mirna,,mir-142-3p,false,mir-142-3p,up,0.177249722225083
dummy,,,false,mir-142-3p/mir-19a-3p,dummy,
mirna,,mir-19a-3p,false,mir-19a-3p,up,0.422649790567994
dummy,,,false,mir-19a-3p/mir-143-3p,dummy,
mirna,,mir-135b-3p,false,mir-135b-3p,up,0.0187317739494909
dummy,,,false,mir-135b-3p/mir-3065-3p,dummy,
mirna,,mir-199b-5p,false,mir-199b-5p,down,0.186941206763681
dummy,,,false,mir-199b-5p/mir-330-5p,dummy,
dummy,,,false,mir-29c-3p/mir-29b-3p,dummy,
mirna,,mir-379-5p,false,mir-379-5p,down,0.0553720943903267
dummy,,,false,mir-379-5p/mir-125b-2-3p,dummy,
mirna,,mir-323a-3p,false,mir-323a-3p,up,0.81694651488875
dummy,,,false,mir-323a-3p/mir-497-5p,dummy,
mirna,,mir-18a-5p,false,mir-18a-5p,up,0.0183724665831381
dummy,,,false,mir-18a-5p/mir-143-3p,dummy,
mirna,,mir-548j-5p,false,mir-548j-5p,up,0.0706477898331914
dummy,,,false,mir-548j-5p/mir-9-5p,dummy,
mirna,,mir-152-3p,false,mir-152-3p,down,0.34467980180323
dummy,,,false,mir-152-3p/mir-138-5p,dummy,
mirna,,mir-429,false,mir-429,up,0.00177345722031615
dummy,,,false,mir-429/mir-20a-3p,dummy,
mirna,,mir-215-5p,false,mir-215-5p,up,0.0322094108226478
dummy,,,false,mir-215-5p/mir-653-5p,dummy,
mirna,,mir-193b-3p,false,mir-193b-3p,up,0.974581122128684
dummy,,,false,mir-193b-3p/mir-9-5p,dummy,
mirna,,mir-329-3p,false,mir-329-3p,down,0.440967641389707
