source;target
mir-2355-5p;mir-2355-5p/mir-889-3p
mir-20a-3p;mir-20a-3p/mir-889-3p
mir-20a-3p;mir-20a-3p/mir-196a-5p
mir-188-3p;mir-188-3p/mir-497-5p
mir-218-5p;mir-218-5p/mir-18a-3p
mir-195-5p;mir-195-5p/mir-338-3p
mir-3170;mir-3170/mir-625-5p
mir-625-5p;mir-625-5p/mir-296-5p
mir-20b-5p;mir-20b-5p/mir-222-3p
mir-129-5p;mir-129-5p/mir-196a-5p
mir-29c-3p;mir-29c-3p/mir-195-5p
mir-30a-3p;mir-30a-3p/mir-92b-3p
mir-616-5p;mir-616-5p/mir-589-3p
mir-146b-5p;mir-146b-5p/mir-185-3p
mir-9-5p;mir-9-5p/mir-10a-5p
mir-203a-3p;mir-203a-3p/mir-18a-5p
mir-497-5p;mir-497-5p/mir-149-5p
mir-378a-3p;mir-378a-3p/mir-548j-5p
mir-330-5p;mir-330-5p/mir-182-5p
mir-125b-5p;mir-125b-5p/mir-138-5p
mir-18b-5p;mir-18b-5p/mir-182-5p
mir-199a-5p;mir-199a-5p/mir-338-5p
mir-133b;mir-133b/mir-3928-3p
mir-7-5p;mir-7-5p/mir-429
mir-222-3p;mir-222-3p/mir-10a-5p
mir-616-5p;mir-616-5p/mir-29b-3p
mir-183-3p;mir-183-3p/mir-224-5p
mir-582-5p;mir-582-5p/mir-760
mir-196a-5p;mir-196a-5p/mir-877-5p
mir-653-5p;mir-653-5p/mir-940
mir-142-3p;mir-142-3p/mir-19a-3p
mir-19a-3p;mir-19a-3p/mir-143-3p
mir-135b-3p;mir-135b-3p/mir-3065-3p
mir-199b-5p;mir-199b-5p/mir-330-5p
mir-29c-3p;mir-29c-3p/mir-29b-3p
mir-379-5p;mir-379-5p/mir-125b-2-3p
mir-323a-3p;mir-323a-3p/mir-497-5p
mir-18a-5p;mir-18a-5p/mir-143-3p
mir-548j-5p;mir-548j-5p/mir-9-5p
mir-152-3p;mir-152-3p/mir-138-5p
mir-429;mir-429/mir-20a-3p
mir-215-5p;mir-215-5p/mir-653-5p
mir-193b-3p;mir-193b-3p/mir-9-5p
mir-329-3p;mir-329-3p/mir-19a-3p
mir-29b-3p;mir-29b-3p/mir-96-5p
mir-9-5p;mir-9-5p/let-7c-5p
mir-409-5p;mir-409-5p/mir-183-3p
mir-99b-3p;mir-99b-3p/mir-409-5p
mir-30a-3p;mir-30a-3p/mir-150-3p
mir-125b-5p;mir-125b-5p/mir-9-5p
mir-33a-3p;mir-33a-3p/mir-138-5p
mir-152-3p;mir-152-3p/mir-200a-3p
mir-146a-5p;mir-146a-5p/mir-34c-5p
mir-1-3p;mir-1-3p/mir-155-5p
mir-495-3p;mir-495-3p/mir-125b-5p
mir-222-3p;mir-222-3p/mir-550a-3p
mir-221-3p;mir-221-3p/mir-429
mir-199a-5p;mir-199a-5p/mir-194-3p
let-7c-5p;let-7c-5p/mir-33a-3p
mir-149-5p;mir-149-5p/mir-19a-3p
