source;target
mir-30b-5p;mir-30b-5p/mir-494-3p
mir-30b-5p;mir-30b-5p/mir-548f-3p
mir-33a-5p;mir-33a-5p/mir-455-3p
mir-1228-3p;mir-1228-3p/mir-424-5p
mir-224-5p;mir-224-5p/mir-196b-5p
mir-136-5p;mir-136-5p/mir-424-5p
mir-224-5p;mir-224-5p/mir-424-5p
mir-32-3p;mir-32-3p/mir-20b-5p
mir-877-5p;mir-877-5p/mir-136-5p
mir-181d-5p;mir-181d-5p/mir-215-5p
mir-424-5p;mir-424-5p/mir-1-3p
mir-767-5p;mir-767-5p/mir-135b-3p
mir-1270;mir-1270/mir-877-5p
mir-455-3p;mir-455-3p/mir-424-5p
mir-23b-5p;mir-23b-5p/mir-485-5p
let-7c-5p;let-7c-5p/mir-196a-5p
mir-153-3p;mir-153-3p/mir-196a-5p
mir-942-5p;mir-942-5p/mir-129-5p
mir-760;mir-760/mir-548e-3p
mir-18b-5p;mir-18b-5p/mir-30b-5p
mir-30b-5p;mir-30b-5p/mir-9-3p
mir-301a-3p;mir-301a-3p/mir-301b-3p
mir-937-3p;mir-937-3p/mir-548f-3p
mir-550a-3p;mir-550a-3p/mir-455-3p
mir-210-3p;mir-210-3p/mir-455-3p
mir-34a-3p;mir-34a-3p/mir-320c
mir-20b-5p;mir-20b-5p/mir-345-5p
mir-31-5p;mir-31-5p/let-7f-2-3p
let-7g-3p;let-7g-3p/mir-33a-5p
mir-365a-5p;mir-365a-5p/mir-455-3p
mir-215-5p;mir-215-5p/mir-877-3p
mir-150-3p;mir-150-3p/mir-663a
mir-1266-5p;mir-1266-5p/mir-125a-3p
mir-136-5p;mir-136-5p/mir-424-5p
mir-129-5p;mir-129-5p/mir-769-3p
mir-203a-3p;mir-203a-3p/mir-19a-3p
mir-651-5p;mir-651-5p/mir-455-3p
mir-181d-5p;mir-181d-5p/mir-642a-5p
mir-424-5p;mir-424-5p/mir-940
mir-224-3p;mir-224-3p/mir-424-5p
mir-16-1-3p;mir-16-1-3p/mir-301b-3p
mir-545-5p;mir-545-5p/mir-105-5p
mir-224-5p;mir-224-5p/mir-424-5p
mir-33a-5p;mir-33a-5p/mir-33b-5p
mir-135b-5p;mir-135b-5p/mir-18a-3p
mir-135b-5p;mir-135b-5p/mir-589-3p
mir-31-5p;mir-31-5p/mir-1288-3p
mir-552-3p;mir-552-3p/mir-125a-3p
mir-424-5p;mir-424-5p/mir-625-5p
mir-31-5p;mir-31-5p/mir-877-3p
mir-20b-5p;mir-20b-5p/let-7c-5p
mir-301a-3p;mir-301a-3p/mir-301b-3p
mir-149-5p;mir-149-5p/mir-144-3p
mir-144-5p;mir-144-5p/mir-144-3p
mir-30c-1-3p;mir-30c-1-3p/mir-181d-5p
mir-605-5p;mir-605-5p/mir-455-3p
mir-760;mir-760/mir-629-3p
mir-1226-3p;mir-1226-3p/mir-629-3p
mir-203a-3p;mir-203a-3p/mir-1227-3p
mir-203a-3p;mir-203a-3p/mir-877-5p
mir-424-5p;mir-424-5p/let-7g-3p
mir-1226-3p;mir-1226-3p/mir-1227-3p
mir-203a-3p;mir-203a-3p/mir-1226-3p
mir-203a-3p;mir-203a-3p/mir-33b-5p
mir-301a-3p;mir-301a-3p/mir-301b-3p
mir-744-3p;mir-744-3p/mir-1-3p
mir-1276;mir-1276/mir-301b-3p
mir-376b-3p;mir-376b-3p/mir-455-3p
mir-1-3p;mir-1-3p/mir-362-5p
mir-125b-5p;mir-125b-5p/mir-580-3p
mir-181d-5p;mir-181d-5p/mir-33a-3p
mir-196b-5p;mir-196b-5p/let-7g-3p
mir-424-5p;mir-424-5p/mir-215-5p
