"info","is_mrna_tf","name","selected","shared name"
"mrna","false","ATXN1L","false","ATXN1L"
"mrna","false","ANKRD52","false","ANKRD52"
"mrna","true","ZBTB38","false","ZBTB38"
"mrna","false","C4orf46","false","C4orf46"
"mrna","false","TET3","false","TET3"
"mrna","false","AGO3","false","AGO3"
"mrna","false","IFNLR1","false","IFNLR1"
"mrna","true","ZNF519","false","ZNF519"
"mrna","false","SPRED1","false","SPRED1"
"mrna","false","RASEF","false","RASEF"
"mrna","false","VPS13B","false","VPS13B"
"mrna","false","JMY","false","JMY"
"mrna","false","IL31RA","false","IL31RA"
"mrna","false","CPEB2","false","CPEB2"
"mrna","false","EDARADD","false","EDARADD"
"mrna","false","RAVER1","false","RAVER1"
"mrna","false","AGAP1","false","AGAP1"
"mrna","false","PCMTD1","false","PCMTD1"
"mrna","false","LENG8","false","LENG8"
"mrna","false","MYADM","false","MYADM"
"mrna","false","ZC3H12C","false","ZC3H12C"
"mrna","false","KIAA1671","false","KIAA1671"
"mrna","true","ZNF514","false","ZNF514"
"mrna","false","DDI2","false","DDI2"
"mrna","false","MAGT1","false","MAGT1"
"mrna","false","KATNAL1","false","KATNAL1"
"mrna","false","SLCO5A1","false","SLCO5A1"
"mrna","false","NAA50","false","NAA50"
"mrna","false","ABHD18","false","ABHD18"
"mrna","false","VCPIP1","false","VCPIP1"
"mrna","false","GPR157","false","GPR157"
"mrna","false","NAA25","false","NAA25"
"mrna","false","PHC3","false","PHC3"
"mrna","false","CYBRD1","false","CYBRD1"
"mrna","false","GSTCD","false","GSTCD"
"mrna","false","CLIP4","false","CLIP4"
"mrna","false","TBL1XR1","false","TBL1XR1"
"mrna","false","PANK3","false","PANK3"
"mrna","false","ARMH3","false","ARMH3"
"mrna","false","ATP13A3","false","ATP13A3"
"mrna","false","GNPTAB","false","GNPTAB"
"mrna","false","AHNAK","false","AHNAK"
"mrna","false","WNK1","false","WNK1"
"mrna","false","CDCP1","false","CDCP1"
"mrna","false","FNDC3B","false","FNDC3B"
"mrna","false","TENT4B","false","TENT4B"
"mrna","false","FAM160B1","false","FAM160B1"
"mrna","false","RNF213","false","RNF213"
"mrna","false","PHF12","false","PHF12"
"mrna","false","DHX33","false","DHX33"
"mrna","false","ENOSF1","false","ENOSF1"
"mrna","false","YOD1","false","YOD1"
