source;target
mir-30b-3p;mir-30b-3p/mir-32-3p
mir-939-5p;mir-939-5p/mir-505-5p
mir-181c-3p;mir-181c-3p/mir-708-5p
mir-96-5p;mir-96-5p/mir-452-3p
mir-654-3p;mir-654-3p/mir-939-5p
mir-654-3p;mir-654-3p/mir-15b-3p
mir-1-3p;mir-1-3p/mir-181c-5p
mir-9-5p;mir-9-5p/mir-204-5p
mir-181a-2-3p;mir-181a-2-3p/mir-181d-5p
mir-624-5p;mir-624-5p/mir-16-1-3p
mir-155-5p;mir-155-5p/mir-664a-3p
mir-181d-5p;mir-181d-5p/mir-9-5p
mir-7-5p;mir-7-5p/mir-18a-5p
mir-342-5p;mir-342-5p/mir-940
mir-1-3p;mir-1-3p/mir-190a-5p
mir-150-5p;mir-150-5p/mir-342-3p
mir-495-3p;mir-495-3p/mir-939-5p
mir-9-3p;mir-9-3p/mir-129-5p
mir-1-3p;mir-1-3p/mir-139-5p
mir-335-5p;mir-335-5p/mir-548s
mir-7-5p;mir-7-5p/mir-320b
mir-339-5p;mir-339-5p/mir-129-5p
mir-491-5p;mir-491-5p/mir-331-3p
mir-19a-3p;mir-19a-3p/mir-106a-5p
mir-301b-3p;mir-301b-3p/mir-454-5p
mir-30b-5p;mir-30b-5p/mir-182-5p
mir-182-5p;mir-182-5p/mir-664a-3p
mir-33a-3p;mir-33a-3p/mir-181d-5p
mir-664a-3p;mir-664a-3p/mir-320b
mir-1180-3p;mir-1180-3p/mir-339-3p
mir-26b-3p;mir-26b-3p/mir-194-3p
mir-30b-3p;mir-30b-3p/mir-30b-5p
mir-331-5p;mir-331-5p/mir-19a-3p
let-7c-5p;let-7c-5p/mir-758-3p
mir-1296-5p;mir-1296-5p/mir-758-3p
mir-30b-5p;mir-30b-5p/mir-183-5p
mir-654-3p;mir-654-3p/mir-1271-5p
mir-125b-2-3p;mir-125b-2-3p/let-7c-5p
mir-150-3p;mir-150-3p/mir-320b
mir-760;mir-760/mir-769-3p
mir-183-5p;mir-183-5p/mir-182-5p
mir-18b-5p;mir-18b-5p/mir-320b
mir-193b-5p;mir-193b-5p/mir-30b-5p
mir-664a-5p;mir-664a-5p/mir-582-5p
mir-625-5p;mir-625-5p/mir-148a-3p
mir-148a-5p;mir-148a-5p/mir-148a-3p
mir-296-5p;mir-296-5p/mir-17-5p
mir-3136-5p;mir-3136-5p/mir-940
mir-505-5p;mir-505-5p/mir-181d-5p
mir-30b-3p;mir-30b-3p/mir-182-5p
mir-181c-3p;mir-181c-3p/mir-2116-3p
mir-183-5p;mir-183-5p/mir-331-3p
mir-28-3p;mir-28-3p/mir-2116-3p
mir-432-5p;mir-432-5p/mir-410-3p
mir-409-5p;mir-409-5p/mir-183-5p
mir-342-3p;mir-342-3p/mir-150-3p
mir-331-5p;mir-331-5p/mir-183-5p
mir-146b-5p;mir-146b-5p/mir-7-5p
mir-940;mir-940/mir-409-3p
mir-17-5p;mir-17-5p/mir-130b-5p
mir-150-5p;mir-150-5p/mir-181a-2-3p
mir-296-5p;mir-296-5p/mir-17-5p
mir-138-5p;mir-138-5p/mir-30b-5p
mir-214-3p;mir-214-3p/mir-136-3p
mir-30b-5p;mir-30b-5p/mir-183-5p
mir-1306-3p;mir-1306-3p/mir-760
mir-342-3p;mir-342-3p/mir-664a-3p
mir-424-5p;mir-424-5p/mir-301b-3p
mir-30b-5p;mir-30b-5p/mir-331-5p
mir-200c-3p;mir-200c-3p/mir-944
mir-141-5p;mir-141-5p/mir-582-3p
mir-491-5p;mir-491-5p/mir-181a-2-3p
mir-18a-3p;mir-18a-3p/mir-17-5p
mir-221-3p;mir-221-3p/mir-96-5p
mir-769-3p;mir-769-3p/mir-219a-1-3p
mir-181a-2-3p;mir-181a-2-3p/mir-335-5p
mir-9-5p;mir-9-5p/mir-204-5p
mir-200c-3p;mir-200c-3p/mir-146b-5p
mir-138-5p;mir-138-5p/mir-30b-5p
mir-181a-2-3p;mir-181a-2-3p/mir-940
mir-181a-2-3p;mir-181a-2-3p/mir-183-5p
mir-30b-5p;mir-30b-5p/mir-331-5p
mir-138-5p;mir-138-5p/mir-150-3p
mir-664a-5p;mir-664a-5p/mir-664a-3p
mir-136-5p;mir-136-5p/mir-214-3p
mir-30d-5p;mir-30d-5p/mir-1270
mir-363-3p;mir-363-3p/mir-7-5p
mir-181a-2-3p;mir-181a-2-3p/mir-181d-5p
mir-181c-3p;mir-181c-3p/mir-181a-2-3p
mir-30b-3p;mir-30b-3p/mir-30d-5p
mir-181d-5p;mir-181d-5p/mir-9-5p
mir-181d-5p;mir-181d-5p/mir-129-5p
mir-411-5p;mir-411-5p/mir-18b-5p
mir-296-5p;mir-296-5p/mir-454-5p
mir-9-5p;mir-9-5p/mir-148a-3p
mir-181d-5p;mir-181d-5p/mir-9-5p
mir-143-5p;mir-143-5p/mir-18a-3p
mir-181d-5p;mir-181d-5p/mir-9-5p
mir-766-3p;mir-766-3p/mir-296-5p
mir-30b-5p;mir-30b-5p/mir-183-5p
mir-339-5p;mir-339-5p/mir-150-5p
mir-766-3p;mir-766-3p/mir-183-5p
mir-664a-3p;mir-664a-3p/mir-181c-5p
mir-150-5p;mir-150-5p/mir-30b-5p
mir-342-5p;mir-342-5p/mir-138-5p
mir-505-5p;mir-505-5p/mir-342-5p
mir-193b-5p;mir-193b-5p/mir-342-5p
mir-342-3p;mir-342-3p/mir-342-5p
mir-18a-3p;mir-18a-3p/mir-106a-5p
mir-30b-5p;mir-30b-5p/mir-183-5p
mir-106a-5p;mir-106a-5p/mir-363-3p
mir-196a-5p;mir-196a-5p/mir-342-5p
mir-505-5p;mir-505-5p/mir-342-5p
mir-30d-5p;mir-30d-5p/mir-221-5p
mir-296-5p;mir-296-5p/mir-505-5p
mir-136-5p;mir-136-5p/mir-345-5p
mir-342-5p;mir-342-5p/mir-193b-3p
mir-766-3p;mir-766-3p/mir-181a-2-3p
mir-133a-3p;mir-133a-3p/mir-146a-3p
mir-96-5p;mir-96-5p/mir-182-5p
mir-106a-5p;mir-106a-5p/mir-20b-5p
mir-18a-3p;mir-18a-3p/mir-141-5p
mir-30b-5p;mir-30b-5p/mir-182-5p
mir-30b-5p;mir-30b-5p/mir-183-5p
mir-18b-5p;mir-18b-5p/mir-625-5p
mir-505-5p;mir-505-5p/mir-138-5p
mir-17-5p;mir-17-5p/mir-106a-5p
mir-30b-5p;mir-30b-5p/mir-20b-5p
mir-150-5p;mir-150-5p/mir-345-5p
mir-296-5p;mir-296-5p/mir-505-5p
mir-9-5p;mir-9-5p/mir-204-5p
mir-34a-3p;mir-34a-3p/mir-505-5p
mir-30b-5p;mir-30b-5p/mir-624-5p
mir-331-5p;mir-331-5p/mir-183-5p
mir-505-5p;mir-505-5p/mir-296-3p
mir-30b-5p;mir-30b-5p/mir-182-5p
mir-30b-5p;mir-30b-5p/mir-183-5p
mir-26b-3p;mir-26b-3p/mir-628-3p
mir-221-3p;mir-221-3p/mir-651-5p
mir-425-3p;mir-425-3p/mir-129-5p
mir-193b-3p;mir-193b-3p/mir-664a-3p
mir-939-5p;mir-939-5p/mir-181d-5p
mir-17-3p;mir-17-3p/mir-17-5p
mir-134-5p;mir-134-5p/mir-18b-5p
mir-320b;mir-320b/mir-133a-3p
mir-193b-5p;mir-193b-5p/mir-129-5p
mir-1-3p;mir-1-3p/mir-190a-5p
mir-335-5p;mir-335-5p/mir-363-3p
mir-939-5p;mir-939-5p/mir-370-3p
mir-181c-5p;mir-181c-5p/mir-181a-2-3p
mir-139-3p;mir-139-3p/mir-181a-2-3p
mir-214-3p;mir-214-3p/mir-18a-3p
mir-432-5p;mir-432-5p/mir-9-5p
mir-939-5p;mir-939-5p/mir-182-5p
mir-96-5p;mir-96-5p/mir-182-5p
mir-25-5p;mir-25-5p/mir-577
mir-505-5p;mir-505-5p/mir-150-5p
mir-181a-2-3p;mir-181a-2-3p/mir-664a-3p
mir-505-5p;mir-505-5p/mir-181a-2-3p
mir-181a-2-3p;mir-181a-2-3p/mir-214-3p
mir-30b-5p;mir-30b-5p/mir-183-5p
mir-628-3p;mir-628-3p/mir-326
mir-17-5p;mir-17-5p/mir-106a-5p
mir-181d-5p;mir-181d-5p/mir-129-5p
mir-146b-5p;mir-146b-5p/mir-148a-3p
mir-491-5p;mir-491-5p/mir-296-3p
mir-18b-5p;mir-18b-5p/mir-17-5p
mir-18a-5p;mir-18a-5p/mir-296-3p
mir-301b-3p;mir-301b-3p/mir-744-3p
mir-106a-5p;mir-106a-5p/mir-20b-5p
mir-127-3p;mir-127-3p/mir-127-5p
mir-133a-3p;mir-133a-3p/mir-150-5p
mir-181d-5p;mir-181d-5p/mir-155-5p
mir-17-5p;mir-17-5p/mir-30b-5p
mir-129-5p;mir-129-5p/mir-30b-3p
mir-130b-5p;mir-130b-5p/mir-129-5p
mir-181c-5p;mir-181c-5p/mir-181a-2-3p
mir-296-3p;mir-296-3p/mir-17-5p
mir-766-3p;mir-766-3p/mir-432-5p
mir-654-3p;mir-654-3p/mir-1271-5p
mir-766-3p;mir-766-3p/mir-18b-5p
mir-505-5p;mir-505-5p/mir-138-5p
mir-182-5p;mir-182-5p/mir-9-3p
mir-30b-3p;mir-30b-3p/mir-30d-3p
mir-342-5p;mir-342-5p/mir-138-5p
mir-32-3p;mir-32-3p/mir-181a-2-3p
mir-30b-5p;mir-30b-5p/mir-183-5p
mir-1271-5p;mir-1271-5p/mir-182-5p
mir-18a-5p;mir-18a-5p/mir-17-5p
mir-18b-5p;mir-18b-5p/mir-17-5p
mir-339-5p;mir-339-5p/mir-335-5p
mir-17-3p;mir-17-3p/mir-17-5p
mir-148a-3p;mir-148a-3p/mir-17-5p
mir-181d-5p;mir-181d-5p/mir-129-5p
mir-381-3p;mir-381-3p/mir-379-5p
mir-150-5p;mir-150-5p/mir-143-5p
mir-26b-3p;mir-26b-3p/mir-589-3p
mir-30b-5p;mir-30b-5p/mir-335-5p
