info,is_mrna_tf,name,selected,shared.name,updown,significance
mirna,,mir-199b-5p,false,mir-199b-5p,Down,0.616616794575711
dummy,,,false,mir-199b-5p/mir-20a-3p,dummy,
mirna,,mir-1-3p,false,mir-1-3p,Down,8.53727925906969e-05
dummy,,,false,mir-1-3p/mir-92a-1-5p,dummy,
mirna,,mir-142-5p,false,mir-142-5p,Up,0.183024279196479
dummy,,,false,mir-142-5p/mir-3170,dummy,
mirna,,mir-92a-1-5p,false,mir-92a-1-5p,Up,0.0109265921976787
dummy,,,false,mir-92a-1-5p/mir-32-3p,dummy,
mirna,,let-7f-5p,false,let-7f-5p,Down,0.448637560671287
dummy,,,false,let-7f-5p/mir-221-5p,dummy,
mirna,,mir-125b-2-3p,false,mir-125b-2-3p,Down,0.584139996716103
dummy,,,false,mir-125b-2-3p/mir-378a-3p,dummy,
dummy,,,false,mir-125b-2-3p/mir-671-5p,dummy,
mirna,,mir-335-5p,false,mir-335-5p,Up,0.146104275413537
dummy,,,false,mir-335-5p/mir-3150b-3p,dummy,
mirna,,mir-33a-3p,false,mir-33a-3p,Up,0.928037588668743
dummy,,,false,mir-33a-3p/mir-7-1-3p,dummy,
mirna,,mir-1271-5p,false,mir-1271-5p,Up,0.153432969428519
dummy,,,false,mir-1271-5p/mir-2355-5p,dummy,
mirna,,mir-17-5p,false,mir-17-5p,Up,0.441381002128842
dummy,,,false,mir-17-5p/mir-148a-3p,dummy,
mirna,,mir-106a-5p,false,mir-106a-5p,Down,0.540073673841997
dummy,,,false,mir-106a-5p/mir-153-3p,dummy,
dummy,,,false,let-7f-5p/mir-19a-3p,dummy,
mirna,,mir-939-5p,false,mir-939-5p,Up,0.388258380518144
dummy,,,false,mir-939-5p/mir-148a-3p,dummy,
mirna,,mir-3150b-3p,false,mir-3150b-3p,Up,0.00185513472178015
dummy,,,false,mir-3150b-3p/mir-31-5p,dummy,
mirna,,mir-767-5p,false,mir-767-5p,Up,4.79253207093608e-05
dummy,,,false,mir-767-5p/mir-19a-3p,dummy,
mirna,,mir-133b,false,mir-133b,Down,0.0007751250871209
dummy,,,false,mir-133b/mir-133a-3p,dummy,
mirna,,mir-19a-3p,false,mir-19a-3p,Up,0.321989538623403
dummy,,,false,mir-19a-3p/mir-421,dummy,
mirna,,mir-3127-5p,false,mir-3127-5p,Up,0.281269310269274
dummy,,,false,mir-3127-5p/mir-125a-3p,dummy,
mirna,,mir-106b-5p,false,mir-106b-5p,Up,0.294031875942692
dummy,,,false,mir-106b-5p/mir-129-5p,dummy,
mirna,,mir-642a-5p,false,mir-642a-5p,Down,0.0539445562209651
dummy,,,false,mir-642a-5p/mir-532-5p,dummy,
mirna,,mir-103a-2-5p,false,mir-103a-2-5p,Up,0.363960072336781
dummy,,,false,mir-103a-2-5p/mir-502-5p,dummy,
dummy,,,false,mir-92a-1-5p/mir-3150b-3p,dummy,
mirna,,mir-301a-3p,false,mir-301a-3p,Up,0.0534041557798386
dummy,,,false,mir-301a-3p/mir-30a-3p,dummy,
mirna,,mir-18a-5p,false,mir-18a-5p,Up,0.0164332564847604
dummy,,,false,mir-18a-5p/mir-17-5p,dummy,
mirna,,mir-196a-5p,false,mir-196a-5p,Up,1.56777392647817e-11
dummy,,,false,mir-196a-5p/mir-215-5p,dummy,
mirna,,mir-577,false,mir-577,Down,0.583950878651813
dummy,,,false,mir-577/mir-215-5p,dummy,
mirna,,mir-190a-5p,false,mir-190a-5p,Down,0.0638480567141085
dummy,,,false,mir-190a-5p/mir-215-5p,dummy,
mirna,,mir-182-5p,false,mir-182-5p,Down,0.756471969257837
dummy,,,false,mir-182-5p/mir-106b-5p,dummy,
dummy,,,false,mir-335-5p/mir-582-3p,dummy,
dummy,,,false,mir-18a-5p/mir-138-5p,dummy,
mirna,,mir-627-5p,false,mir-627-5p,Up,0.451930860671166
dummy,,,false,mir-627-5p/mir-17-5p,dummy,
mirna,,mir-625-5p,false,mir-625-5p,Down,0.572157433715595
dummy,,,false,mir-625-5p/mir-106a-5p,dummy,
mirna,,mir-183-3p,false,mir-183-3p,Up,0.12091202879477
dummy,,,false,mir-183-3p/mir-130a-3p,dummy,
mirna,,mir-215-5p,false,mir-215-5p,Down,0.450941209449217
dummy,,,false,mir-215-5p/mir-192-5p,dummy,
mirna,,mir-589-3p,false,mir-589-3p,Up,0.126150540956684
dummy,,,false,mir-589-3p/mir-582-3p,dummy,
mirna,,mir-582-3p,false,mir-582-3p,Down,0.314488447330157
dummy,,,false,mir-582-3p/mir-18a-5p,dummy,
mirna,,mir-221-5p,false,mir-221-5p,Up,0.0490858924173014
dummy,,,false,mir-221-5p/mir-142-5p,dummy,
mirna,,mir-192-5p,false,mir-192-5p,Down,0.0803958209042905
dummy,,,false,mir-192-5p/mir-338-5p,dummy,
dummy,,,false,mir-221-5p/mir-215-5p,dummy,
mirna,,mir-153-3p,false,mir-153-3p,Down,0.00026324192368962
dummy,,,false,mir-153-3p/mir-29b-1-5p,dummy,
dummy,,,false,mir-106a-5p/mir-20b-5p,dummy,
mirna,,mir-135b-5p,false,mir-135b-5p,Up,5.28660332005104e-05
dummy,,,false,mir-135b-5p/mir-193b-3p,dummy,
mirna,,mir-143-3p,false,mir-143-3p,Down,0.0893240922835545
dummy,,,false,mir-143-3p/let-7c-5p,dummy,
dummy,,,false,mir-1-3p/mir-218-5p,dummy,
mirna,,mir-324-3p,false,mir-324-3p,Up,0.304820779855788
dummy,,,false,mir-324-3p/let-7c-5p,dummy,
dummy,,,false,mir-106b-5p/mir-218-5p,dummy,
mirna,,mir-130b-3p,false,mir-130b-3p,Up,0.220313478922527
dummy,,,false,mir-130b-3p/mir-32-3p,dummy,
mirna,,mir-335-3p,false,mir-335-3p,Up,0.0247774085189889
dummy,,,false,mir-335-3p/mir-31-5p,dummy,
mirna,,mir-671-5p,false,mir-671-5p,Up,0.17005467722345
dummy,,,false,mir-671-5p/mir-130a-5p,dummy,
dummy,,,false,mir-190a-5p/mir-125b-2-3p,dummy,
dummy,,,false,mir-335-5p/mir-301a-3p,dummy,
dummy,,,false,mir-103a-2-5p/mir-106a-5p,dummy,
mirna,,mir-500b-5p,false,mir-500b-5p,Down,0.454260336453029
dummy,,,false,mir-500b-5p/mir-550a-3p,dummy,
dummy,,,false,mir-627-5p/mir-7-1-3p,dummy,
mirna,,mir-376c-3p,false,mir-376c-3p,Down,0.743582320138979
dummy,,,false,mir-376c-3p/mir-221-5p,dummy,
dummy,,,false,mir-130b-3p/mir-182-5p,dummy,
dummy,,,false,mir-221-5p/mir-615-3p,dummy,
mirna,,mir-96-5p,false,mir-96-5p,Up,0.151923927204803
dummy,,,false,mir-96-5p/mir-129-5p,dummy,
dummy,,,false,mir-130b-3p/mir-129-5p,dummy,
mirna,,mir-105-5p,false,mir-105-5p,Up,0.00036719956735952
dummy,,,false,mir-105-5p/mir-182-5p,dummy,
dummy,,,false,mir-19a-3p/mir-139-3p,dummy,
mirna,,mir-363-3p,false,mir-363-3p,Down,0.0672002779872698
dummy,,,false,mir-363-3p/mir-615-3p,dummy,
dummy,,,false,mir-19a-3p/mir-615-3p,dummy,
dummy,,,false,mir-19a-3p/mir-155-5p,dummy,
mirna,,mir-129-5p,false,mir-129-5p,Down,1.63148570269129e-05
dummy,,,false,mir-129-5p/mir-9-3p,dummy,
mirna,,mir-219a-1-3p,false,mir-219a-1-3p,Up,0.0896520332107296
dummy,,,false,mir-219a-1-3p/mir-532-5p,dummy,
mirna,,mir-200b-3p,false,mir-200b-3p,Down,0.640217045091362
dummy,,,false,mir-200b-3p/mir-205-5p,dummy,
mirna,,mir-940,false,mir-940,Up,0.00588018389893562
dummy,,,false,mir-940/mir-18a-3p,dummy,
dummy,,,false,let-7f-5p/mir-335-5p,dummy,
dummy,,,false,mir-106b-5p/mir-148a-5p,dummy,
mirna,,mir-222-5p,false,mir-222-5p,Up,0.0282396828469628
dummy,,,false,mir-222-5p/mir-129-5p,dummy,
dummy,,,false,mir-17-5p/mir-96-5p,dummy,
mirna,,mir-145-5p,false,mir-145-5p,Down,0.0131515037997874
dummy,,,false,mir-145-5p/mir-9-5p,dummy,
mirna,,mir-203a-3p,false,mir-203a-3p,Down,0.979725449690497
dummy,,,false,mir-203a-3p/mir-205-5p,dummy,
mirna,,mir-99a-5p,false,mir-99a-5p,Down,0.0618221875328147
dummy,,,false,mir-99a-5p/mir-18a-5p,dummy,
mirna,,mir-425-5p,false,mir-425-5p,Up,0.779996097741154
