"info","is_mrna_tf","name","selected","shared name","updown"
"mirna",,"mir-20a-3p","false","mir-20a-3p","Down"
"dummy",,"","false","mir-20a-3p/mir-196a-5p","dummy"
"mirna",,"mir-23c","false","mir-23c","Down"
"dummy",,"","false","mir-23c/mir-30c-5p","dummy"
"mirna",,"mir-19b-3p","false","mir-19b-3p","Down"
"dummy",,"","false","mir-19b-3p/mir-130a-3p","dummy"
"mirna",,"mir-196a-5p","false","mir-196a-5p","Down"
"dummy",,"","false","mir-196a-5p/mir-582-5p","dummy"
"mirna",,"mir-320b","false","mir-320b","Down"
"dummy",,"","false","mir-320b/let-7c-5p","dummy"
"mirna",,"mir-27a-5p","false","mir-27a-5p","Down"
"dummy",,"","false","mir-27a-5p/mir-20a-5p","dummy"
"mirna",,"mir-455-3p","false","mir-455-3p","Down"
"dummy",,"","false","mir-455-3p/mir-378a-3p","dummy"
"mirna",,"mir-106a-5p","false","mir-106a-5p","Down"
"dummy",,"","false","mir-106a-5p/mir-582-5p","dummy"
"mirna",,"mir-203a-3p","false","mir-203a-3p","Down"
"dummy",,"","false","mir-203a-3p/mir-494-3p","dummy"
"mirna",,"mir-29b-3p","false","mir-29b-3p","Up"
"dummy",,"","false","mir-29b-3p/mir-20a-5p","dummy"
"mirna",,"mir-582-5p","false","mir-582-5p","Up"
"dummy",,"","false","mir-582-5p/mir-150-3p","dummy"
"mirna",,"mir-454-3p","false","mir-454-3p","Down"
"dummy",,"","false","mir-454-3p/mir-18a-5p","dummy"
"mirna",,"mir-19a-3p","false","mir-19a-3p","Down"
"dummy",,"","false","mir-19a-3p/mir-31-3p","dummy"
"mirna",,"mir-2355-5p","false","mir-2355-5p","Up"
"dummy",,"","false","mir-2355-5p/mir-18a-5p","dummy"
"mirna",,"mir-31-3p","false","mir-31-3p","Down"
"dummy",,"","false","mir-31-3p/mir-19b-3p","dummy"
"dummy",,"","false","mir-582-5p/mir-2355-5p","dummy"
"dummy",,"","false","mir-2355-5p/mir-19b-3p","dummy"
"dummy",,"","false","mir-19a-3p/mir-2355-5p","dummy"
"dummy",,"","false","mir-582-5p/mir-345-5p","dummy"
"dummy",,"","false","mir-31-3p/mir-18a-5p","dummy"
"mirna",,"mir-338-3p","false","mir-338-3p","Down"
"dummy",,"","false","mir-338-3p/mir-223-5p","dummy"
"mirna",,"mir-296-5p","false","mir-296-5p","Down"
"dummy",,"","false","mir-296-5p/mir-138-5p","dummy"
"mirna",,"mir-940","false","mir-940","Down"
"dummy",,"","false","mir-940/mir-224-5p","dummy"
"mirna",,"mir-3065-5p","false","mir-3065-5p","Down"
"dummy",,"","false","mir-3065-5p/mir-130a-3p","dummy"
"mirna",,"mir-9-5p","false","mir-9-5p","Down"
"dummy",,"","false","mir-9-5p/mir-193b-3p","dummy"
"dummy",,"","false","mir-196a-5p/mir-125b-2-3p","dummy"
"mirna",,"mir-584-5p","false","mir-584-5p","Up"
"dummy",,"","false","mir-584-5p/mir-378c","dummy"
"dummy",,"","false","mir-20a-3p/mir-589-3p","dummy"
"mirna",,"mir-183-5p","false","mir-183-5p","Up"
"dummy",,"","false","mir-183-5p/mir-192-3p","dummy"
"mirna",,"mir-182-5p","false","mir-182-5p","Up"
"dummy",,"","false","mir-182-5p/mir-200a-3p","dummy"
"dummy",,"","false","mir-320b/mir-222-5p","dummy"
"mirna",,"mir-30c-5p","false","mir-30c-5p","Up"
"dummy",,"","false","mir-30c-5p/mir-582-5p","dummy"
"dummy",,"","false","mir-19a-3p/mir-20a-5p","dummy"
"dummy",,"","false","mir-19b-3p/mir-19a-3p","dummy"
"dummy",,"","false","mir-183-5p/mir-24-2-5p","dummy"
"mirna",,"mir-410-3p","false","mir-410-3p","Down"
"dummy",,"","false","mir-410-3p/mir-200a-5p","dummy"
"mirna",,"mir-3065-3p","false","mir-3065-3p","Down"
"dummy",,"","false","mir-3065-3p/mir-7-5p","dummy"
"mirna",,"mir-378a-3p","false","mir-378a-3p","Up"
"dummy",,"","false","mir-378a-3p/mir-29c-3p","dummy"
"mirna",,"mir-210-3p","false","mir-210-3p","Up"
"dummy",,"","false","mir-210-3p/let-7c-5p","dummy"
"mirna",,"mir-130a-5p","false","mir-130a-5p","Down"
"dummy",,"","false","mir-130a-5p/let-7c-5p","dummy"
"mirna",,"mir-129-5p","false","mir-129-5p","Down"
"dummy",,"","false","mir-129-5p/mir-429","dummy"
"mirna",,"mir-30b-3p","false","mir-30b-3p","Up"
"dummy",,"","false","mir-30b-3p/mir-495-3p","dummy"
"mirna",,"mir-9-3p","false","mir-9-3p","Down"
"dummy",,"","false","mir-9-3p/mir-20b-5p","dummy"
"mirna",,"mir-148a-3p","false","mir-148a-3p","Up"
"dummy",,"","false","mir-148a-3p/mir-363-3p","dummy"
"mirna",,"mir-301b-3p","false","mir-301b-3p","Down"
"dummy",,"","false","mir-301b-3p/mir-642a-5p","dummy"
"mirna",,"mir-221-5p","false","mir-221-5p","Up"
"dummy",,"","false","mir-221-5p/mir-616-5p","dummy"
"mirna",,"mir-144-3p","false","mir-144-3p","Up"
"dummy",,"","false","mir-144-3p/mir-30c-5p","dummy"
"mirna",,"mir-589-3p","false","mir-589-3p","Up"
"dummy",,"","false","mir-589-3p/let-7c-5p","dummy"
