info,is_mrna_tf,name,selected,shared.name,updown,significance
mrna,true,ZBTB8B,false,ZBTB8B,down,
mrna,false,SAMD12,false,SAMD12,down,
mrna,true,ZNF621,false,ZNF621,down,
mrna,false,BTLA,false,BTLA,up,
mrna,false,SIK1,false,SIK1,down,
mrna,false,SLC24A4,false,SLC24A4,up,
mrna,false,RAB3IP,false,RAB3IP,down,
mrna,false,UBASH3B,false,UBASH3B,up,
mrna,false,CPEB4,false,CPEB4,down,
mrna,false,GNPNAT1,false,GNPNAT1,down,
mrna,false,ZMAT3,false,ZMAT3,down,
mrna,false,SEMA4C,false,SEMA4C,up,
mrna,true,CASZ1,false,CASZ1,down,
mrna,false,ESRP1,false,ESRP1,down,
mrna,true,BCL11A,false,BCL11A,up,
mrna,false,SUCO,false,SUCO,down,
mrna,false,TMEM245,false,TMEM245,down,
mrna,false,SLC19A2,false,SLC19A2,down,
mrna,false,ALDH1A2,false,ALDH1A2,down,
mrna,false,ULK1,false,ULK1,up,
mrna,true,ZNF711,false,ZNF711,down,
mrna,false,PAPPA,false,PAPPA,down,
mrna,true,MITF,false,MITF,down,
mrna,false,LDLR,false,LDLR,down,
mrna,false,ITPR1,false,ITPR1,down,
mrna,false,CCN1,false,CCN1,down,
mrna,false,IGFBP3,false,IGFBP3,up,
mrna,false,IGF1R,false,IGF1R,down,
mrna,false,GPM6B,false,GPM6B,down,
mrna,false,GALNT3,false,GALNT3,down,
mrna,false,CDH1,false,CDH1,down,
mirna,,mir-214-3p,false,mir-214-3p,down,2.10596113760834e-12
mirna,,mir-381-3p,false,mir-381-3p,down,0.00842066011523623
mirna,,mir-134-5p,false,mir-134-5p,down,0.0026705271280448
mirna,,mir-493-5p,false,mir-493-5p,down,1.37928805826532e-05
mirna,,mir-455-3p,false,mir-455-3p,up,0.859814537821747
mirna,,mir-616-5p,false,mir-616-5p,up,0.00048284603259485
mirna,,mir-326,false,mir-326,up,0.975502665547562
mirna,,mir-182-5p,false,mir-182-5p,down,0.0991293576132444
mirna,,mir-122-5p,false,mir-122-5p,up,2.14025696512547e-62
mirna,,mir-362-3p,false,mir-362-3p,down,0.00049475214537473
mirna,,mir-3065-3p,false,mir-3065-3p,down,2.65068712278355e-08
mirna,,mir-450b-5p,false,mir-450b-5p,up,0.230247467163856
mirna,,mir-452-3p,false,mir-452-3p,up,4.19401333484046e-11
mirna,,mir-150-5p,false,mir-150-5p,up,0.0170689907095438
mirna,,mir-589-3p,false,mir-589-3p,up,0.995964694941145
mirna,,mir-616-3p,false,mir-616-3p,up,0.00327882754865852
mirna,,mir-26a-1-3p,false,mir-26a-1-3p,down,2.36252264709917e-09
mirna,,mir-224-5p,false,mir-224-5p,up,1.03153453433243e-21
dummy,,,false,mir-192-5p/mir-214-3p,dummy,
dummy,,,false,mir-194-3p/mir-192-5p,dummy,
mirna,,mir-194-3p,false,mir-194-3p,down,0.509332188115095
dummy,,,false,mir-539-5p/mir-381-3p,dummy,
mirna,,mir-539-5p,false,mir-539-5p,down,6.93373994527132e-09
dummy,,,false,mir-452-5p/mir-134-5p,dummy,
dummy,,,false,mir-143-5p/mir-455-3p,dummy,
mirna,,mir-143-5p,false,mir-143-5p,up,0.495593473423212
dummy,,,false,mir-629-3p/mir-616-3p,dummy,
mirna,,mir-629-3p,false,mir-629-3p,up,1.29193975478257e-05
dummy,,,false,mir-183-5p/mir-455-3p,dummy,
mirna,,mir-183-5p,false,mir-183-5p,down,0.00140551371208743
dummy,,,false,mir-142-3p/mir-493-5p,dummy,
mirna,,mir-142-3p,false,mir-142-3p,up,3.20092438318819e-05
dummy,,,false,let-7f-5p/mir-192-5p,dummy,
mirna,,let-7f-5p,false,let-7f-5p,down,0.566709554353403
dummy,,,false,mir-181d-5p/mir-155-5p,dummy,
mirna,,mir-181d-5p,false,mir-181d-5p,up,0.0004210894222551
dummy,,,false,mir-155-5p/mir-455-3p,dummy,
dummy,,,false,mir-340-5p/mir-616-5p,dummy,
dummy,,,false,mir-222-5p/mir-362-3p,dummy,
mirna,,mir-222-5p,false,mir-222-5p,up,0.0887430900364403
dummy,,,false,mir-100-5p/mir-326,dummy,
dummy,,,false,mir-18a-5p/mir-223-5p,dummy,
mirna,,mir-18a-5p,false,mir-18a-5p,up,0.00065951988861591
dummy,,,false,mir-199a-3p/mir-182-5p,dummy,
mirna,,mir-199a-3p,false,mir-199a-3p,down,3.36613682722652e-05
dummy,,,false,mir-142-5p/mir-194-3p,dummy,
mirna,,mir-142-5p,false,mir-142-5p,up,5.16267666625075e-09
dummy,,,false,mir-424-5p/mir-340-5p,dummy,
mirna,,mir-424-5p,false,mir-424-5p,down,0.821534998718057
dummy,,,false,mir-215-5p/mir-122-5p,dummy,
mirna,,mir-215-5p,false,mir-215-5p,up,3.75689929708068e-06
dummy,,,false,mir-146b-5p/mir-192-5p,dummy,
dummy,,,false,mir-192-5p/mir-122-5p,dummy,
mirna,,mir-192-5p,false,mir-192-5p,up,0.512163534243556
dummy,,,false,mir-155-5p/mir-362-3p,dummy,
dummy,,,false,mir-146b-5p/mir-3065-3p,dummy,
mirna,,mir-146b-5p,false,mir-146b-5p,up,0.00067393365800186
dummy,,,false,mir-141-5p/mir-450b-5p,dummy,
dummy,,,false,mir-141-5p/mir-629-3p,dummy,
mirna,,mir-141-5p,false,mir-141-5p,down,2.87329165110764e-68
dummy,,,false,mir-100-5p/mir-452-5p,dummy,
mirna,,mir-100-5p,false,mir-100-5p,down,0.960172410794639
dummy,,,false,mir-340-5p/mir-155-5p,dummy,
dummy,,,false,mir-223-5p/mir-452-3p,dummy,
mirna,,mir-223-5p,false,mir-223-5p,up,0.00010213061535366
dummy,,,false,mir-204-5p/mir-150-5p,dummy,
mirna,,mir-204-5p,false,mir-204-5p,down,9.29127013204704e-06
dummy,,,false,mir-340-5p/mir-589-3p,dummy,
dummy,,,false,mir-155-5p/mir-616-3p,dummy,
mirna,,mir-155-5p,false,mir-155-5p,up,5.40542274160442e-18
dummy,,,false,mir-511-5p/mir-26a-1-3p,dummy,
mirna,,mir-511-5p,false,mir-511-5p,down,0.669884894195626
dummy,,,false,mir-340-5p/mir-224-5p,dummy,
dummy,,,false,mir-452-5p/mir-340-5p,dummy,
mirna,,mir-452-5p,false,mir-452-5p,up,1.76601226675337e-10
dummy,,,false,mir-146a-5p/mir-629-3p,dummy,
mirna,,mir-146a-5p,false,mir-146a-5p,up,0.0026377882342123
dummy,,,false,mir-340-5p/mir-629-3p,dummy,
mirna,,mir-340-5p,false,mir-340-5p,up,0.00010043065094235
dummy,,,false,mir-34c-5p/mir-629-3p,dummy,
mirna,,mir-34c-5p,false,mir-34c-5p,up,0.329465035976838
