source;target
mir-141-5p;mir-141-5p/mir-145-5p
mir-196b-5p;mir-196b-5p/mir-589-3p
mir-570-3p;mir-570-3p/mir-135a-5p
mir-23b-5p;mir-23b-5p/mir-23a-5p
mir-940;mir-940/mir-16-2-3p
mir-214-5p;mir-214-5p/mir-940
mir-450b-5p;mir-450b-5p/mir-195-5p
mir-382-5p;mir-382-5p/mir-937-3p
mir-3065-5p;mir-3065-5p/mir-382-5p
mir-450b-5p;mir-450b-5p/mir-497-5p
mir-570-3p;mir-570-3p/mir-205-5p
mir-194-5p;mir-194-5p/mir-138-5p
mir-92a-1-5p;mir-92a-1-5p/mir-141-3p
mir-133a-3p;mir-133a-3p/mir-493-3p
mir-424-5p;mir-424-5p/mir-497-5p
let-7c-5p;let-7c-5p/mir-296-5p
mir-194-3p;mir-194-3p/mir-378a-3p
mir-939-5p;mir-939-5p/mir-221-5p
mir-379-5p;mir-379-5p/mir-150-5p
mir-10a-3p;mir-10a-3p/mir-362-5p
mir-205-5p;mir-205-5p/mir-16-2-3p
mir-34c-3p;mir-34c-3p/mir-146b-3p
mir-874-3p;mir-874-3p/mir-141-3p
mir-589-3p;mir-589-3p/mir-146a-5p
mir-148a-5p;mir-148a-5p/mir-9-5p
mir-149-5p;mir-149-5p/mir-195-5p
mir-296-5p;mir-296-5p/mir-486-3p
mir-30c-1-3p;mir-30c-1-3p/mir-106a-5p
mir-205-5p;mir-205-5p/mir-30c-1-3p
mir-30c-1-3p;mir-30c-1-3p/mir-421
mir-141-5p;mir-141-5p/mir-129-5p
mir-335-3p;mir-335-3p/mir-138-5p
mir-378a-5p;mir-378a-5p/mir-145-5p
mir-4326;mir-4326/mir-23a-5p
mir-338-3p;mir-338-3p/mir-9-5p
mir-146a-5p;mir-146a-5p/mir-149-5p
mir-182-5p;mir-182-5p/mir-141-5p
mir-139-5p;mir-139-5p/mir-10a-3p
mir-1226-3p;mir-1226-3p/mir-424-5p
mir-584-5p;mir-584-5p/mir-135b-5p
mir-642a-5p;mir-642a-5p/mir-326
mir-187-3p;mir-187-3p/mir-185-3p
mir-135b-5p;mir-135b-5p/mir-139-5p
mir-9-5p;mir-9-5p/mir-3613-5p
mir-106a-5p;mir-106a-5p/mir-141-3p
mir-589-3p;mir-589-3p/mir-125b-2-3p
mir-589-3p;mir-589-3p/mir-296-5p
mir-378a-3p;mir-378a-3p/mir-296-5p
mir-424-5p;mir-424-5p/mir-497-5p
mir-1229-3p;mir-1229-3p/mir-424-5p
mir-629-3p;mir-629-3p/mir-502-5p
mir-491-5p;mir-491-5p/mir-550a-5p
let-7c-5p;let-7c-5p/mir-192-5p
mir-598-3p;mir-598-3p/mir-143-5p
mir-616-5p;mir-616-5p/mir-409-3p
mir-141-5p;mir-141-5p/mir-96-5p
mir-16-2-3p;mir-16-2-3p/mir-145-3p
mir-502-5p;mir-502-5p/mir-940
mir-424-5p;mir-424-5p/mir-874-3p
mir-195-5p;mir-195-5p/mir-9-5p
mir-19a-3p;mir-19a-3p/mir-215-5p
mir-192-5p;mir-192-5p/mir-19a-3p
mir-192-5p;mir-192-5p/mir-215-5p
mir-145-5p;mir-141-5p/mir-145-5p
mir-589-3p;mir-196b-5p/mir-589-3p
mir-135a-5p;mir-570-3p/mir-135a-5p
mir-23a-5p;mir-23b-5p/mir-23a-5p
mir-16-2-3p;mir-940/mir-16-2-3p
mir-940;mir-214-5p/mir-940
mir-195-5p;mir-450b-5p/mir-195-5p
mir-937-3p;mir-382-5p/mir-937-3p
mir-382-5p;mir-3065-5p/mir-382-5p
mir-497-5p;mir-450b-5p/mir-497-5p
mir-205-5p;mir-570-3p/mir-205-5p
mir-138-5p;mir-194-5p/mir-138-5p
mir-141-3p;mir-92a-1-5p/mir-141-3p
mir-493-3p;mir-133a-3p/mir-493-3p
mir-497-5p;mir-424-5p/mir-497-5p
mir-296-5p;let-7c-5p/mir-296-5p
mir-378a-3p;mir-194-3p/mir-378a-3p
mir-221-5p;mir-939-5p/mir-221-5p
mir-150-5p;mir-379-5p/mir-150-5p
mir-362-5p;mir-10a-3p/mir-362-5p
mir-16-2-3p;mir-205-5p/mir-16-2-3p
mir-146b-3p;mir-34c-3p/mir-146b-3p
mir-141-3p;mir-874-3p/mir-141-3p
mir-146a-5p;mir-589-3p/mir-146a-5p
mir-9-5p;mir-148a-5p/mir-9-5p
mir-195-5p;mir-149-5p/mir-195-5p
mir-486-3p;mir-296-5p/mir-486-3p
mir-106a-5p;mir-30c-1-3p/mir-106a-5p
mir-30c-1-3p;mir-205-5p/mir-30c-1-3p
mir-421;mir-30c-1-3p/mir-421
mir-129-5p;mir-141-5p/mir-129-5p
mir-138-5p;mir-335-3p/mir-138-5p
mir-145-5p;mir-378a-5p/mir-145-5p
mir-23a-5p;mir-4326/mir-23a-5p
mir-9-5p;mir-338-3p/mir-9-5p
mir-149-5p;mir-146a-5p/mir-149-5p
mir-141-5p;mir-182-5p/mir-141-5p
