info,is_mrna_tf,name,selected,shared.name,updown,significance
mirna,,mir-30a-5p,false,mir-30a-5p,up,0.804283539
dummy,,,false,mir-30a-5p/mir-335-3p,,
mirna,,mir-548b-3p,false,mir-548b-3p,up,0.013257122
dummy,,,false,mir-548b-3p/mir-744-3p,,
mirna,,mir-7-5p,false,mir-7-5p,up,5.84e-05
dummy,,,false,mir-7-5p/mir-1-3p,,
mirna,,mir-146b-5p,false,mir-146b-5p,up,6.66e-06
dummy,,,false,mir-146b-5p/mir-129-5p,,
mirna,,mir-654-5p,false,mir-654-5p,up,0.759306739
dummy,,,false,mir-654-5p/mir-146a-5p,,
mirna,,mir-874-3p,false,mir-874-3p,down,0.033462237
dummy,,,false,mir-874-3p/mir-22-5p,,
mirna,,mir-224-3p,false,mir-224-3p,up,1.89e-07
dummy,,,false,mir-224-3p/mir-548v,,
mirna,,mir-299-5p,false,mir-299-5p,down,0.000187
dummy,,,false,mir-299-5p/mir-301b-3p,,
dummy,,,false,mir-146b-5p/mir-224-5p,,
mirna,,mir-377-3p,false,mir-377-3p,down,0.020329443
dummy,,,false,mir-377-3p/mir-222-5p,,
dummy,,,false,mir-30a-5p/mir-486-5p,,
mirna,,mir-18a-5p,false,mir-18a-5p,up,3.95e-05
dummy,,,false,mir-18a-5p/mir-193b-3p,,
mirna,,mir-939-5p,false,mir-939-5p,up,4.79e-05
dummy,,,false,mir-939-5p/mir-10a-3p,,
mirna,,mir-653-5p,false,mir-653-5p,up,0.064270177
dummy,,,false,mir-653-5p/mir-127-3p,,
dummy,,,false,mir-7-5p/mir-378a-3p,,
mirna,,mir-30c-2-3p,false,mir-30c-2-3p,down,0.012599225
dummy,,,false,mir-30c-2-3p/mir-200a-3p,,
mirna,,mir-145-5p,false,mir-145-5p,down,1.92e-06
dummy,,,false,mir-145-5p/mir-940,,
mirna,,mir-940,false,mir-940,up,2.2e-07
dummy,,,false,mir-940/mir-130a-3p,,
mirna,,mir-17-5p,false,mir-17-5p,up,0.004778207
dummy,,,false,mir-17-5p/mir-20a-5p,,
mirna,,mir-885-5p,false,mir-885-5p,up,0.765171982
dummy,,,false,mir-885-5p/mir-378a-3p,,
mirna,,mir-362-5p,false,mir-362-5p,up,0.002892591
dummy,,,false,mir-362-5p/mir-616-5p,,
mirna,,mir-342-3p,false,mir-342-3p,down,0.223682553
dummy,,,false,mir-342-3p/mir-625-5p,,
mirna,,mir-92b-3p,false,mir-92b-3p,up,0.000303
dummy,,,false,mir-92b-3p/mir-130a-3p,,
dummy,,,false,mir-7-5p/mir-143-3p,,
mirna,,mir-20a-5p,false,mir-20a-5p,up,0.131934661
dummy,,,false,mir-20a-5p/mir-19a-3p,,
mirna,,mir-497-5p,false,mir-497-5p,down,0.002379496
dummy,,,false,mir-497-5p/mir-942-5p,,
mirna,,mir-200b-3p,false,mir-200b-3p,up,0.246508115
dummy,,,false,mir-200b-3p/mir-130b-3p,,
mirna,,mir-3065-3p,false,mir-3065-3p,up,0.014728926
dummy,,,false,mir-3065-3p/mir-199a-5p,,
mirna,,mir-21-3p,false,mir-21-3p,down,0.285949913
dummy,,,false,mir-21-3p/mir-501-5p,,
mirna,,mir-301b-3p,false,mir-301b-3p,up,5.31e-06
dummy,,,false,mir-301b-3p/mir-146b-5p,,
mirna,,mir-19b-3p,false,mir-19b-3p,down,0.739734879
