info,is_mrna_tf,name,selected,shared.name,updown,significance
mirna,,mir-33a-3p,false,mir-33a-3p,Up,0.27633165893703
dummy,,,false,mir-33a-3p/mir-106a-5p,dummy,
mirna,,let-7f-5p,false,let-7f-5p,Down,0.00019080756298252
dummy,,,false,let-7f-5p/mir-19a-3p,dummy,
mirna,,mir-203a-3p,false,mir-203a-3p,Down,0.584518384064673
dummy,,,false,mir-203a-3p/mir-3940-3p,dummy,
mirna,,mir-223-5p,false,mir-223-5p,Down,0.00498753209061271
dummy,,,false,mir-223-5p/mir-31-5p,dummy,
mirna,,mir-642a-5p,false,mir-642a-5p,Up,0.00041036207646394
dummy,,,false,mir-642a-5p/mir-411-3p,dummy,
dummy,,,false,let-7f-5p/mir-424-5p,dummy,
mirna,,mir-301a-3p,false,mir-301a-3p,Up,7.22277940924562e-14
dummy,,,false,mir-301a-3p/mir-130a-3p,dummy,
dummy,,,false,let-7f-5p/mir-20a-5p,dummy,
mirna,,mir-20a-5p,false,mir-20a-5p,Up,0.003902550290259
dummy,,,false,mir-20a-5p/mir-345-5p,dummy,
mirna,,mir-19a-3p,false,mir-19a-3p,Up,2.06856521144369e-06
dummy,,,false,mir-19a-3p/mir-345-5p,dummy,
mirna,,mir-324-5p,false,mir-324-5p,Up,8.8891853496199e-05
dummy,,,false,mir-324-5p/mir-548b-3p,dummy,
mirna,,mir-29b-3p,false,mir-29b-3p,Up,0.00161239760580443
dummy,,,false,mir-29b-3p/mir-221-5p,dummy,
dummy,,,false,mir-29b-3p/let-7f-5p,dummy,
mirna,,mir-33a-5p,false,mir-33a-5p,Up,1.8089961851049e-17
dummy,,,false,mir-33a-5p/mir-29b-2-5p,dummy,
mirna,,mir-503-5p,false,mir-503-5p,Up,1.22785823077923e-11
dummy,,,false,mir-503-5p/mir-193b-3p,dummy,
mirna,,mir-616-5p,false,mir-616-5p,Up,3.07968521071688e-12
dummy,,,false,mir-616-5p/mir-200a-3p,dummy,
mirna,,mir-193b-3p,false,mir-193b-3p,Up,2.9788971844066e-05
dummy,,,false,mir-193b-3p/mir-200a-3p,dummy,
mirna,,mir-1229-3p,false,mir-1229-3p,Up,0.00443542135513337
dummy,,,false,mir-1229-3p/mir-503-5p,dummy,
dummy,,,false,mir-301a-3p/mir-629-3p,dummy,
mirna,,mir-629-3p,false,mir-629-3p,Up,3.22003056504993e-10
dummy,,,false,mir-629-3p/mir-301b-3p,dummy,
mirna,,mir-29a-5p,false,mir-29a-5p,Up,4.87612413836891e-09
dummy,,,false,mir-29a-5p/mir-1229-3p,dummy,
mirna,,mir-744-3p,false,mir-744-3p,Up,8.92967123687985e-09
dummy,,,false,mir-744-3p/let-7f-5p,dummy,
mirna,,mir-200a-3p,false,mir-200a-3p,Up,2.73443607145992e-06
dummy,,,false,mir-200a-3p/mir-32-3p,dummy,
mirna,,mir-500a-5p,false,mir-500a-5p,Up,0.151306430196955
dummy,,,false,mir-500a-5p/mir-32-3p,dummy,
mirna,,mir-7-5p,false,mir-7-5p,Up,0.0248373007141667
dummy,,,false,mir-7-5p/mir-455-3p,dummy,
dummy,,,false,let-7f-5p/mir-328-3p,dummy,
dummy,,,false,let-7f-5p/mir-629-3p,dummy,
mirna,,mir-145-5p,false,mir-145-5p,Down,0.00944846118265879
dummy,,,false,mir-145-5p/let-7f-5p,dummy,
mirna,,mir-500b-5p,false,mir-500b-5p,Up,0.151316410886148
dummy,,,false,mir-500b-5p/mir-616-5p,dummy,
mirna,,mir-424-5p,false,mir-424-5p,Up,0.0014227641426492
dummy,,,false,mir-424-5p/mir-550a-3p,dummy,
dummy,,,false,mir-29a-5p/mir-20a-3p,dummy,
mirna,,mir-340-5p,false,mir-340-5p,Down,0.0143756352283871
dummy,,,false,mir-340-5p/mir-19a-3p,dummy,
dummy,,,false,mir-145-5p/mir-20a-3p,dummy,
mirna,,mir-671-5p,false,mir-671-5p,Up,1.04922070131052e-13
dummy,,,false,mir-671-5p/mir-20a-3p,dummy,
mirna,,let-7g-3p,false,let-7g-3p,Up,5.54455446076e-11
dummy,,,false,let-7g-3p/mir-20b-5p,dummy,
mirna,,mir-589-3p,false,mir-589-3p,Up,4.03471465830816e-06
dummy,,,false,mir-589-3p/mir-455-3p,dummy,
mirna,,mir-196b-5p,false,mir-196b-5p,Up,1.11732647667097e-08
dummy,,,false,mir-196b-5p/let-7c-5p,dummy,
mirna,,mir-362-5p,false,mir-362-5p,Up,0.0579728830727887
dummy,,,false,mir-362-5p/mir-548e-3p,dummy,
mirna,,mir-505-5p,false,mir-505-5p,Up,0.0002847701998638
dummy,,,false,mir-505-5p/mir-301a-3p,dummy,
mirna,,mir-224-3p,false,mir-224-3p,Up,0.00545352608927811
dummy,,,false,mir-224-3p/mir-301a-3p,dummy,
mirna,,mir-3200-3p,false,mir-3200-3p,Up,0.00395187025692332
dummy,,,false,mir-3200-3p/mir-20a-3p,dummy,
dummy,,,false,mir-301a-3p/mir-301b-3p,dummy,
mirna,,mir-1269a,false,mir-1269a,Up,1.87741123989794e-09
dummy,,,false,mir-1269a/mir-20a-5p,dummy,
mirna,,mir-222-5p,false,mir-222-5p,Down,0.641816955102091
dummy,,,false,mir-222-5p/mir-616-5p,dummy,
dummy,,,false,mir-340-5p/mir-93-3p,dummy,
mirna,,mir-326,false,mir-326,Down,0.249333269147221
dummy,,,false,mir-326/mir-30a-3p,dummy,
mirna,,mir-143-3p,false,mir-143-3p,Down,4.78218813741938e-07
dummy,,,false,mir-143-3p/mir-30b-5p,dummy,
mirna,,mir-214-3p,false,mir-214-3p,Down,0.252992102043142
dummy,,,false,mir-214-3p/mir-106a-5p,dummy,
mirna,,mir-34c-5p,false,mir-34c-5p,Down,0.00255700475053708
dummy,,,false,mir-34c-5p/mir-33b-5p,dummy,
mirna,,mir-320d,false,mir-320d,Up,0.210671208635203
dummy,,,false,mir-320d/mir-363-3p,dummy,
mirna,,mir-3065-3p,false,mir-3065-3p,Down,0.0840118515476391
dummy,,,false,mir-3065-3p/mir-424-5p,dummy,
mirna,,mir-3613-3p,false,mir-3613-3p,Down,0.738151096272359
dummy,,,false,mir-3613-3p/mir-20a-5p,dummy,
mirna,,mir-342-3p,false,mir-342-3p,Down,0.624686115850777
dummy,,,false,mir-342-3p/mir-7-5p,dummy,
dummy,,,false,let-7f-5p/mir-455-3p,dummy,
dummy,,,false,mir-33a-5p/mir-200a-3p,dummy,
mirna,,mir-30b-5p,false,mir-30b-5p,Down,0.146867648346259
dummy,,,false,mir-30b-5p/mir-130a-3p,dummy,
dummy,,,false,mir-671-5p/mir-192-3p,dummy,
mirna,,mir-93-3p,false,mir-93-3p,Up,1.09625607539855e-05
dummy,,,false,mir-93-3p/mir-29a-5p,dummy,
mirna,,mir-301b-3p,false,mir-301b-3p,Up,1.23948525996235e-13
dummy,,,false,mir-301b-3p/mir-338-3p,dummy,
mirna,,mir-769-3p,false,mir-769-3p,Up,0.0248403368868253
dummy,,,false,mir-769-3p/mir-338-5p,dummy,
dummy,,,false,mir-324-5p/mir-93-3p,dummy,
dummy,,,false,mir-33a-5p/mir-324-5p,dummy,
mirna,,mir-654-5p,false,mir-654-5p,Up,0.11664979690754
