source;target
mir-33a-3p;mir-33a-3p/mir-106a-5p
let-7f-5p;let-7f-5p/mir-19a-3p
mir-203a-3p;mir-203a-3p/mir-3940-3p
mir-223-5p;mir-223-5p/mir-31-5p
mir-642a-5p;mir-642a-5p/mir-411-3p
let-7f-5p;let-7f-5p/mir-424-5p
mir-301a-3p;mir-301a-3p/mir-130a-3p
let-7f-5p;let-7f-5p/mir-20a-5p
mir-20a-5p;mir-20a-5p/mir-345-5p
mir-19a-3p;mir-19a-3p/mir-345-5p
mir-324-5p;mir-324-5p/mir-548b-3p
mir-29b-3p;mir-29b-3p/mir-221-5p
mir-29b-3p;mir-29b-3p/let-7f-5p
mir-33a-5p;mir-33a-5p/mir-29b-2-5p
mir-503-5p;mir-503-5p/mir-193b-3p
mir-616-5p;mir-616-5p/mir-200a-3p
mir-193b-3p;mir-193b-3p/mir-200a-3p
mir-1229-3p;mir-1229-3p/mir-503-5p
let-7f-5p;let-7f-5p/mir-20a-5p
mir-301a-3p;mir-301a-3p/mir-629-3p
mir-629-3p;mir-629-3p/mir-301b-3p
mir-29a-5p;mir-29a-5p/mir-1229-3p
mir-744-3p;mir-744-3p/let-7f-5p
mir-200a-3p;mir-200a-3p/mir-32-3p
mir-500a-5p;mir-500a-5p/mir-32-3p
mir-7-5p;mir-7-5p/mir-455-3p
let-7f-5p;let-7f-5p/mir-328-3p
let-7f-5p;let-7f-5p/mir-629-3p
mir-145-5p;mir-145-5p/let-7f-5p
mir-500b-5p;mir-500b-5p/mir-616-5p
let-7f-5p;let-7f-5p/mir-424-5p
mir-424-5p;mir-424-5p/mir-550a-3p
mir-29a-5p;mir-29a-5p/mir-20a-3p
mir-340-5p;mir-340-5p/mir-19a-3p
mir-145-5p;mir-145-5p/mir-20a-3p
mir-671-5p;mir-671-5p/mir-20a-3p
let-7g-3p;let-7g-3p/mir-20b-5p
mir-589-3p;mir-589-3p/mir-455-3p
mir-196b-5p;mir-196b-5p/let-7c-5p
mir-362-5p;mir-362-5p/mir-548e-3p
mir-505-5p;mir-505-5p/mir-301a-3p
mir-224-3p;mir-224-3p/mir-301a-3p
mir-3200-3p;mir-3200-3p/mir-20a-3p
mir-301a-3p;mir-301a-3p/mir-301b-3p
mir-1269a;mir-1269a/mir-20a-5p
let-7f-5p;let-7f-5p/mir-629-3p
mir-222-5p;mir-222-5p/mir-616-5p
mir-340-5p;mir-340-5p/mir-93-3p
mir-326;mir-326/mir-30a-3p
mir-143-3p;mir-143-3p/mir-30b-5p
mir-214-3p;mir-214-3p/mir-106a-5p
mir-34c-5p;mir-34c-5p/mir-33b-5p
let-7f-5p;let-7f-5p/mir-629-3p
mir-320d;mir-320d/mir-363-3p
mir-3065-3p;mir-3065-3p/mir-424-5p
mir-3613-3p;mir-3613-3p/mir-20a-5p
mir-342-3p;mir-342-3p/mir-7-5p
let-7f-5p;let-7f-5p/mir-455-3p
mir-33a-5p;mir-33a-5p/mir-200a-3p
mir-30b-5p;mir-30b-5p/mir-130a-3p
mir-671-5p;mir-671-5p/mir-192-3p
mir-93-3p;mir-93-3p/mir-29a-5p
mir-301b-3p;mir-301b-3p/mir-338-3p
mir-769-3p;mir-769-3p/mir-338-5p
mir-324-5p;mir-324-5p/mir-93-3p
mir-33a-5p;mir-33a-5p/mir-324-5p
mir-654-5p;mir-654-5p/mir-411-5p
mir-143-3p;mir-143-3p/mir-20b-5p
let-7f-5p;let-7f-5p/mir-142-3p
mir-221-5p;mir-221-5p/mir-4326
mir-30b-5p;mir-30b-5p/mir-429
mir-32-3p;mir-32-3p/mir-324-5p
mir-93-3p;mir-93-3p/mir-1226-3p
mir-452-5p;mir-452-5p/mir-106a-5p
mir-29b-2-5p;mir-29b-2-5p/mir-192-5p
let-7f-5p;let-7f-5p/mir-20a-5p
mir-429;mir-429/mir-18a-3p
mir-769-3p;mir-769-3p/mir-362-3p
let-7f-5p;let-7f-5p/mir-33a-5p
mir-342-3p;mir-342-3p/mir-221-5p
let-7f-5p;let-7f-5p/mir-221-5p
mir-449a;mir-449a/mir-221-5p
mir-215-5p;mir-215-5p/mir-192-5p
mir-215-5p;mir-215-5p/mir-194-3p
mir-106a-5p;mir-33a-3p/mir-106a-5p
mir-19a-3p;let-7f-5p/mir-19a-3p
mir-3940-3p;mir-203a-3p/mir-3940-3p
mir-31-5p;mir-223-5p/mir-31-5p
mir-411-3p;mir-642a-5p/mir-411-3p
mir-424-5p;let-7f-5p/mir-424-5p
mir-130a-3p;mir-301a-3p/mir-130a-3p
mir-20a-5p;let-7f-5p/mir-20a-5p
mir-345-5p;mir-20a-5p/mir-345-5p
mir-345-5p;mir-19a-3p/mir-345-5p
mir-548b-3p;mir-324-5p/mir-548b-3p
mir-221-5p;mir-29b-3p/mir-221-5p
let-7f-5p;mir-29b-3p/let-7f-5p
mir-29b-2-5p;mir-33a-5p/mir-29b-2-5p
mir-193b-3p;mir-503-5p/mir-193b-3p
mir-200a-3p;mir-616-5p/mir-200a-3p
mir-200a-3p;mir-193b-3p/mir-200a-3p
mir-503-5p;mir-1229-3p/mir-503-5p
mir-20a-5p;let-7f-5p/mir-20a-5p
mir-629-3p;mir-301a-3p/mir-629-3p
mir-301b-3p;mir-629-3p/mir-301b-3p
mir-1229-3p;mir-29a-5p/mir-1229-3p
let-7f-5p;mir-744-3p/let-7f-5p
mir-32-3p;mir-200a-3p/mir-32-3p
mir-32-3p;mir-500a-5p/mir-32-3p
mir-455-3p;mir-7-5p/mir-455-3p
mir-328-3p;let-7f-5p/mir-328-3p
mir-629-3p;let-7f-5p/mir-629-3p
let-7f-5p;mir-145-5p/let-7f-5p
mir-616-5p;mir-500b-5p/mir-616-5p
mir-424-5p;let-7f-5p/mir-424-5p
mir-550a-3p;mir-424-5p/mir-550a-3p
mir-20a-3p;mir-29a-5p/mir-20a-3p
mir-19a-3p;mir-340-5p/mir-19a-3p
mir-20a-3p;mir-145-5p/mir-20a-3p
mir-20a-3p;mir-671-5p/mir-20a-3p
mir-20b-5p;let-7g-3p/mir-20b-5p
mir-455-3p;mir-589-3p/mir-455-3p
let-7c-5p;mir-196b-5p/let-7c-5p
mir-548e-3p;mir-362-5p/mir-548e-3p
mir-301a-3p;mir-505-5p/mir-301a-3p
mir-301a-3p;mir-224-3p/mir-301a-3p
mir-20a-3p;mir-3200-3p/mir-20a-3p
mir-301b-3p;mir-301a-3p/mir-301b-3p
mir-20a-5p;mir-1269a/mir-20a-5p
mir-629-3p;let-7f-5p/mir-629-3p
mir-616-5p;mir-222-5p/mir-616-5p
mir-93-3p;mir-340-5p/mir-93-3p
mir-30a-3p;mir-326/mir-30a-3p
mir-30b-5p;mir-143-3p/mir-30b-5p
mir-106a-5p;mir-214-3p/mir-106a-5p
mir-33b-5p;mir-34c-5p/mir-33b-5p
mir-629-3p;let-7f-5p/mir-629-3p
mir-363-3p;mir-320d/mir-363-3p
mir-424-5p;mir-3065-3p/mir-424-5p
mir-20a-5p;mir-3613-3p/mir-20a-5p
mir-7-5p;mir-342-3p/mir-7-5p
mir-455-3p;let-7f-5p/mir-455-3p
mir-200a-3p;mir-33a-5p/mir-200a-3p
mir-130a-3p;mir-30b-5p/mir-130a-3p
mir-192-3p;mir-671-5p/mir-192-3p
mir-29a-5p;mir-93-3p/mir-29a-5p
mir-338-3p;mir-301b-3p/mir-338-3p
mir-338-5p;mir-769-3p/mir-338-5p
mir-93-3p;mir-324-5p/mir-93-3p
mir-324-5p;mir-33a-5p/mir-324-5p
mir-411-5p;mir-654-5p/mir-411-5p
mir-20b-5p;mir-143-3p/mir-20b-5p
mir-142-3p;let-7f-5p/mir-142-3p
mir-4326;mir-221-5p/mir-4326
mir-429;mir-30b-5p/mir-429
mir-324-5p;mir-32-3p/mir-324-5p
mir-1226-3p;mir-93-3p/mir-1226-3p
mir-106a-5p;mir-452-5p/mir-106a-5p
mir-192-5p;mir-29b-2-5p/mir-192-5p
mir-20a-5p;let-7f-5p/mir-20a-5p
mir-18a-3p;mir-429/mir-18a-3p
mir-362-3p;mir-769-3p/mir-362-3p
mir-33a-5p;let-7f-5p/mir-33a-5p
mir-221-5p;mir-342-3p/mir-221-5p
mir-221-5p;let-7f-5p/mir-221-5p
mir-221-5p;mir-449a/mir-221-5p
mir-192-5p;mir-215-5p/mir-192-5p
mir-194-3p;mir-215-5p/mir-194-3p
mir-33a-3p/mir-106a-5p;ABCA1
let-7f-5p/mir-19a-3p;ALOX5
mir-203a-3p/mir-3940-3p;BIRC5
mir-223-5p/mir-31-5p;AR
mir-642a-5p/mir-411-3p;RHOB
let-7f-5p/mir-424-5p;ZFHX3
mir-301a-3p/mir-130a-3p;BMP6
let-7f-5p/mir-20a-5p;DST
mir-20a-5p/mir-345-5p;CCND2
mir-19a-3p/mir-345-5p;CCND2
mir-324-5p/mir-548b-3p;CCND2
mir-29b-3p/mir-221-5p;COL4A1
mir-29b-3p/let-7f-5p;COL15A1
mir-33a-5p/mir-29b-2-5p;DSC3
mir-503-5p/mir-193b-3p;EFNB2
mir-616-5p/mir-200a-3p;EGFR
mir-193b-3p/mir-200a-3p;EPHA2
mir-1229-3p/mir-503-5p;EPB41L2
let-7f-5p/mir-20a-5p;EPHA4
mir-301a-3p/mir-629-3p;EREG
mir-629-3p/mir-301b-3p;EREG
mir-29a-5p/mir-1229-3p;ETS1
mir-744-3p/let-7f-5p;FAT1
mir-200a-3p/mir-32-3p;FOXC1
mir-500a-5p/mir-32-3p;FOXC1
mir-7-5p/mir-455-3p;GGCX
let-7f-5p/mir-328-3p;H2AX
let-7f-5p/mir-629-3p;HTT
mir-145-5p/let-7f-5p;HMGA1
mir-500b-5p/mir-616-5p;TNC
let-7f-5p/mir-424-5p;IGF1R
mir-424-5p/mir-550a-3p;ITGA2
mir-29a-5p/mir-20a-3p;ITGB8
mir-340-5p/mir-19a-3p;ITGB8
mir-145-5p/mir-20a-3p;ITGB8
mir-671-5p/mir-20a-3p;ITGB8
let-7g-3p/mir-20b-5p;KCNB1
mir-589-3p/mir-455-3p;MAP1B
mir-196b-5p/let-7c-5p;MT-ND5
mir-362-5p/mir-548e-3p;NFIA
mir-505-5p/mir-301a-3p;NPTX1
mir-224-3p/mir-301a-3p;NPTX1
mir-3200-3p/mir-20a-3p;PABPC3
mir-301a-3p/mir-301b-3p;RORB
mir-1269a/mir-20a-5p;RORB
let-7f-5p/mir-629-3p;SCD
mir-222-5p/mir-616-5p;SOX11
mir-340-5p/mir-93-3p;TNS1
mir-326/mir-30a-3p;ZIC2
mir-143-3p/mir-30b-5p;ZNF711
mir-214-3p/mir-106a-5p;BTG2
mir-34c-5p/mir-33b-5p;ADAM12
let-7f-5p/mir-629-3p;KMT2D
mir-320d/mir-363-3p;HMGA2
mir-3065-3p/mir-424-5p;MATR3
mir-3613-3p/mir-20a-5p;IFI44L
mir-342-3p/mir-7-5p;FSTL1
let-7f-5p/mir-455-3p;SMG1
mir-33a-5p/mir-200a-3p;SYNE1
mir-30b-5p/mir-130a-3p;SLC7A11
mir-671-5p/mir-192-3p;CADM1
mir-93-3p/mir-29a-5p;KIAA1549L
mir-301b-3p/mir-338-3p;BAMBI
mir-769-3p/mir-338-5p;CD274
mir-324-5p/mir-93-3p;BNC2
mir-33a-5p/mir-324-5p;BNC2
mir-654-5p/mir-411-5p;MIOX
mir-143-3p/mir-20b-5p;ZNFX1
let-7f-5p/mir-142-3p;EP400
mir-221-5p/mir-4326;RRAGD
mir-30b-5p/mir-429;AHNAK
mir-32-3p/mir-324-5p;AHNAK
mir-93-3p/mir-1226-3p;PLXNA4
mir-452-5p/mir-106a-5p;TP53INP1
mir-29b-2-5p/mir-192-5p;TMEM200A
let-7f-5p/mir-20a-5p;CCDC71L
mir-429/mir-18a-3p;SLC16A9
mir-769-3p/mir-362-3p;CALHM5
let-7f-5p/mir-33a-5p;PRTG
mir-342-3p/mir-221-5p;RIMKLA
let-7f-5p/mir-221-5p;NAT8L
mir-449a/mir-221-5p;NAT8L
mir-215-5p/mir-192-5p;ZBTB8B
mir-215-5p/mir-194-3p;ZBTB8B
