"info","is_mrna_tf","name","selected","shared name","updown"
"mirna",,"mir-500a-5p","false","mir-500a-5p","Down"
"dummy",,"","false","mir-500a-5p/mir-95-3p","dummy"
"mirna",,"mir-494-3p","false","mir-494-3p","Up"
"dummy",,"","false","mir-494-3p/mir-136-5p","dummy"
"mirna",,"mir-29c-3p","false","mir-29c-3p","Down"
"dummy",,"","false","mir-29c-3p/mir-182-5p","dummy"
"mirna",,"mir-3150b-3p","false","mir-3150b-3p","Up"
"dummy",,"","false","mir-3150b-3p/mir-589-3p","dummy"
"mirna",,"mir-30a-3p","false","mir-30a-3p","Down"
"dummy",,"","false","mir-30a-3p/mir-331-3p","dummy"
"mirna",,"mir-10b-3p","false","mir-10b-3p","Up"
"dummy",,"","false","mir-10b-3p/mir-455-3p","dummy"
"mirna",,"mir-210-3p","false","mir-210-3p","Up"
"dummy",,"","false","mir-210-3p/mir-129-5p","dummy"
"mirna",,"mir-224-5p","false","mir-224-5p","Up"
"dummy",,"","false","mir-224-5p/mir-150-5p","dummy"
"mirna",,"mir-9-3p","false","mir-9-3p","Up"
"dummy",,"","false","mir-9-3p/mir-1291","dummy"
"mirna",,"mir-4326","false","mir-4326","Up"
"dummy",,"","false","mir-4326/mir-215-5p","dummy"
"dummy",,"","false","mir-224-5p/mir-130b-5p","dummy"
"dummy",,"","false","mir-210-3p/mir-320b","dummy"
"mirna",,"mir-584-5p","false","mir-584-5p","Down"
"dummy",,"","false","mir-584-5p/mir-7-5p","dummy"
"dummy",,"","false","mir-29c-3p/mir-1-3p","dummy"
"mirna",,"mir-627-5p","false","mir-627-5p","Up"
"dummy",,"","false","mir-627-5p/mir-10b-3p","dummy"
"mirna",,"mir-154-3p","false","mir-154-3p","Up"
"dummy",,"","false","mir-154-3p/mir-32-3p","dummy"
"mirna",,"mir-138-5p","false","mir-138-5p","Down"
"dummy",,"","false","mir-138-5p/mir-27a-5p","dummy"
"mirna",,"mir-362-5p","false","mir-362-5p","Down"
"dummy",,"","false","mir-362-5p/mir-500b-5p","dummy"
"mirna",,"mir-486-5p","false","mir-486-5p","Down"
"dummy",,"","false","mir-486-5p/mir-331-3p","dummy"
"mirna",,"mir-708-5p","false","mir-708-5p","Up"
"dummy",,"","false","mir-708-5p/let-7c-5p","dummy"
"mirna",,"mir-135b-5p","false","mir-135b-5p","Up"
"dummy",,"","false","mir-135b-5p/mir-2355-3p","dummy"
"mirna",,"mir-214-3p","false","mir-214-3p","Up"
"dummy",,"","false","mir-214-3p/mir-542-5p","dummy"
"dummy",,"","false","mir-210-3p/mir-133a-3p","dummy"
"mirna",,"mir-335-5p","false","mir-335-5p","Down"
"dummy",,"","false","mir-335-5p/mir-301a-3p","dummy"
"mirna",,"mir-19a-3p","false","mir-19a-3p","Up"
"dummy",,"","false","mir-19a-3p/mir-130b-5p","dummy"
"mirna",,"mir-17-5p","false","mir-17-5p","Up"
"dummy",,"","false","mir-17-5p/mir-130b-5p","dummy"
"mirna",,"mir-130b-3p","false","mir-130b-3p","Up"
"dummy",,"","false","mir-130b-3p/mir-17-5p","dummy"
"mirna",,"mir-301a-3p","false","mir-301a-3p","Up"
"dummy",,"","false","mir-301a-3p/mir-301b-3p","dummy"
"mirna",,"mir-370-3p","false","mir-370-3p","Up"
"dummy",,"","false","mir-370-3p/mir-141-3p","dummy"
"mirna",,"mir-338-3p","false","mir-338-3p","Down"
"dummy",,"","false","mir-338-3p/mir-30a-5p","dummy"
"dummy",,"","false","mir-135b-5p/mir-20a-3p","dummy"
"dummy",,"","false","mir-17-5p/mir-20a-5p","dummy"
"dummy",,"","false","mir-17-5p/mir-106a-5p","dummy"
"mirna",,"mir-20b-5p","false","mir-20b-5p","Down"
"dummy",,"","false","mir-20b-5p/mir-20a-5p","dummy"
"mirna",,"mir-296-5p","false","mir-296-5p","Up"
"dummy",,"","false","mir-296-5p/mir-503-5p","dummy"
"mirna",,"mir-331-3p","false","mir-331-3p","Up"
"dummy",,"","false","mir-331-3p/mir-651-5p","dummy"
"mirna",,"mir-34c-5p","false","mir-34c-5p","Down"
"dummy",,"","false","mir-34c-5p/mir-34b-5p","dummy"
"dummy",,"","false","mir-130b-3p/mir-19b-3p","dummy"
"dummy",,"","false","mir-130b-3p/mir-301b-3p","dummy"
"mirna",,"mir-940","false","mir-940","Up"
"dummy",,"","false","mir-940/mir-30b-3p","dummy"
"mirna",,"mir-95-3p","false","mir-95-3p","Down"
"mirna",,"mir-136-5p","false","mir-136-5p","Up"
"mirna",,"mir-182-5p","false","mir-182-5p","Up"
"mirna",,"mir-589-3p","false","mir-589-3p","Up"
"mirna",,"mir-455-3p","false","mir-455-3p","Up"
"mirna",,"mir-129-5p","false","mir-129-5p","Up"
"mirna",,"mir-150-5p","false","mir-150-5p","Down"
"mirna",,"mir-1291","false","mir-1291","Up"
"mirna",,"mir-215-5p","false","mir-215-5p","Down"
"mirna",,"mir-130b-5p","false","mir-130b-5p","Up"
"mirna",,"mir-320b","false","mir-320b","Up"
"mirna",,"mir-7-5p","false","mir-7-5p","Up"
"mirna",,"mir-1-3p","false","mir-1-3p","Down"
"mirna",,"mir-32-3p","false","mir-32-3p","Up"
"mirna",,"mir-27a-5p","false","mir-27a-5p","Down"
"mirna",,"mir-500b-5p","false","mir-500b-5p","Down"
"mirna",,"let-7c-5p","false","let-7c-5p","Down"
"mirna",,"mir-2355-3p","false","mir-2355-3p","Up"
"mirna",,"mir-542-5p","false","mir-542-5p","Down"
"mirna",,"mir-133a-3p","false","mir-133a-3p","Down"
"mirna",,"mir-301b-3p","false","mir-301b-3p","Up"
"mirna",,"mir-141-3p","false","mir-141-3p","Up"
"mirna",,"mir-30a-5p","false","mir-30a-5p","Down"
"mirna",,"mir-20a-3p","false","mir-20a-3p","Up"
"mirna",,"mir-20a-5p","false","mir-20a-5p","Down"
"mirna",,"mir-106a-5p","false","mir-106a-5p","Up"
"mirna",,"mir-503-5p","false","mir-503-5p","Up"
"mirna",,"mir-651-5p","false","mir-651-5p","Up"
"mirna",,"mir-34b-5p","false","mir-34b-5p","Down"
"mirna",,"mir-19b-3p","false","mir-19b-3p","Up"
"mirna",,"mir-30b-3p","false","mir-30b-3p","Down"
"mrna","false","CCND1","false","CCND1","Down"
"mrna","false","BCL2","false","BCL2","Down"
"mrna","false","ZFP36L1","false","ZFP36L1","Down"
"mrna","false","CDKN1A","false","CDKN1A","Down"
"mrna","false","COL5A2","false","COL5A2","Up"
"mrna","true","KLF6","false","KLF6","Down"
"mrna","false","VCAN","false","VCAN","Up"
"mrna","false","DSP","false","DSP","Up"
"mrna","false","FGF9","false","FGF9","Down"
"mrna","false","GAB1","false","GAB1","Down"
"mrna","true","NR4A1","false","NR4A1","Down"
"mrna","false","IGF2","false","IGF2","Down"
"mrna","false","IGFBP5","false","IGFBP5","Up"
"mrna","false","ITGA6","false","ITGA6","Up"
"mrna","false","LYN","false","LYN","Down"
"mrna","false","MAP1B","false","MAP1B","Up"
"mrna","false","TPM1","false","TPM1","Down"
"mrna","false","KCNK5","false","KCNK5","Down"
"mrna","false","NRP2","false","NRP2","Down"
"mrna","false","TUBB4A","false","TUBB4A","Up"
"mrna","false","IGF2BP1","false","IGF2BP1","Up"
"mrna","false","WASF3","false","WASF3","Down"
"mrna","false","ADAMTS5","false","ADAMTS5","Down"
"mrna","false","SHANK2","false","SHANK2","Down"
"mrna","false","FLRT2","false","FLRT2","Down"
"mrna","false","RNF125","false","RNF125","Down"
"mrna","false","TENM2","false","TENM2","Up"
"mrna","false","RNF213","false","RNF213","Down"
"mrna","false","TRIB3","false","TRIB3","Up"
"mrna","false","NAV1","false","NAV1","Up"
"mrna","false","EGLN3","false","EGLN3","Up"
"mrna","false","SIK1","false","SIK1","Down"
"mrna","false","SYNE3","false","SYNE3","Down"
"mrna","false","NAT8L","false","NAT8L","Up"
"mrna","false","NCKAP5","false","NCKAP5","Down"
"mrna","false","CLEC12B","false","CLEC12B","Down"
"mrna","false","SLFN12L","false","SLFN12L","Down"
