info,is_mrna_tf,name,selected,shared.name,updown,significance
mirna,,mir-500a-5p,false,mir-500a-5p,Down,0.948093641798056
dummy,,,false,mir-500a-5p/mir-95-3p,dummy,
mirna,,mir-494-3p,false,mir-494-3p,Up,0.00012303486472931
dummy,,,false,mir-494-3p/mir-136-5p,dummy,
mirna,,mir-29c-3p,false,mir-29c-3p,Down,4.36476276351955e-06
dummy,,,false,mir-29c-3p/mir-182-5p,dummy,
mirna,,mir-3150b-3p,false,mir-3150b-3p,Up,0.0520948969994221
dummy,,,false,mir-3150b-3p/mir-589-3p,dummy,
mirna,,mir-30a-3p,false,mir-30a-3p,Down,8.64419159757806e-13
dummy,,,false,mir-30a-3p/mir-331-3p,dummy,
mirna,,mir-10b-3p,false,mir-10b-3p,Up,0.818961701615467
dummy,,,false,mir-10b-3p/mir-455-3p,dummy,
mirna,,mir-210-3p,false,mir-210-3p,Up,3.25186269482615e-16
dummy,,,false,mir-210-3p/mir-129-5p,dummy,
mirna,,mir-224-5p,false,mir-224-5p,Up,4.31356702307259e-08
dummy,,,false,mir-224-5p/mir-150-5p,dummy,
mirna,,mir-9-3p,false,mir-9-3p,Up,4.23760187088729e-22
dummy,,,false,mir-9-3p/mir-1291,dummy,
mirna,,mir-4326,false,mir-4326,Up,0.00046487468639546
dummy,,,false,mir-4326/mir-215-5p,dummy,
dummy,,,false,mir-224-5p/mir-130b-5p,dummy,
dummy,,,false,mir-210-3p/mir-320b,dummy,
mirna,,mir-584-5p,false,mir-584-5p,Down,0.00286681584039096
dummy,,,false,mir-584-5p/mir-7-5p,dummy,
dummy,,,false,mir-29c-3p/mir-1-3p,dummy,
mirna,,mir-627-5p,false,mir-627-5p,Up,0.00020345795037789
dummy,,,false,mir-627-5p/mir-10b-3p,dummy,
mirna,,mir-154-3p,false,mir-154-3p,Up,0.0619367776562313
dummy,,,false,mir-154-3p/mir-32-3p,dummy,
mirna,,mir-138-5p,false,mir-138-5p,Down,1.23437655890773e-06
dummy,,,false,mir-138-5p/mir-27a-5p,dummy,
mirna,,mir-362-5p,false,mir-362-5p,Down,
